column_name,column_description,prelim,DE_NRW_2019,DE_NRW_2020,DE_NRW_2021,DE_NRW_2022,DE_NRW_2023,DE_NRW_2024
field_id,Unique identifier for each field in country or state,1,ID,ID,ID,ID,ID,ID
farm_id,Unique identifier for each farm in country,0,,,,,,
crop_code,"The original, country-specific crop code",1,CODE,CODE,CODE,CODE,CODE,CODE
crop_name,"The original, country-specific crop name",1,CODE_TXT,CODE_TXT,CODE_TXT,CODE_TXT,CODE_TXT,CODE_TXT
EC_trans_n,The original crop name translated into English,1,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,
info_organic,Information and organic cultivation,0,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",1,,,,,,
field_size,Size of field in hectar,1,AREA_HA,AREA_HA,AREA_HA,AREA_HA,AREA_HA,AREA_HA
intercrop_code,"The original, country-specific intercrop code",0,,,,,,
intercrop_name,"The original, country-specific intercrop name",0,,,,,,
