column_name,column_description,prelim,DE_SAA_2012,DE_SAA_2013,DE_SAA_2014,DE_SAA_2015,DE_SAA_2016,DE_SAA_2017,DE_SAA_2018,DE_SAA_2019,DE_SAA_2020,DE_SAA_2021,DE_SAA_2022,DE_SAA_2023
field_id,Unique identifier for each field in country or state,1,,,,,,,,,,,,
farm_id,Unique identifier for each farm in country,0,,,,,,,,,,,,
crop_code,"The original, country-specific crop code",1,KULTART,KULTART,KULTART,KULTART,KULTART,KULTART,KULTART,KULTART,KULTART,KULTART,KULTART,KULTART
crop_name,"The original, country-specific crop name",1,GBBESCHR,GBBESCHR,GBBESCHR,GBBESCHR,GBBESCHR,GBBESCHR,GBBESCHR,GBBESCHR,GBBESCHR,GBBESCHR,GBBESCHR,GBBESCHR
EC_trans_n,The original crop name translated into English,1,,,,,,,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,,,,,,,
info_organic,Information and organic cultivation,0,,,,,,,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",1,,,,,,,,,,,,organic
field_size,Size of field in hectar,1,,,,,,,,,,,,
intercrop_code,"The original, country-specific intercrop code",0,,,,,,,,,,,,
intercrop_name,"The original, country-specific intercrop name",0,,,,,,,,,,,,
