column_name,column_description,prelim,ES_CAT_2015,ES_CAT_2016,ES_CAT_2017,ES_CAT_2018,ES_CAT_2019,ES_CAT_2020,ES_CAT_2021,ES_CAT_2022,ES_CAT_2023,ES_CAT_2024
field_id,Unique identifier for each field in country or state,1,OBJECTID,OBJECTID,OBJECTID,OBJECTID,OBJECTID,OBJECTID,OBJECTID,OBJECTID,OBJECTID,OBJECTID
farm_id,Unique identifier for each farm in country,1,,,,,,,,,,
crop_code,"The original, country-specific crop code",1,,,,,,,,,,
crop_name,"The original, country-specific crop name",1,CULTIU,CULTIU,CULTIU,CULTIU,CULTIU,CULTIU,CULTIU,CULTIU,CULTIU,CULTIU
EC_trans_n,The original crop name translated into English,1,,,,,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,,,,,
info_organic,Information and organic cultivation,0,,,,,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",0,,,,,,,,,,
field_size,Size of field in hectar,1,,,,,,,,,,
