column_name,column_description,prelim,FR_FR_2015,FR_FR_2016,FR_FR_2017,FR_FR_2018,FR_FR_2019,FR_FR_2020,FR_FR_2021,FR_FR_2022,FR_FR_2023,FR_FR_2024
field_id,Unique identifier for each field in country or state,1,ID_PARCEL,ID_PARCEL,ID_PARCEL,ID_PARCEL,ID_PARCEL,ID_PARCEL,ID_PARCEL,id_parcel,ID_PARCEL,uni_id
farm_id,Unique identifier for each farm in country,0,,,,,,,,,,
crop_code,"The original, country-specific crop code",1,CODE_CULTU,CODE_CULTU,CODE_CULTU,CODE_CULTU,CODE_CULTU,CODE_CULTU,CODE_CULTU,code_cultu,CODE_CULTU,code_cultu
crop_name,"The original, country-specific crop name",1,,,,,,,,,,
EC_trans_n,The original crop name translated into English,1,,,,,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,,,,,
info_organic,Information and organic cultivation,0,,,,,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",0,,,,,,,,,,
field_size,Size of field in hectar,1,SURF_PARC,SURF_PARC,SURF_PARC,SURF_PARC,SURF_PARC,SURF_PARC,SURF_PARC,surf_parc,SURF_PARC,surf_parc
