column_name,column_description,prelim,FR_2007,FR_2008,FR_2009,FR_2010,FR_2011,FR_2012,FR_2013,FR_2014
field_id,Unique identifier for each field in country or state,1,,,,NUM_ILOT,NUM_ILOT,NUM_ILOT,NUM_ILOT,NUM_ILOT
farm_id,Unique identifier for each farm in country,0,,,,,,,,
crop_code,"The original, country-specific crop code",1,CODE_GROUPE_CULTURE,CODE_GROUPE_CULTURE,CODE_GROUPE_CULTURE,CODE_GROUPE_CULTURE,CODE_GROUPE_CULTURE,CODE_GROUPE_CULTURE,CODE_GROUPE_CULTURE,CODE_GROUPE_CULTURE
crop_name,"The original, country-specific crop name",1,NOM_GROUPE_CULTURE,NOM_GROUPE_CULTURE,NOM_GROUPE_CULTURE,NOM_GROUPE_CULTURE,NOM_GROUPE_CULTURE,NOM_GROUPE_CULTURE,NOM_GROUPE_CULTURE,NOM_GROUPE_CULTURE
EC_trans_n,The original crop name translated into English,1,,,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,,,
info_organic,Information and organic cultivation,0,,,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",0,,,,,,,,
field_size,Size of field in hectar,0,,,,,,,,
crop_area,,1,,,,SURFACE_GROUPE_CULTURE,SURFACE_GROUPE_CULTURE,SURFACE_GROUPE_CULTURE,SURFACE_GROUPE_CULTURE,SURFACE_GROUPE_CULTURE
intercrop_code,"The original, country-specific intercrop code",0,,,,,,,,
intercrop_name,"The original, country-specific intercrop name",0,,,,,,,,
