column_name,column_description,prelim,IE_2017,IE_2018,IE_2019,IE_2020,IE_2021,IE_2022,IE_2023,IE_2024
field_id,Unique identifier for each field in country or state,1,uni_id,uni_id,uni_id,uni_id,uni_id,uni_id,uni_id,uni_id
farm_id,Unique identifier for each farm in country,1,APP_HERD,APP_HERD,APP_HERD,APP_HERD,APP_HERD,APP_HERD,APP_HERD,APP_HERD
crop_code,"The original, country-specific crop code",1,,,,,,,,
crop_name,"The original, country-specific crop name",1,CROP_DESC,CROP_DESC,CROP_DESC,CROP_DESC,CROP_DESC,CROP_DESC,CROP,CROP
EC_trans_n,The original crop name translated into English,1,,,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,,,
info_organic,Information and organic cultivation,0,,,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",1,ORG_STATUS,ORG_STATUS,ORG_STATUS,ORG_STATUS,ORG_STATUS,ORG_STATUS,ORGANICS,ORGANICS
field_size,Size of field in hectar,1,DIGIT_AREA,DIGIT_AREA,DIGIT_AREA,DIGIT_AREA,DIGIT_AREA,DIGIT_AREA,DIGIT_AREA,DIGIT_AREA
crop_area,,1,CLAIM_AREA,CLAIM_AREA,CLAIM_AREA,CLAIM_AREA,CLAIM_AREA,CLAIM_AREA,CLAIM_AREA,CLAIM_AREA
