column_name,column_description,prelim,LV_2019,LV_2020,LV_2021,LV_2022,LV_2023,LV_2024
field_id,Unique identifier for each field in country or state,1,OBJECTID,OBJECTID,OBJECTID,OBJECTID,OBJECTID,OBJECTID
farm_id,Unique identifier for each farm in country,1,CLIENT_NUMBER,CLIENT_NUMBER,CLIENT_NUMBER,CLIENT_NUMBER,CLIENT_NUMBER,
crop_code,"The original, country-specific crop code",1,PRODUCT_CODE,PRODUCT_CODE,PRODUCT_CODE,PRODUCT_CODE,PRODUCT_CODE,PRODUCT_CODE
crop_name,"The original, country-specific crop name",1,,,,,,PRODUCT_DESCRIPTION
EC_trans_n,The original crop name translated into English,1,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,
info_organic,Information and organic cultivation,0,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",0,,,,,,
field_size,Size of field in hectar,1,,,,,,AREA_DECLARED
intercrop_code,"The original, country-specific intercrop code",0,,,,,,
intercrop_name,"The original, country-specific intercrop name",0,,,,,,
