column_name,column_description,prelim,SE_2015,SE_2016,SE_2017,SE_2018,SE_2019,SE_2020,SE_2021,SE_2022,SE_2023,SE_2024
field_id,Unique identifier for each field in country or state,1,individid,individid,individid,individid,individid,individid,individid,individid,individid,individid
farm_id,Unique identifier for each farm in country,1,,,,,,kundnummer,kundnummer,kundnummer,kundnummer,
crop_code,"The original, country-specific crop code",1,code,code,code,code,code,code,code,code,code,code
crop_name,"The original, country-specific crop name",1,Gröda,Gröda,Gröda,Gröda,Gröda,Gröda,Gröda,Gröda,Gröda,Gröda
EC_trans_n,The original crop name translated into English,1,,,,,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,,,,,
info_organic,Information and organic cultivation,0,,,,,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",1,,,,,,organic_applied,organic_applied,organic_applied,organic_applied,
field_size,Size of field in hectar,1,ansokt_are,ansokt_are,ansokt_are,ansokt_are,ansokt_are,,,,,ansokt_are
