column_name,column_description,prelim,SK_2018,SK_2019,SK_2020,SK_2021,SK_2022,SK_2023,SK_2024,SK_2025,Comment
field_id,Unique identifier for each field in country or state,1,,,,,,,,,"from 2018 until including 2021 not unique ID, but polygons of subsections in a field have same ID"
farm_id,Unique identifier for each farm in country,1,SUBJEKT_NA,SUBJEKT,SUBJEKT_NA,SUBJEKT_NA,SUBJEKT_NA,SUBJEKT_NA,SUBJEKT_NA,SUBJEKT_NA,
crop_code,"The original, country-specific crop code",1,,,,,,,,,
crop_name,"The original, country-specific crop name",1,PLODINA,PLODINA,PLODINA,Plodina,PLODINA,PLODINA,PLODINA,PLODINA,2021 Plodina nicht in caps
EC_trans_n,The original crop name translated into English,1,,,,,,,,,
EC_hcat_n,The machine-readable HCAT name of the crop,1,,,,,,,,,
EC_hcat_c,The 10-digit HCAT code indicating the hierarchy of the crop,1,,,,,,,,,
EC_NUTS3,NUTS3 code for region,0,,,,,,,,,
info_organic,Information and organic cultivation,0,,,,,,,,,
organic,"Indicates whether a field was organically cultivated or not. Values: [0,1] ",0,,,,,,,,,
field_size,Size of field in hectar,1,VYMERA_KD,VYMERA,VYMERA,VYMERA,VYMERA,VYMERA,VYMERA,VYMERA,
intercrop_code,"The original, country-specific intercrop code",0,,,,,,,,,
intercrop_name,"The original, country-specific intercrop name",0,,,,,,,,,
