,crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
0,959,20 JÄHRIGE STILLLEGUNG,20 YEAR SHUTDOWN,fallow_land_not_crop,3301110000.0,0,AT
1,208,ACKERBOHNEN - ERBSEN GEMENGE,Fava Beans - Peas Mixture,legumes_dried_pulses_protein_crops,3301020000.0,7,AT
2,208,ACKERBOHNEN - ERBSENGEMENGE,FIELD BEANS - PEAS MATCH,legumes_dried_pulses_protein_crops,3301020000.0,7,AT
3,206,ACKERBOHNEN - GETREIDE GEMENGE,FIELD BEANS - GRAIN MIX,cereal_legume_mix,3301091200.0,1,AT
4,202,ACKERBOHNEN (PUFFBOHNEN),FARM BEANS (PUFF BEANS),beans,3301020100.0,0,AT
5,205,ACKERBOHNEN (PUFFBOHNEN) / FELDGEMÜSE,FIELD BEANS (PUFF BEANS) / FIELD VEGETABLES,beans,3301020100.0,6,AT
6,208,ACKERBOHNEN / ERBSENGEMENGE,FIELD BEANS / PEAS MIX,legumes_dried_pulses_protein_crops,3301020000.0,7,AT
7,205,ACKERBOHNEN / FELDGEMÜSE,FIELD BEANS / FIELD VEGETABLES,beans,3301020100.0,6,AT
8,642,ACKERWEIDE,MEADOW,pasture_meadow_grassland_grass,3302000000.0,0,AT
9,990,ALMFUTTERFLÄCHE,ALM FORAGE AREA,pasture_meadow_grassland_grass,3302000000.0,0,AT
10,992,ALMWEIDEFLÄCHE,mountain pasture,pasture_meadow_grassland_grass,3302000000.0,0,AT
11,758,AMARANTH,AMARANTH,amaranth,3301150100.0,0,AT
12,865,ANDERE DAUERKULTUREN,OTHER PERMANENT CULTURES,other_permanent_crops_plantations,3303990000.0,0,AT
13,809,ANDERES OBST,OTHER FRUITS,orchards_fruits,3303010000.0,0,AT
14,708,BERGMÄHDER,MOUNTAIN MOWING MEADOW,pasture_meadow_grassland_grass,3302000000.0,0,AT
15,773,BIENENTRACHTBRACHE,BEE FLOWER FALLOW,field_margins_buffer_strips_flowering_areas,3310100000.0,0,AT
16,207,BITTERLUPINEN,BITTER LUPINES,sweet_lupins,3301020700.0,0,AT
17,654,BLUMEN UND ZIERPFLANZEN,FLOWERS AND ORNAMENTAL PLANTS,flowers_ornamental_plants,3301080000.0,0,AT
