crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
959,20 JÄHRIGE STILLLEGUNG,20 YEAR SHUTDOWN,fallow_land_not_crop,3301110000,0,AT
208,ACKERBOHNEN - ERBSEN GEMENGE,Fava Beans - Peas Mixture,legumes_dried_pulses_protein_crops,3301020000,7,AT
208,ACKERBOHNEN - ERBSENGEMENGE,FIELD BEANS - PEAS MATCH,legumes_dried_pulses_protein_crops,3301020000,7,AT
206,ACKERBOHNEN - GETREIDE GEMENGE,FIELD BEANS - GRAIN MIX,cereal_legume_mix,3301091200,1,AT
202,ACKERBOHNEN (PUFFBOHNEN),FARM BEANS (PUFF BEANS),beans,3301020100,0,AT
205,ACKERBOHNEN (PUFFBOHNEN) / FELDGEMÜSE,FIELD BEANS (PUFF BEANS) / FIELD VEGETABLES,beans,3301020100,6,AT
208,ACKERBOHNEN / ERBSENGEMENGE,FIELD BEANS / PEAS MIX,legumes_dried_pulses_protein_crops,3301020000,7,AT
205,ACKERBOHNEN / FELDGEMÜSE,FIELD BEANS / FIELD VEGETABLES,beans,3301020100,6,AT
642,ACKERWEIDE,MEADOW,pasture_meadow_grassland_grass,3302000000,0,AT
990,ALMFUTTERFLÄCHE,ALM FORAGE AREA,pasture_meadow_grassland_grass,3302000000,0,AT
992,ALMWEIDEFLÄCHE,mountain pasture,pasture_meadow_grassland_grass,3302000000,0,AT
758,AMARANTH,AMARANTH,amaranth,3301150100,0,AT
865,ANDERE DAUERKULTUREN,OTHER PERMANENT CULTURES,other_permanent_crops_plantations,3303990000,0,AT
809,ANDERES OBST,OTHER FRUITS,orchards_fruits,3303010000,0,AT
708,BERGMÄHDER,MOUNTAIN MOWING MEADOW,pasture_meadow_grassland_grass,3302000000,0,AT
773,BIENENTRACHTBRACHE,BEE FLOWER FALLOW,field_margins_buffer_strips_flowering_areas,3310100000,0,AT
207,BITTERLUPINEN,BITTER LUPINES,sweet_lupins,3301020700,0,AT
654,BLUMEN UND ZIERPFLANZEN,FLOWERS AND ORNAMENTAL PLANTS,flowers_ornamental_plants,3301080000,0,AT
838,BLUMEN UND ZIERPFLANZEN IM FOLIENTUNNEL,FLOWERS AND ORNAMENTAL PLANTS IN THE FOIL TUNNEL,foil_films_flowers,3305020100,0,AT
837,BLUMEN UND ZIERPFLANZEN IM GEWÄCHSHAUS,FLOWERS AND ORNAMENTAL PLANTS IN THE GREENHOUSE,greenhouse_flowers,3305010800,0,AT
119,BUCHWEIZEN,BUCKWHEAT,buckwheat,3301150200,0,AT
715,DAUERWEIDE,PERMANENT PASTURE,pasture_meadow_grassland_grass,3302000000,0,AT
774,DURCHWACHSENE SILPHIE,CUP PLANT (Silphium perfoliatum),silphium_rosinweeds,3301084400,0,AT
844,EDELKASTANIEN,NOBLE CHESTNUTS,sweet_chestnuts,3303030500,0,AT
860,EINJÄHRIGE BAUMSCHULEN,ONE YEAR NURSERY,nurseries_nursery,3303070000,0,AT
701,EINMÄHDIGE WIESE,ONE-MOWN MEADOW (a meadow that gets mown only once a year),pasture_meadow_grassland_grass,3302000000,0,AT
686,"ELEFANTENGRAS (CHINASCHILF, MISCANTHUS SINENSIS)",ELEPHANT GRASS (CHINA REED,miscanthus_silvergrass,3301083000,0,AT
151,EMMER ODER EINKORN (SOMMERUNG) / FELDGEMÜSE,EMMER OR EINKORN (SUMMER) / FIELD VEGETABLES,spring_emmer,3301011202,6,AT
152,EMMER ODER EINKORN (WINTERUNG) / FELDGEMÜSE,EMMER OR EINKORN (WINTERING) / FIELD VEGETABLES,winter_emmer,3301011201,6,AT
641,ENERGIEGRAS,ENERGY GRASS,temporary_grass,3301090100,0,AT
863,ENERGIEHOLZ OHNE ROBINIE,ENERGY WOOD WITHOUT ROBINIA,short_rotation_coppice,3306090000,0,AT
864,ENERGIEHOLZ ROBINIE,ENERGY WOOD ROBINIA,short_rotation_coppice_robinia,3306090100,0,AT
115,ERBSEN - GETREIDE GEMENGE,PEAS - GRAIN MIX,cereal_legume_mix,3301091200,1,AT
164,ERBSEN - GETREIDE GEMENGE / BUCHWEIZEN,PEAS - GRAIN MIX / BUCKWHEAT,cereal_legume_mix,3301091200,1,AT
129,ERBSEN - GETREIDE GEMENGE / FELDGEMÜSE,PEAS - GRAIN MIX / FIELD VEGETABLES,cereal_legume_mix,3301091200,6,AT
755,ERDBEEREN,STRAWBERRIES,strawberries,3301130000,0,AT
756,ERDBEEREN / FELDGEMÜSE,STRAWBERRIES / FIELD VEGETABLES,strawberries,3301130000,6,AT
961,ERSTAUFFORSTUNG,PRIMARY REFORESTATION,afforestation_reforestation,3306010000,0,AT
964,ERSTAUFFORSTUNG ALT,FIRST REFORESTATION OLD,afforestation_reforestation,3306010000,0,AT
209,ESPARSETTE,ESPARSETTE,esparsette_onobrychis,3301020300,0,AT
696,FELDGEMÜSE EINKULTURIG,FIELD VEGETABLES SINGLE CULTURE,fresh_vegetables,3301070000,0,AT
676,FELDGEMÜSE EINLEGEGURKEN,FIELD VEGETABLES CUCUMBERS,cucumber_pickle,3301140100,0,AT
699,FELDGEMÜSE FRISCHMARKT UND VERARBEITUNG MEHRKULTURIG,FIELD VEGETABLES FRESH MARKET AND MULTI-CULTIVATED PROCESSING,fresh_vegetables,3301070000,0,AT
694,FELDGEMÜSE MEHRKULTURIG,FIELD VEGETABLES MULTI-CROPS,fresh_vegetables,3301070000,0,AT
653,FELDGEMÜSE OHNE ERNTE,FIELD VEGETABLES WITHOUT HARVEST,fresh_vegetables,3301070000,0,AT
697,FELDGEMÜSE VERARBEITUNG EINKULTURIG,FIELD VEGETABLES PROCESSING SINGLE CULTURE,fresh_vegetables,3301070000,0,AT
698,FELDGEMÜSE VERARBEITUNG MEHRKULTURIG,FIELD VEGETABLES PROCESSING MULTI-CULTURED,fresh_vegetables,3301070000,0,AT
657,FLACHS (FASERLEIN) ZUR FASERERZEUGUNG,FLAX (FIBER) FOR FIBER PRODUCTION,flax_linseed,3301060700,0,AT
965,FORST GENETISCHE RESSOURCEN,FORESTRY GENETIC RESOURCES,other_tree_wood_forest,3306990000,0,AT
513,FRÜHKARTOFFELN,EARLY POTATOES,early_season_potatoes,3301030100,0,AT
529,FRÜHKARTOFFELN / BUCHWEIZEN,EARLY POTATOES / BUCKWHEAT,early_season_potatoes,3301030100,6,AT
520,FRÜHKARTOFFELN / FELDGEMÜSE,EARLY POTATOES / FIELD VEGETABLES,early_season_potatoes,3301030100,6,AT
159,FRÜHKARTOFFELN / MAIS,EARLY POTATOES / CORN,early_season_potatoes,3301030100,6,AT
637,FUTTERGRÄSER,FORAGE GRASS,temporary_grass,3301090100,0,AT
663,FUTTERGRÄSER / FELDGEMÜSE,FORAGE GRASS / FIELD VEGETABLES,temporary_grass,3301090100,6,AT
528,FUTTERKARTOFFELN,FEED POTATOES,potatoes,3301030000,0,AT
631,"FUTTERRÜBEN (RUNKELRÜBEN, BURGUND KOHLRÜBEN)",FORAGE BEET (RUNKEL BEETS,mangelwurzel_fodder_beet,3301290400,0,AT
840,GEMÜSE IM FOLIENTUNNEL,VEGETABLES IN THE FILM TUNNEL,greenhouse_foil_film,3305000000,0,AT
839,GEMÜSE IM GEWÄCHSHAUS,VEGETABLES IN THE GREENHOUSE,greenhouse_vegetables,3305010900,0,AT
540,GEWÜRZFENCHEL,SPICE FENNEL,fennel,3301170000,0,AT
539,GEWÜRZPFLANZEN,SPICE PLANTS,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,AT
850,GEWÜRZPFLANZEN IM FOLIENTUNNEL,SPICE PLANTS IN THE FOIL TUNNEL,foil_films_herbals,3305020200,0,AT
849,GEWÜRZPFLANZEN IM GEWÄCHSHAUS,SPICE PLANTS IN THE GREENHOUSE,greenhouse_herbals,3305011000,0,AT
772,GINKGO,GINKGO,ginko,3303090000,0,AT
