crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
9534,(Knol)venkel,(Fennel) fennel,fennel,3301170000,0,BE_FLA
8534,(Knol)venkel - industrie,Fennel (tuber) - industry,fennel,3301170000,0,BE_FLA
9534,(Knol)venkel - vers,(tuber) fennel - fresh,fennel,3301170000,0,BE_FLA
9564,(Vroege) wortel (consumptie),(Early) carrot (consumption),carrots_daucus,3301290300,0,BE_FLA
901,Aardappelen (consumptie),Potatoes (consumption),potatoes,3301030000,0,BE_FLA
907,Aardappelen (gecertificeerd pootgoed),Potatoes (certified seed potatoes),potatoes,3301030000,0,BE_FLA
901,Aardappelen (geplande oogst vanaf 1/9),Potatoes (planned harvest after 1/9),late_season_potatoes,3301030200,0,BE_FLA
904,Aardappelen (geplande oogst voor 1/9),Potatoes (planned harvest before 1/9),early_season_potatoes,3301030100,0,BE_FLA
908,Aardappelen (hoevepootgoed),Potatoes (farm seed potatoes),potatoes,3301030000,0,BE_FLA
901,Aardappelen (niet-vroege),Potatoes (non-early),potatoes,3301030000,0,BE_FLA
902,Aardappelen (pootgoed),Potatoes (seed potatoes),potatoes,3301030000,0,BE_FLA
905,"Aardappelen (primeur, rooi voor 20/6)",Potatoes (farm seed potatoes),potatoes,3301030000,0,BE_FLA
904,"Aardappelen (vroege, rooi na 19/6)",Potatoes (non-early),late_season_potatoes,3301030200,0,BE_FLA
9516,Aardbeien,strawberries,strawberries,3301130000,0,BE_FLA
9724,Aardbeiplanten,strawberry plants,strawberries,3301130000,0,BE_FLA
9514,Ajuinen,onions,onions,3301220400,0,BE_FLA
9514,Ajuinen (niet vroege) - vers,Onions (not early) - fresh,onions,3301220400,0,BE_FLA
8514,Ajuinen (niet-vroege) - industrie,Onions (non-early) - industry,onions,3301220400,0,BE_FLA
8563,Ajuinen (vroege) - industrie,Onions (early) - industry,onions,3301220400,0,BE_FLA
9563,Ajuinen (vroege) - vers,Onions (early) - fresh,onions,3301220400,0,BE_FLA
630,Alexandrijnse klaver,Alexandrian clover,clover,3301090303,0,BE_FLA
9557,Alternatieve slasoorten,Alternative lettuce varieties,salads_lettuce_leaf_vegetables,3301310000,0,BE_FLA
