crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
895,Boisement de terre agricole (art 31 du R.(CE) 1257/1999) – dérogation,Afforestation of agricultural land (art 31 of R.(CE) 1257/1999) – exemption,afforestation_reforestation,3306010000,0,BE_WAL
895,Boisement de terre agricole (art 31 du R.(CE) 1257/1999) ? dérogation,Afforestation of agricultural land (art 31 of R.(CE) 1257/1999)? exemption,afforestation_reforestation,3306010000,0,BE_WAL
895,Boisement de terre agricole (art 31 du R.(CE) 1257/1999)  dérogation,Afforestation of agricultural land (art 31 of R.(CE) 1257/1999) exemption,afforestation_reforestation,3306010000,0,BE_WAL
73,Luzerne,Alfalfa,alfalfa_lucerne,3301090301,0,BE_WAL
56,Luzerne lupuline,Luzerne Lupuline,alfalfa_lucerne,3301090301,3,BE_WAL
732,Luzerne pérenne,Perennial alfalfa,alfalfa_lucerne,3301090301,0,BE_WAL
881,Angelique,Angelica,angelica,3301061204,0,BE_WAL
881,Angélique,Angelica,angelica,3301061204,0,BE_WAL
9710,cultures fruitieres pluriannuelles (pommes) - basses tiges,multi -year fruit crops (apples) - low stems,apples,3303010200,0,BE_WAL
9710,cultures fruitières pluriannuelles (pommes) - basses tiges,multi -year fruit crops (apples) - low stems,apples,3303010200,0,BE_WAL
9730,cultures fruitieres pluriannuelles (pommes) -hautes tiges,multi -year fruit crops (apples) - low stems,apples,3303010200,0,BE_WAL
9730,cultures fruitières pluriannuelles (pommes) -hautes tiges,multi-annual fruit crops (apples) - high stems,apples,3303010200,0,BE_WAL
821,Multiplication de semences en mode de production biologique,Organic seed multiplication,arable_land_seed_seedlings,3301100000,0,BE_WAL
953,Plantes aromatiques,Aromatic plants,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,BE_WAL
957,Plantes medicinales,Medicinal plants,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,BE_WAL
957,Plantes médicinales,Medicinal plants,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,BE_WAL
8511,Asperge - industrie,Asparagus - industry,asparagus,3301200000,0,BE_WAL
9511,Asperges,Asparagus (consumption chilled),asparagus,3301200000,0,BE_WAL
9511,Asperges (consommation au frais),Asparagus (consumption chilled),asparagus,3301200000,0,BE_WAL
9511,Asperges fraïches,Fresh asparagus,asparagus,3301200000,0,BE_WAL
9511,Asperges pour consommation en produit frais,Asparagus for fresh consumption,asparagus,3301200000,0,BE_WAL
9511,FR-Asperges - vers,FR -Asparagus - Towards,asparagus,3301200000,0,BE_WAL
323,Orge de brasserie,Malting barley,barley,3301010400,0,BE_WAL
522,Feves et Feveroles de printemps,Spring beans and fava beans,beans,3301020100,0,BE_WAL
522,Fèves et Féveroles de printemps,Spring beans and fava beans,beans,3301020100,0,BE_WAL
521,Feves et Feveroles d'hiver,Winter beans and fava beans,beans,3301020100,0,BE_WAL
521,Fèves et Féveroles d'hiver,Winter beans and fava beans,beans,3301020100,0,BE_WAL
9410,Haricots,Beans,beans,3301020100,0,BE_WAL
9410,Haricots de conserverie,Canning beans,beans,3301020100,0,BE_WAL
94,Haricots nains (p. ex. haricots rouges) pour consommation en produit frais,Dwarf beans (e.g. kidney beans) for fresh consumption,beans,3301020100,0,BE_WAL
8410,Haricots verts (transformation industrielle),Green beans (industrial processing),beans,3301020100,0,BE_WAL
8410,Haricots verts pour l’industrie,Green beans for industry,beans,3301020100,0,BE_WAL
8410,Haricots verts pour lindustrie,Green beans for industry,beans,3301020100,0,BE_WAL
9533,Scorsonere,Scorzonera,black_salsify,3301290900,0,BE_WAL
9533,Scorsonère,Scorzonera,black_salsify,3301290900,0,BE_WAL
8533,Scorsonère (transformation industrielle),Black salsify (industrial transformation),black_salsify,3301290900,0,BE_WAL
8533,Scorsonère pour l’industrie,Scorzonera for industry,black_salsify,3301290900,0,BE_WAL
8533,Scorsonère pour lindustrie,Scorzonera for industry,black_salsify,3301290900,0,BE_WAL
9548,Choux - Légumes,Cabbages - Vegetables,brassica_oleracea_cabbage,3301210200,0,BE_WAL
9525,Brocoli,Broccoli,broccoli,3301210202,0,BE_WAL
9525,Brocoli (consommation au frais),Broccoli (consumption chilled),broccoli,3301210202,0,BE_WAL
8525,Brocoli (transformation industrielle),Broccoli (industrial processing),broccoli,3301210202,0,BE_WAL
9525,Brocoli pour consommation en produit frais,Broccoli for fresh consumption,broccoli,3301210202,0,BE_WAL
9512,Chou de Bruxelles,Brussels sprouts,brussels_sprouts,3301210203,0,BE_WAL
9512,Chou de Bruxelles (consommation au frais),Brussels sprouts (consumption chilled),brussels_sprouts,3301210203,0,BE_WAL
8512,Chou de Bruxelles (transformation industrielle),Brussels sprouts (industrial processing),brussels_sprouts,3301210203,0,BE_WAL
9512,Chou de Bruxelles pour consommation en produit frais,Brussels sprouts for fresh consumption,brussels_sprouts,3301210203,0,BE_WAL
8512,Chou de Bruxelles pour l’industrie,Brussels sprouts for industry,brussels_sprouts,3301210203,0,BE_WAL
8512,Chou de Bruxelles pour lindustrie,Brussels sprouts for industry,brussels_sprouts,3301210203,0,BE_WAL
37,Sarrasin,Buckwheat,buckwheat,3301150200,0,BE_WAL
7433,Carotte,Carrot,carrots_daucus,3301290300,0,BE_WAL
9564,Carotte (hative),Carrot (early),carrots_daucus,3301290300,0,BE_WAL
9564,Carotte (hâtive),Carrot (early),carrots_daucus,3301290300,0,BE_WAL
9564,Carotte (hâtive) pour consommation en produit frais,Carrot (early) for consumption as fresh product,carrots_daucus,3301290300,0,BE_WAL
8564,Carotte (hâtive) pour l’industrie,Carrots (early) for industry,carrots_daucus,3301290300,0,BE_WAL
8564,Carotte (hâtive) pour lindustrie,Carrot (early) for industry,carrots_daucus,3301290300,0,BE_WAL
9564,Carotte (hâtive)(consommation) (consommation au frais),Carrot (early)(consumption) (consumption chilled),carrots_daucus,3301290300,0,BE_WAL
8564,Carotte (hâtive)(consommation) (transformation industrielle),Carrot (early)(consumption) (industrial processing),carrots_daucus,3301290300,0,BE_WAL
9535,Carotte (non hative),Carrot (not early),carrots_daucus,3301290300,0,BE_WAL
9535,Carotte (non hâtive),Carrot (not early),carrots_daucus,3301290300,0,BE_WAL
9535,Carotte (non hâtive) pour consommation en produit frais,Carrot (not early) for consumption as fresh product,carrots_daucus,3301290300,0,BE_WAL
8535,Carotte (non hâtive) pour l’industrie,Carrots (not early) for industry,carrots_daucus,3301290300,0,BE_WAL
8535,Carotte (non hâtive) pour lindustrie,Carrot (non-early) for industry,carrots_daucus,3301290300,0,BE_WAL
9535,Carotte (non hâtive)(consommation) (consommation au frais),Carrot (not early)(consumption) (consumption chilled),carrots_daucus,3301290300,0,BE_WAL
8535,Carotte (non hâtive)(consommation) (transformation industrielle),Carrot (non-early)(consumption) (industrial processing),carrots_daucus,3301290300,0,BE_WAL
742,Carottes fourrageres,Fodder Carrots,carrots_daucus,3301290300,0,BE_WAL
742,Carottes fourragères,Fodder Carrots,carrots_daucus,3301290300,0,BE_WAL
9523,Chou-fleur,Cauliflower,cauliflower,3301210204,0,BE_WAL
9523,Chou-fleur (consommation au choix),Cauliflower (consumption of your choice),cauliflower,3301210204,0,BE_WAL
8523,Chou-fleur (transformation industrielle),Cauliflower (industrial processing),cauliflower,3301210204,0,BE_WAL
8523,Chou-fleur pour lindustrie,Cauliflower for industry,cauliflower,3301210204,0,BE_WAL
9543,Celeri-rave,Celeriac,celeriac,3301250100,0,BE_WAL
9543,Céleri-rave,Celeriac,celeriac,3301250100,0,BE_WAL
9543,Céleri-rave (consommation au frais),Celeriac (consumption fresh),celeriac,3301250100,0,BE_WAL
8543,Céleri-rave (transformation industrielle),Celeriac (industrial processing),celeriac,3301250100,0,BE_WAL
9543,Céleri-rave pour consommation en produit frais,Celeriac for fresh consumption,celeriac,3301250100,0,BE_WAL
8543,Céleri-rave pour l’industrie,Celery root for industry,celeriac,3301250100,0,BE_WAL
8543,Céleri-rave pour lindustrie,Celery root for industry,celeriac,3301250100,0,BE_WAL
39,Céréales ET légumineuses,Cereals AND legumes,cereal_legume_mix,3301091200,1,BE_WAL
39,Céréales et légumineuses,Cereals and legumes,cereal_legume_mix,3301091200,1,BE_WAL
3922,Melange de cereales de printemps ( plus de 50%) et de  legumineuses (plus de 20%),Mixture of spring cereals (more than 50%) and legumes (more than 20%),cereal_legume_mix,3301091200,1,BE_WAL
