crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
224070,актинидия(киви),actinidia (kiwi),kiwi,3303010700,0,BG
124010,анасон,Aniseed,anise_aniseed,3301061205,0,BG
224050,арония,chokeberry,aronia_chokeberries,3303020100,0,BG
144040,арпаджик,Arpadzik (onion sets / small onions),onions,3301220400,0,BG
146020,аспержи,broad beans (for grain),asparagus,3301200000,0,BG
223020,бадеми,almonds,almond,3303030100,0,BG
112050,бакла за зърно,grain,beans,3301020100,0,BG
141120,бамя,Okra,fresh_vegetables,3301070000,0,BG
231050,блатно кокиче,marsh snowdrop (ornamental/flower),other_flowers_ornamental_plants,3301089900,0,BG
224080,бодливо грозде,prickly grape,gooseberry_gooseberries_cranberries,3303020700,0,BG
224090,боровинки,blueberries,blueberry,3303020400,0,BG
124050,босилек,basil,basil,3301061207,0,BG
142030,броколи,broccoli,broccoli,3301210202,0,BG
131042,бурчак,grass pea (Lathyrus / similar pulse),lathyrus_peavine,3301020800,0,BG
231070,бял риган,white oregano,oregano,3301061226,0,BG
124060,бял трън,thistle,marian_thistles,3301061300,0,BG
251210,Бяла върба,White willow,willows_osiers,3306080000,0,BG
251120,Бяла топола,White poplar,populus,3306070000,0,BG
251810,Бяла черница,White mulberry,other_permanent_crops_plantations,3303990000,0,BG
124040,валериана,valerian,valerian,3301061238,0,BG
112070,вигна,vigna (cowpea / similar),beans,3301020100,0,BG
211000,Винени лозя,Wine vineyards,vineyards_wine_vine_rebland_grapes,3303060000,0,BG
222050,вишни,Cherry,cherry_cherries,3303010400,0,BG
142010,главесто зеле,head cabbage (white cabbage),white_cabbage,3301210212,0,BG
112041,грах за зърно - зимен,grain peas - winter,peas,3301020600,0,BG
112042,грах за зърно - пролетен,grain peas - spring,peas,3301020600,0,BG
111014,двузърнест лимец,emmer (two-grain spelt),emmer,3301011200,0,BG
164000,Декоративни храсти,Ornamental shrubs,shrubberries_shrubs,3303080000,0,BG
212000,Десертни лозя,Dessert vineyards,vineyards_wine_vine_rebland_grapes,3303060000,0,BG
132022,детелина,clover,clover,3301090303,0,BG
141070,дини,watermelon,watermelon,3301140500,0,BG
181012,домати - неотопляеми оранжерии,tomatoes - unheated greenhouses,greenhouse_tomatoes,3305010400,0,BG
181011,домати - отопляеми оранжерии,tomatoes - heated greenhouses,greenhouse_tomatoes,3305010400,0,BG
141013,домати на открито,outdoor tomatoes,tomato,3301280000,0,BG
250000,ДРУГИ  ТРАЙНИ НАСАЖДЕНИЯ,Other permanent crops,other_permanent_crops_plantations,3303990000,0,BG
165000,Други декоративни растения,Other ornamental plants,flowers_ornamental_plants,3301080000,0,BG
185000,Други зеленчукови култури,Other vegetable crops,fresh_vegetables,3301070000,0,BG
112030,други зърнено-бобови,other cereals and legumes,other_arable_land_crops,3301990000,0,BG
111110,други зърнено-житни,other cereals,other_cereals,3301019900,0,BG
121040,други индустриални култури,other industrial cultures,other_industrial_crops,3301069900,0,BG
171050,други индустриални култури,other industrial cultures,other_industrial_crops,3301069900,0,BG
143070,други кореноплодни култури,other root crops,root_vegetables,3301290000,0,BG
222070,други костилкови овощни видове,Other bone fruit species,orchards_fruits,3303010000,0,BG
142070,други листностъблени култури,Other leaflets crops,other_salads_lettuce_leaf_vegetables,3301319900,0,BG
144050,други луковични зеленчукови култури,Other bulbous vegetable crops,onions,3301220400,0,BG
122070,други маслодайни,other oilseeds,oilseed_crops,3301060800,0,BG
124110,други медицински и ароматни култури,Other medical and aromatic crops,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,BG
231240,други многогодишни ароматни култури,Other perennial aromatic crops,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,BG
146030,други многогодишни зеленчукови култури,Other perennial vegetables,other_permanent_crops_plantations,3303990000,0,BG
225000,Други овощни видове,Other fruit species,orchards_fruits,3303010000,0,BG
141140,други плодови зеленчукови култури,other fruit and vegetable crops,other_arable_land_crops,3301990000,0,BG
221050,други семкови овощни видове,other pome fruit species,orchards_fruits,3303010000,0,BG
131070,други фуражни зеленчуци,other fodder vegetables,other_plants_harvested_green,3301099900,0,BG
131080,други фуражни култури,other forage crops,other_plants_harvested_green,3301099900,0,BG
