crop_code,crop_name,crop_name_de,crop_name_en,EC_trans_n,EC_hcat_n,EC_hcat_c,country_code
10001,,,unknown,,not_known_and_other,3390000000,BG
10002,,,tobacco,,tobacco,3301060100,BG
10003,,,tobacco,,tobacco,3301060100,BG
10004,,,White willow,,willows_osiers,3306080000,BG
10005,,,White poplar,,populus,3306070000,BG
10006,,,White mulberry,,unspecified_orchards_fruits,3303019800,BG
10007,,,Wine vineyards,,vineyards_wine_vine_rebland_grapes,3303060000,BG
10008,,,Virginia tobacco,,tobacco,3301060100,BG
10009,,,Fibre crops,,fibre_crops,3301061100,BG
10010,,,OTHER PERMANENT CROPS,,permanent_crops_perennial,3303000000,BG
10011,,,Ornamental shrubs,,unspecified_flowers_ornamental_plants,3301089800,BG
10012,,,Dessert vineyards,,vineyards_wine_vine_rebland_grapes,3303060000,BG
10013,,,Other ornamental plants,,other_flowers_ornamental_plants,3301089900,BG
10014,,,Other vegetable crops,,fresh_vegetables,3301070000,BG
10015,,,Other fruit types,,unspecified_orchards_fruits,3303019800,BG
10016,,,Tree crops with a short rotation cycle,,short_rotation_coppice,3306090000,BG
10017,,,Annual forage crops,,arable_crops,3301000000,BG
10018,,,Vegetables,,fresh_vegetables,3301070000,BG
10019,,,Grain and legume crops,,cereal,3301010000,BG
10020,,,Cereals,,cereal,3301010000,BG
10021,,,Cultivated meadows,,pasture_meadow_grassland_grass,3302000000,BG
10022,,,Oriental Plane,,other_tree_wood_forest,3306990000,BG
10023,,,Industrial crops,,industrial_nonfood_crops,3301060000,BG
10024,,,POTATOES,,potatoes,3301030000,BG
10025,,,CULTIVATED MUSHROOMS,,mushrooms_energy_genetically_modified_crops,3304000000,BG
10026,,,tobacco,,tobacco,3301060100,BG
10027,,,Root vegetables,,root_vegetables,3301290000,BG
10028,,,Stone fruit species,,orchards_fruits,3303010000,BG
10029,,,VINEYARD,,vineyards_wine_vine_rebland_grapes,3303060000,BG
10030,,,Hazel,,hazelnuts_hazel,3303030200,BG
10031,,,Mowing meadows,,pasture_meadow_grassland_grass,3302000000,BG
10032,,,Leafy vegetable crops,,salads_lettuce_leaf_vegetables,3301310000,BG
10033,,,Vine planting material,,vineyards_wine_vine_rebland_grapes,3303060000,BG
10034,,,Bulb vegetable crops,,root_vegetables,3301290000,BG
10035,,,PERENNIAL MEDICINAL AND AROMATIC CROPS,,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,BG
10036,,,Oil crops,,oilseed_crops,3301060800,BG
10037,,,Medicinal and Aromatic Crops,,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,BG
10038,,,Medical and aromatic crops,,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,BG
10039,,,Perennial grass species,,pasture_meadow_grassland_grass,3302000000,BG
10040,,,Perennial forage crops,,pasture_meadow_grassland_grass,3302000000,BG
10041,,,FRUIT TYPES,,orchards_fruits,3303010000,BG
10042,,,GREENHOUSE AREAS,,greenhouses,3305010000,BG
10043,,,Fruit planting material,,orchards_fruits,3303010000,BG
10044,,,AREA WITH FALLOW LAND,,fallow_land_not_crop,3301110000,BG
10045,,,"PERMANENT GRASSLANDS (permanent pastures, meadows and pastures)",,pasture_meadow_grassland_grass,3302000000,BG
10046,,,FRESH VEGETABLES,,fresh_vegetables,3301070000,BG
10047,,,Fruiting vegetables,,fresh_vegetables,3301070000,BG
10048,,,Areas for the production of seed and seed material,,arable_land_seed_seedlings,3301100000,BG
10049,,,Field elm,,other_tree_wood_forest,3306990000,BG
10050,,,Permanent grassland kept in a state suitable for grazing or mowing,,pasture_meadow_grassland_grass,3302000000,BG
10051,,,Permanent grassland (mowed meadows),,pasture_meadow_grassland_grass,3302000000,BG
10052,,,Permanent grassland (pastures and grazing measures),,pasture_meadow_grassland_grass,3302000000,BG
10053,,,Permanent grassland kept in a state suitable for grazing or mowing,,pasture_meadow_grassland_grass,3302000000,BG
10054,,,NURSERIES,,nurseries_nursery,3303070000,BG
10055,,,Nurseries for forest saplings,,nurseries_nursery,3303070000,BG
10056,,,Nurseries for ornamental plants,,nurseries_nursery,3303070000,BG
10057,,,FAMILY GARDENES,,kitchen_gardens,3301120000,BG
10058,,,Potted plants,,nurseries_nursery,3303070000,BG
10059,,,Pome fruits,,orchards_fruits,3303010000,BG
10060,,,Spelt,,spelt,3301011000,BG
10061,,,Silver Linden,,other_tree_wood_forest,3306990000,BG
10062,,,Industrial Crop,,industrial_nonfood_crops,3301060000,BG
10063,,,POPLARS,,other_tree_wood_forest,3306990000,BG
