crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
 , ,,not_known_and_other,3399000000,0,CZ
178,Aksamitník (afrikán),tagetes,tagetes,3301084700,0,CZ
21,Andělika lékařská,Angelica archangelica,angelica,3301061204,0,CZ
429,Angrešt,Gooseberry,gooseberry_gooseberries_cranberries,3303020700,0,CZ
24,Anýz vonný,Anise (aromatic),anise_aniseed,3301061205,0,CZ
40294,Batáty,Sweet potato,sweet_potatoes,3301040000,0,CZ
524,Batáty,Sweet potato,sweet_potatoes,3301040000,0,CZ
165,Bazalka,Basil,basil,3301061207,0,CZ
40059,Bazalka vonná,Fragrant basil,basil,3301061207,0,CZ
40060,Bedrník anýz,Anise (Pimpinella anisum),anise_aniseed,3301061205,0,CZ
23,Benedikt lékařský (čubet),Blessed thistle (Cnicus benedictus),aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,CZ
8,Bér italský,Setaria italica,millet_sorghum,3301010900,0,CZ
8,Bér vlašský,Sorghum / millet,millet_sorghum,3301010900,0,CZ
8,Bér vlašský (italský),Italian millet (Setaria italica),setaria,3301090206,0,CZ
266,Bez černý,Black elderberry,elder_elderberry,3303080400,0,CZ
64,Bob ,Bean,beans,3301020100,0,CZ
543,Bob polní,Field Bean,beans,3301020100,0,CZ
40369,Bob polní,Field Bean,beans,3301020100,0,CZ
544,Bob zahradní,Fava bean,beans,3301020100,0,CZ
315,Bojínek hlíznatý,Phleum,poaceae_grasses,3301090200,0,CZ
316,Bojínek luční,Timothy grass,timothy,3301090209,0,CZ
608,Borůvka,Blueberry,blueberry,3303020400,0,CZ
21,bra,Barley,barley,3301010400,0,CZ
420,Brambory konzumní,Eating potatoes,potatoes,3301030000,0,CZ
552,Brambory konzumní pozdní,late season potatoes,late_season_potatoes,3301030200,0,CZ
40360,Brambory konzumní pozdní,late season potatoes,late_season_potatoes,3301030200,0,CZ
40359,Brambory konzumní rané,Early table potatoes,early_season_potatoes,3301030100,0,CZ
551,Brambory konzumní rané (obvykle sklizeň do 30.6.),Early table potatoes,early_season_potatoes,3301030100,0,CZ
551,Brambory konzumní rané (sklizeň do 30.6.),Potatoes for consumption early (harvest until 30.6.),early_season_potatoes,3301030100,0,CZ
430,Brambory průmyslové,Industrial potatoes,potatoes,3301030000,0,CZ
421,Brambory sadbové,Seed potatoes,potatoes,3301030000,0,CZ
352,Brokolice,Broccoli,broccoli,3301210202,0,CZ
269,Broskvoň (nektarinky),Peach (Nectarines),peach,3303011100,0,CZ
525,Brutnák lékařský,Borage,borage,3301061209,0,CZ
40061,Brutnák lékařský,Borage,borage,3301061209,0,CZ
5,Čekanka (jinde neuvedená),Chicory (not otherwise specified),chicory_chicories,3301310200,0,CZ
40119,Čekanka hlávková,Chicory head,chicory_chicories,3301310200,0,CZ
5,Čekanka průmyslová,Industrial chicory,chicory_chicories,3301310200,0,CZ
359,Čekanka salátová,Chicory salad,chicory_chicories,3301310200,0,CZ
359,Čekanka salátová (hlávková),Chicory salad (head),chicory_chicories,3301310200,0,CZ
354,Celer bulvový,Celeriac,celeriac,3301250100,0,CZ
413,Celer listový,Celery leaf,leaf_celery,3301250200,0,CZ
40120,Celer listový (naťový),Celery leaf,leaf_celery,3301250200,0,CZ
355,Celer naťový,Celery,celery,3301250000,0,CZ
356,Celer řapíkatý,Celery,celery,3301250000,0,CZ
360,Černý kořen (hadí mord španělský),Black root (snake mord Spanish),root_vegetables,3301290000,0,CZ
361,Česnek jarní,Spring garlic,garlic,3301220200,0,CZ
362,Česnek ozimý,Winter garlic,garlic,3301220200,0,CZ
6,Chmel,Hop,hops,3301060200,0,CZ
40275,Chmel sadba,Hops seedling,hops,3301060200,0,CZ
530,Chmel sadba,Hops seedling,hops,3301060200,0,CZ
349,Chrastice rákosovitá,Phalaris arundinacea,canary_seed_canaryseed,3301011400,0,CZ
368,Chřest,Asparagus,asparagus,3301200000,0,CZ
50374,Chřestnatec,Virginia mallow (Sida),sida_virginia_mallow,3304030000,0,CZ
40065,Chrpa modrá,Cornflower (Centaurea cyanus),cornflowers,3301081000,0,CZ
557,Chrpa modrá,Cornflower (Centaurea cyanus),cornflowers,3301081000,0,CZ
357,Cibule jarní,Spring onions,scallion,3301220500,0,CZ
358,Cibule ozimá,Onions overwinter,onions,3301220400,0,CZ
358,Cibule zimní,Winter onions,onions,3301220400,0,CZ
414,Cibule zimní (sečka),Winter onions (chopped),onions,3301220400,0,CZ
592,Čičorka,crownvetch,vetches,3301090300,0,CZ
40137,Čičorka (jinde neuvedená),crownvetch (not elsewhere specified),vetches,3301090300,0,CZ
66,Čičorka pestrá,crownvetch,vetches,3301090300,0,CZ
9,Čirok,Sorghum,millet_sorghum,3301010900,0,CZ
9,Čirok cukrový,Sugar sorghum,millet_sorghum,3301010900,0,CZ
249,Čirok sudanská tráva,Sorghum Sudan grass,millet_sorghum,3301010900,0,CZ
95,Čirok zrnový,Grain sorghum,millet_sorghum,3301010900,0,CZ
556,Citronová tráva,Lemon grass,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,CZ
40062,Citronová tráva,Lemon grass,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,CZ
65,Cizrna ,Chickpeas,chickpeas,3301020200,0,CZ
65,Cizrna beraní,Mutton chickpeas,chickpeas,3301020200,0,CZ
67,Čočka,Lentil,lentils,3301020500,0,CZ
67,Čočka jedlá,Edible lentil,lentils,3301020500,0,CZ
444,Cuketa,Zucchini,zucchini_courgette,3301140600,0,CZ
2,Cukrovka,sugar beet,sugar_beet,3301290700,0,CZ
25,Divizna velkokvětá,dense-flowered mullein,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,CZ
527,Dobromysl obecná,oregano,oregano,3301061226,0,CZ
40063,Dobromysl obecná,oregano,oregano,3301061226,0,CZ
40115,Dočasně nezpůsobilá plocha,Temporarily ineligible area,not_known_and_other,3399000000,0,CZ
463,Dočasně nezpůsobilá plocha,Temporarily ineligible area,not_known_and_other,3399000000,0,CZ
351,Dočasný travní porost,Temporary grass cover,temporary_grass,3301090100,0,CZ
