,crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
2121,992,"Abbau-, Oed-, Un-, Geringstland","Extraction, wasteland, poor land",unmaintained,3308000000.0,0,DE_BRB
2122,220,"Acker-, Puff-, u.Pferdebohnen zur Koernergewinnung","Field, broad and horse beans for grain production",beans,3301020100.0,3,DE_BRB
2123,220,Ackerbohne/Puffbohne/Pferdebohne/ Dicke Bohne,Broad bean/broad bean/horse bean/broad bean,beans,3301020100.0,3,DE_BRB
2124,220,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Field bean / broad bean / horse bean / broad bean/Field / broad / horse bean,beans,3301020100.0,3,DE_BRB
2125,424,Ackergras,Arable grass,temporary_grass,3301090100.0,0,DE_BRB
2126,999,"Ackerkultur einer Gattung/Art, die in der akt. Liste fehlt",Arable crops of a genus / species not included in the current list/Genus / species (not in list),other_arable_land_crops,3301990000.0,0,DE_BRB
2127,999,"Ackerkultur einer Gattung/Art, die in der aktuellen Liste nicht aufgefuehrt ist",Arable crop of a genus/species that is not included in the current list,other_arable_land_crops,3301990000.0,0,DE_BRB
2128,999,"Ackerkultur einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",Arable crops of a genus/species that are not included in the current list,other_arable_land_crops,3301990000.0,0,DE_BRB
2129,591,Ackerland aus der Erzeugung genommen,Arable land withdrawn from production (self-greening)/arable land taken from generation,fallow_land_not_crop,3301110000.0,0,DE_BRB
2130,591,Ackerland aus der Erzeugung genommen iSd. Art. 4 Abs. 1 Buchst. c) ii) VO 1307/2013,Arable land removed from production iSd. Art. 4 Paragraph 1 Letter c) ii) Regulation 1307/2013,fallow_land_not_crop,3301110000.0,0,DE_BRB
2131,12,Ackerrandstreifen AUKM,Field edge strip AUKM (Agri-environmental and climate measures),field_margins_buffer_strips_flowering_areas,3310100000.0,0,DE_BRB
2132,836,Aepfel (Ertragsanlagen),Apples (yielding plants),apples,3303010200.0,0,DE_BRB
2133,827,Aepfel in Vollanbau,Apples in full cultivation,apples,3303010200.0,0,DE_BRB
2134,827,Aepfel in Vollanbau (Ertragsanlagen),Apples in full cultivation (yield systems),apples,3303010200.0,0,DE_BRB
2135,,Agroforststreifen ohne ÖR,Agroforestry strips without ecological requirement,agroforestry,3308000000.0,0,DE_BRB
2136,591,AL a. d. Erzeug. gen. iSd. Art. 4 Abs. 1 c) ii) VO 1307/2013,arable land a. d. Produce gen. iSd. Art. 4 Para. 1 c) ii) Regulation 1307/2013,fallow_land_not_crop,3301110000.0,0,DE_BRB
2137,940,alle and. Gewaesser (unbewirtschaftet),all other water bodies (unmanaged),wetlands,3310400000.0,0,DE_BRB
2138,459,Alle anderen Dauergruenlandnutzungen,All other permanent grassland uses,pasture_meadow_grassland_grass,3302000000.0,0,DE_BRB
2139,990,Alle anderen Flächen (keine LF),All other areas (non-agricultural land),not_known_and_other,3399000000.0,0,DE_BRB
2140,990,Alle anderen Flaechen,All other areas,not_known_and_other,3399000000.0,0,DE_BRB
2141,990,Alle anderen Flaechen (keine LF),All other areas (non-agricultural land),not_known_and_other,3399000000.0,0,DE_BRB
2142,429,Alle anderen Futterpflanzen,All other forage plants,other_plants_harvested_green,3301099900.0,0,DE_BRB
2143,190,Alle anderen Getreidearten,All other grains,other_cereals,3301019900.0,0,DE_BRB
2144,459,alle anderen Gruenlandnutzungen,all other grassland uses,pasture_meadow_grassland_grass,3302000000.0,0,DE_BRB
2145,459,alle anderen Grünlandnutzungen,all other grassland uses,pasture_meadow_grassland_grass,3302000000.0,0,DE_BRB
2146,690,Alle anderen Hackfruechte,All other chopped fruits,other_arable_land_crops,3301990000.0,0,DE_BRB
2147,790,alle anderen Handelsgewaechse,all other commercial products,other_arable_land_crops,3301990000.0,0,DE_BRB
