crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
961,A2-LPR Verpflichtung auf landw. Fläche,A2-LPR obligation on agricultural land. Area,environmental_protection,3311000000,0,DE_BWB
220,Ackerbohnen/Puffbohnen/Pferdebohnen/Dicke Bohnen,Field bean / broad bean / horse bean / broad bean/Field / broad / horse bean,beans,3301020100.0,3,DE_BWB
424,Ackergras,Arable grass,temporary_grass,3301090100.0,0,DE_BWB
591,Ackerland aus der Erzeugung genommen,Arable land withdrawn from production,other_arable_land_crops,3301990000.0,0,DE_BWB
915,Ackerrandstreifen,other flower strips or flower areas,field_margins_buffer_strips_flowering_areas,3310100000.0,0,DE_BWB
190,Alle anderen Getreidearten,Cereals of a genus/species not included in the current list,other_cereals,3301019900.0,0,DE_BWB
455,Almen und Alpen,Mountain pastures and alps,pasture_meadow_grassland_grass,3302000000,0,DE_BWB
186,Amarant (Amarant/Fuchsschwanz),amaranth,amaranth,3301150100,0,DE_BWB
642,Ampfer (Wiesen-Sauerampfer),Dock (meadow sorrel),sorrel,3301310700.0,0,DE_BWB
48,andere Handelsgewächse,other commercial crops,other_arable_land_crops,3301990000.0,0,DE_BWB
653,Anis,anise,anise_aniseed,3301061205.0,0,DE_BWB
673,"Artemisia (Wermut, Estragon, Beifuß)","Artemisia (wormwood, tarragon, mugwort)",artemisia,3301061206.0,0,DE_BWB
861,Artischocke,artichoke,artichoke,3301270000,0,DE_BWB
623,Auberginen,eggplant,aubergine_eggplant,3301260000.0,0,DE_BWB
584,aus ehemals DZ-fähiger Fläche durch Natura 2000-Auflagen entstandene nicht landw. Fläche,Non-agricultural areas created from previously DZ-capable areas due to Natura 2000 requirements. Area,environmental_protection,3311000000.0,0,DE_BWB
585,aus ehemals DZ-fähiger Fläche durch WRRL-Auflagen entstandene nicht landwirtschaftliche Fläche,Non-agricultural area created from former DZ-capable area due to WFD requirements,environmental_protection,3311000000.0,0,DE_BWB
660,Basilikum,basil,basil,3301061207.0,0,DE_BWB
564,Basis-/Betriebsprämienfähige aufgeforstete Flächen nach Einkommensverlustprämie,Afforested areas eligible for basic/operating payments after income loss premium,afforestation_reforestation,3306010000.0,0,DE_BWB
564,Basis-/Betriebsprämienfähige aufgeforstete Flächen nach Erstaufforstung-/Einkommensverlustprämie,Areas afforested according to VO 1257/1999 or VO (EG) No. 1698/2005 or VO 1305/2013/Afforestation in rural areas,afforestation_reforestation,3306010000.0,0,DE_BWB
71,Baumreihe ÖVF (CC-LE),Tree row ÖVF (CC-LE),tree_lines,3310300000.0,0,DE_BWB
838,"Baumschulen, nicht für Beerenobst",Nurseries/Tree nurseries (excluding soft fruit),nurseries_nursery,3303070000,0,DE_BWB
827,"Beerenobst (z.B. Johannis-, Stachel-, Himbeeren)",Berries,berries_berry_species,3303020000,0,DE_BWB
839,Beerenobst zur Vermehrung (in Baumschulen),Berries for propagation (in tree nurseries),berries_berry_species,3303020000.0,0,DE_BWB
610,beetweiser Anbau von Gemüse (gärtnerischer Anbau),Growing vegetables in beds (horticultural cultivation),fresh_vegetables,3301070000.0,0,DE_BWB
