crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
915, Ackerrandstreifen/Blühflächen,Field margins/flower strips,field_margins_buffer_strips_flowering_areas,3310100000,0,DE_LSA
720, beetweiser Anbau Zierpflanzen,Row cultivation of ornamental plants,flowers_ornamental_plants,3301080000,0,DE_LSA
972, Grünland (nicht DZ fähig),Run for livestock keeping (not DZ capable),pasture_meadow_grassland_grass,3302000000,0,DE_LSA
841, KUP GAPDZV,Short rotation plantations,short_rotation_coppice,3306090000,0,DE_LSA
112, Winterdurum (Hartweizen),Winter hard wheat / durum,winter_durum_hard_wheat,3301010201,0,DE_LSA
156, Wintertriticale,Winter triticale,winter_triticale,3301010801,0,DE_LSA
555,20-jährig hier Stilllegung,,fallow_land_not_crop,3301110000,0,DE_LSA
555,20-jährige Flächenstilllegung,,fallow_land_not_crop,3301110000,0,DE_LSA
998,"Abbau-, Öd-, Un-, Geringstland, Sukzessionsflächen – dauerhaft aus der Erzeugung genommen","Extracted/fallow/poor land, succession areas – permanently removed from production",fallow_land_not_crop,3301110000,0,DE_LSA
998,"Abbau-,Öd-,Un-,Geringstl.",Extracted/fallow/poor land,fallow_land_not_crop,3301110000,0,DE_LSA
220,"Acker-, Puff-, Pferde- und Dicke Bohne",Field bean / broad bean / horse bean / broad bean,beans,3301020100,0,DE_LSA
220,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Field bean / broad bean / horse bean / broad bean,beans,3301020100,0,DE_LSA
424,Ackergras,Arable grass,temporary_grass,3301090100,0,DE_LSA
999,"Ackerkultur einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",Arable crop of a genus/species not listed,other_arable_land_crops,3301990000,0,DE_LSA
591,Ackerland aus der Erzeugung genommen,Arable land withdrawn from production (self-greening),fallow_land_not_crop,3301110000,0,DE_LSA
591,Ackerland aus der Erzeugung genommen ,Arable land withdrawn from production (self-greening),fallow_land_not_crop,3301110000,0,DE_LSA
590,Ackerland aus der Erzeugung genommen (gezielte Ansaat von Blühmischungen),Fallow with annual sowing of flower mix,fallow_land_not_crop,3301110000,0,DE_LSA
591,Ackerland aus der Erzeugung genommen (Selbstbegrünung),Arable land withdrawn from production (self-greening),fallow_land_not_crop,3301110000,0,DE_LSA
591,Ackerland aus der Erzeugung genommen iSd. Art. 4 Abs. 1 Buchst. c) ii) VO (EU) Nr. 1307/2013,Arable land withdrawn from production (self-greening),fallow_land_not_crop,3301110000,0,DE_LSA
591,Ackerland aus Erzeugung,Arable land withdrawn from production (self-greening),fallow_land_not_crop,3301110000,0,DE_LSA
915,Ackerrandstreifen und Blühflächen,Field margins and flower strips,field_margins_buffer_strips_flowering_areas,3310100000,0,DE_LSA
84,Agri-PV-Anlage,Agri-PV system,agrivoltaics,3309000000,0,DE_LSA
83,Agroforstreifen ohne ÖR,Agroforestry strip without ÖR (ECO REGULATION),agroforestry,3312000000,0,DE_LSA
81,Agroforstsystem (§4(2) (Nr.1: Streifen) GAPDZV),agroforestry system (§4(2) (no.1: strips) GAPDZV),agroforestry,3312000000,0,DE_LSA
82,Agroforstsystem (§4(2) (Nr.2: verstreut) GAPDZV),Agroforestry system (§4(2) (Nr.2: scattered) GAPDZV),agroforestry,3312000000,0,DE_LSA
990,Alle anderen Flächen (keine LF),All other areas (no agricultural land),not_known_and_other,3399000000,0,DE_LSA
633,Allium/Lauch,Allium / leek (onion,alliums,3301220000,0,DE_LSA
633,"Allium/Lauch (Speise-Zwiebel, Schalotte, Lauch, Knoblauch, Schnittlauch, Winterheckenzwiebel, Bärlauch)",Allium / leek (onion,alliums,3301220000,0,DE_LSA
778,Alpendistel,alpine thistle ,marian_thistles,3301061300,0,DE_LSA
778,Alpendistel ,alpine thistle ,marian_thistles,3301061300,0,DE_LSA
779,Amacrinum,amacrinum,flowers_ornamental_plants,3301080000,0,DE_LSA
186,"Amarant, Fuchsschwanz","Amaranth, foxtail",amaranth,3301150100,0,DE_LSA
642,Ampfer,Sorrel,sorrel,3301310700,0,DE_LSA
642,Ampfer (Wiesen-Sauerampfer),Sorrel (meadow sorrel),sorrel,3301310700,0,DE_LSA
632,Andere Gemüsearten,Other vegetables,fresh_vegetables,3301070000,0,DE_LSA
632,"Andere Gemüsearten (einschl. Zucker-, Futter-/Runkelrüben)",Other vegetables,fresh_vegetables,3301070000,0,DE_LSA
790,"Anemonen (Herbstanemone, Japanische Anemone)","Anemones (fall anemone, Japanese anemone)",anemones_windflowers,3301080200,0,DE_LSA
651,"Anethum (Dill, Gurkenkraut)",Dill,anethum_dill,3301061203,0,DE_LSA
653,Anis,anise,anise_aniseed,3301061205,0,DE_LSA
836,Äpfel in Vollanbau,Apples in full cultivation,apples,3303010200,0,DE_LSA
836,Äpfel in Vollanbau ,Apples in full cultivation,apples,3303010200,0,DE_LSA
861,Artischocke,artichoke,artichoke,3301270000,0,DE_LSA
733,Astern,Asters,asters,3301080300,0,DE_LSA
733,Astern (Sommeraster),asters (summer aster),asters,3301080300,0,DE_LSA
623,Auberginen,aubergines,aubergine_eggplant,3301260000,0,DE_LSA
564,Aufgeforstete Flächen auf Ackerland oder Dauergrünland mit Antrag auf Erstaufforstung,Areas afforested according to VO 1257/1999 or VO (EG) No. 1698/2005 or VO 1305/2013,afforestation_reforestation,3306010000,0,DE_LSA
972,Auslauf zur Nutztierhaltung (nicht DZ fähig),Run for livestock keeping (not DZ capable),pasture_meadow_grassland_grass,3302000000,0,DE_LSA
679,Baldrian,Valerian,valerian,3301061238,0,DE_LSA
679,Baldrian (Echter Baldrian),Valerian (real valerian),valerian,3301061238,0,DE_LSA
679,Baldriane (Echter Baldrian),Valerian,valerian,3301061238,0,DE_LSA
660,Basilikum,basil,basil,3301061207,0,DE_LSA
71,Baumreihe >50m Kondi,Tree row >50m condi,tree_lines,3310300000,0,DE_LSA
B,Baumreihen,Tree rows,tree_lines,3310300000,0,DE_LSA
838,Baumschulen,Nurseries,nurseries_nursery,3303070000,0,DE_LSA
838,"Baumschulen, nicht für Beerenobst",Nurseries,nurseries_nursery,3303070000,0,DE_LSA
827,Beerenobst,Berries,berries_berry_species,3303020000,0,DE_LSA
839,Beerenobst zur Vermehrung,Berries for propagation (in tree nurseries),berries_berry_species,3303020000,0,DE_LSA
839,Beerenobst zur Vermehrung (in Baumschulen),Berries for propagation (in tree nurseries),berries_berry_species,3303020000,0,DE_LSA
827,"Beerenobst, z.B. Johannis-, Stachel-, Himbeeren",Berries,berries_berry_species,3303020000,0,DE_LSA
827,"Beerenobst, z.B., Heidelbeeren, Johannisbeeren, Stachelbeeren, Himbeeren",Berries,berries_berry_species,3303020000,0,DE_LSA
827,"Beerenobst, z.B., Johannis-, Stachel-, Himbeeren",Berries,berries_berry_species,3303020000,0,DE_LSA
650,beetw. Anbau Küchenkr./Heil-/Gewürzpfl.,Row cultivation of herbs/spices,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,DE_LSA
610,beetweiser Anbau von Gemüse,Row cultivation of vegetables,fresh_vegetables,3301070000,0,DE_LSA
650,beetweiser Anbau von Küchenkräuter/Heil-und Gewürzpflanzen,Row cultivation of herbs/spices,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,DE_LSA
650,beetweiser Anbau von Küchenkräuter/Heil-und Gewürzpflanzen ,Row cultivation of kitchen herbs/medicinal/spices,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,DE_LSA
