crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
793,Hanf,Hemp,hemp_cannabis,3301061000,0,DE_MWP
701,Hanf,Hemp,hemp_cannabis,3301061000,0,DE_MWP
220,"Acker-,Puff-,Pferdebohnen zur Körnergewinnung","Field, fava and horse beans for grain production",beans,3301020100,0,DE_MWP
220,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Field bean/fava bean/horse bean/broad bean,beans,3301020100,0,DE_MWP
424,Ackergras,Arable grass,pasture_meadow_grassland_grass,3302000000,0,DE_MWP
999,"Ackerkultur einer Gattung/Art, die in der akt. Liste fehlt",Arable crop of a genus/species not listed in the current list,other_arable_land_crops,3301990000,0,DE_MWP
999,"Ackerkultur einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",Arable crop of a genus/species not included in the current list,other_arable_land_crops,3301990000,0,DE_MWP
591,Ackerland aus der Erzeugung genommen,Arable land taken out of production,fallow_land_not_crop,3301110000,0,DE_MWP
591,Ackerland aus der Erzeugung genommen iSd. Art. 4 Abs. 1 Buchst. c) ii) VO 1307/2013,Arable land taken out of production pursuant to Art. 4 para. 1 lit. c) ii) Reg. 1307/2013,fallow_land_not_crop,3301110000,0,DE_MWP
591,AL a. d. Erzeug. gen. iSd. Art. 4 Abs. 1 c) ii) VO 1307/2013,Arable land taken out of production pursuant to Art. 4 para. 1 c) ii) Reg. 1307/2013,fallow_land_not_crop,3301110000,0,DE_MWP
915,Ackerrandstreifen und Blühflächen,Field margins and flowering areas,field_margins_buffer_strips_flowering_areas,3310100000,0,DE_MWP
915,Blühflächen und Ackerrandstreifen,Flowering areas and field margins,field_margins_buffer_strips_flowering_areas,3310100000,0,DE_MWP
885,Pufferstreifen (AUKM),Buffer strip (AUKM),field_margins_buffer_strips_flowering_areas,3310100000,0,DE_MWP
928,Saum- und Bandstrukturen,Margin and strip structures,field_margins_buffer_strips_flowering_areas,3310100000,0,DE_MWP
633,"Lauch (Speise-Zwiebel, Schalotte ... Bärlauch)","Leek (table onion, shallot ... wild garlic)",alliums,3301220000,0,DE_MWP
633,"Lauch (Speise-Zwiebel, Schalotte, Lauch, Knoblauch, Schnittlauch, Winterheckenzwiebel, Bärlauch)","Leek (table onion, shallot, leek, garlic, chives, Welsh onion, wild garlic)",alliums,3301220000,0,DE_MWP
186,"Amarant, Fuchsschwanz","Amaranth, foxtail",amaranth,3301150100,0,DE_MWP
653,Anis,Anise,anise_aniseed,3301061205,0,DE_MWP
836,Äpfel in Vollanbau,Apples in full planting,apples,3303010200,0,DE_MWP
623,Auberginen,Eggplants,aubergine_eggplant,3301260000,0,DE_MWP
