crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
492,(Heide (DGL etabl. Praktiken),Heathland (permanent grassland established practices),pasture_meadow_grassland_grass,3302000000,0,DE_NRW
1,1 Hecken oder Knicks (CC),1 hedges or hedgerows (CC),hedges,3310200000,0,DE_NRW
10,10 Tümpel-Sölle-Moore-Dolinen und andere vergleichbare Feuchtgebiete (CC),"10 ponds, kettle holes, moors, sinkholes and other comparable wetlands (CC)",wetlands,3310400000,0,DE_NRW
11,11 Trocken- oder Natursteinmauern oder Lesesteinwälle (CC),11 dry or natural stone walls or stone heaps (CC),stone_walls,3310600000,0,DE_NRW
12,12 Fels- und Steinriegel sowie naturversteinte Flächen (CC),12 rock and stone ridges as well as naturally stony areas (CC),stone_walls,3310600000,0,DE_NRW
13,13 Feldraine (CC),13 field margins (CC),field_margins_buffer_strips_flowering_areas,3310100000,0,DE_NRW
16,16 Terrassen (CC),16 terraces (CC),non_productive_landscape_elements,3310000000,0,DE_NRW
2,2 Baumreihen (CC),2 rows of trees (CC),tree_lines,3310300000,0,DE_NRW
3,3 Feldgehölze (CC),3 field shrubs (CC),tree_lines,3310300000,0,DE_NRW
4,4 Feuchtgebiete (CC),4 wetlands (CC),wetlands,3310400000,0,DE_NRW
5,5 Einzelbäume (CC),5 individual trees (CC),tree_lines,3310300000,0,DE_NRW
55,55 Ufervegetation,55 riparian vegetation,not_known_and_other,3399000000,0,DE_NRW
220,"Acker-,Puff-,Pferdebohnen z.K.","Field, fava, horse beans for grain",beans,3301020100,3,DE_NRW
220,Acker-/Puff-/Pferdebohne,Field / broad / horse bean,beans,3301020100,3,DE_NRW
220,Ackerbohnen-/Dicke Bohne,field bean/broad bean,beans,3301020100,3,DE_NRW
424,Ackergras,Arable grass,temporary_grass,3301090100,3,DE_NRW
973,AF (Keine Betriebsprämie),AF (no farm payment),not_known_and_other,3399000000,0,DE_NRW
591,AF aus Erzeugung genommen,AF taken out of production,fallow_land_not_crop,3301110000,0,DE_NRW
773,Ageratum (Gew. Leberbalsam),Ageratum (weight liver balm),other_flowers_ornamental_plants,3301089900,0,DE_NRW
81,Agroforstsystem (Streifen),agroforestry system (strips),agroforestry,3312000000,0,DE_NRW
591,AL aus Erzeugung genommen,Arable land withdrawn from production,fallow_land_not_crop,3301110000,0,DE_NRW
