,crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
4431,911,(Beta-)Rübensamenvermehrung,(Beta) beet seed propagation,beetroot_beets,3301290200,0,DE_RLP
4432,220,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Field bean / broad bean / horse bean / broad bean/Field / broad / horse bean,beans,3301020100,3,DE_RLP
4433,424,Ackergras,Arable grass,temporary_grass,3301090100,0,DE_RLP
4434,999,"Ackerkultur einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",Arable crops of a genus/species that are not included in the current list,other_arable_land_crops,3301990000,0,DE_RLP
4435,591,Ackerland aus der Erzeugung genommen,Arable land withdrawn from production (self-greening)/arable land taken from generation,fallow_land_not_crop,3301110000,0,DE_RLP
4436,990,alle anderen Flächen (keine LF),All other areas (non-agricultural land),not_known_and_other,3399000000,0,DE_RLP
4437,190,alle anderen Getreidearten,all other types of grain,other_cereals,3301019900,0,DE_RLP
4438,790,alle anderen Handelsgewächse,all other commercial crops,other_arable_land_crops,3301990000,0,DE_RLP
4439,778,Alpendistel,Alpine thistle,marian_thistles,3301061300,0,DE_RLP
4440,779,Amacrinum,amacrinum,flowers_ornamental_plants,3301080000,0,DE_RLP
4441,186,Amarant (Amarant/Fuchsschwanz),Amaranth (Amarant/Foxtail),amaranth,3301150100,0,DE_RLP
4442,186,"Amarant, Fuchsschwanz",amaranth,amaranth,3301150100,0,DE_RLP
4443,642,Ampfer (Wiesen-Sauerampfer),Sorrel (meadow sorrel),sorrel,3301310700,0,DE_RLP
4444,651,"Anethum (Dill, Gurkenkraut)","Anethum (dill, cucumber herb)",anethum_dill,3301061203,0,DE_RLP
4445,653,Anis,anise,anise_aniseed,3301061205,0,DE_RLP
4446,861,Artischocke,artichoke,artichoke,3301270000,0,DE_RLP
4447,733,Astern (Sommeraster),asters (summer aster),asters,3301080300,0,DE_RLP
4448,623,Auberginen,aubergines,aubergine_eggplant,3301260000,0,DE_RLP
4449,950,Aufforstung,Afforestation,afforestation_reforestation,3306010000,0,DE_RLP
4450,61,Aufforstungsflächen ÖVF,Afforestation areas EFA,afforestation_reforestation,3306010000,0,DE_RLP
4451,679,Baldriane (Echter Baldrian),Valerian (true valerian),valerian,3301061238,0,DE_RLP
4452,660,Basilikum,basil,basil,3301061207,0,DE_RLP
4453,817,Beerenobst,Berries,berries_berry_species,3303020000,0,DE_RLP
4454,610,beetweiser Anbau von Gemüse,vegetables,fresh_vegetables,3301070000,0,DE_RLP
4455,780,Begonien,begonias,begonias,3301080400,0,DE_RLP
4456,930,Bewirtschaftete Gewässer/Teichflächen,Managed water bodies/pond areas,wetlands,3310400000,0,DE_RLP
4457,653,Bibernellen (Anis),Bibernels (aniseed),anise_aniseed,3301061205,0,DE_RLP
4458,728,Bischofskraut,bishopswort,flowers_ornamental_plants,3301080000,0,DE_RLP
4459,732,Blumen und nicht verholzende Zierpflanzen unter Glas,Flowers and non-woody ornamental plants under glass,greenhouse_flowers,3305010800,0,DE_RLP
4460,665,Bohnenkraut,Savory,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,DE_RLP
4461,665,Bohnenkräuter,Savory herbs,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,DE_RLP
4462,663,Borretsch,borage,borage,3301061209,0,DE_RLP
4463,62,Brachen ohne Erzeugung  ÖVF,Fallow land without production EFA,fallow_land_not_crop,3301110000,0,DE_RLP
4464,62,Brachen ohne Erzeugung ÖVF,Fallow land without public transport production,fallow_land_not_crop,3301110000,0,DE_RLP
4465,513,Braunellen,Brown allium,flowers_ornamental_plants,3301080000,0,DE_RLP
4466,614,Brauner Senf (Brauner Senf/Sareptasenf),Brown mustard (brown mustard/sarepta mustard),mustard,3301210100,0,DE_RLP
4467,709,Brennnesseln (Große Brennnessel),Nettles (great nettle),nettles,3301061225,0,DE_RLP
4468,182,Buchweizen,Buckwheat,buckwheat,3301150200,0,DE_RLP
4469,896,Chinaschilf (Miscanthus),Chinese reed (Miscanthus),miscanthus_silvergrass,3301083000,0,DE_RLP
4470,852,Chinaschilf/Miscanthus,Chinese reed / Miscanthus,miscanthus_silvergrass,3301083000,0,DE_RLP
4471,734,"Chrysanthemen (Garten-Chrysantheme, Winteraster)","chrysanthemums (garden chrysanthemum, winter aster)",chrysanthemum,3301080900,0,DE_RLP
4472,172,Corn-Cob-Mix,Corn Cob Mix,green_silo_maize,3301090400,0,DE_RLP
4473,750,Dahlien (Garten-Dahlie),Dahlias (garden dahlia),dahlia,3301081200,0,DE_RLP
4474,960,Dämme und Deiche,Dams and dikes,non_productive_landscape_elements,3310000000,0,DE_RLP
