,crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
4983,911,(Beta-)Rübensamenvermehrung,(Beta) beet seed propagation,beetroot_beets,3301290200,0,DE_SAA
4984,220,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Field bean / broad bean / horse bean / broad bean/Field / broad / horse bean,beans,3301020100,3,DE_SAA
4985,424,Ackergras,Arable grass,temporary_grass,3301090100,0,DE_SAA
4986,999,"Ackerkultur einer Gattung/Art, die in der aktuellen Liste nicht enthalten ist",Arable crop of a genus/species that is not included in the current list,other_arable_land_crops,3301990000,0,DE_SAA
4987,591,Ackerland aus der Erzeugung genommen,Arable land withdrawn from production (self-greening)/arable land taken from generation,fallow_land_not_crop,3301110000,0,DE_SAA
4988,591,Ackerland aus der Erzeugung genommen (1x im Jahr mulchen),Arable land removed from production (mulch once a year),fallow_land_not_crop,3301110000,0,DE_SAA
4989,915,"Ackerrandstreifen und Blühflächen (keine ÖVF, keine AUKM)","Field margins and flowering areas (no EFA, no AUKM)",field_margins_buffer_strips_flowering_areas,3310100000,0,DE_SAA
4990,915,Ackerrandstreifen und Blühflächen (keine ÖVF; keine AUKM),Field edge strips and flowering areas (no EFA; no AUKM),field_margins_buffer_strips_flowering_areas,3310100000,0,DE_SAA
4991,990,Alle anderen Flächen (keine LF),All other areas (non-agricultural land),not_known_and_other,3399000000,0,DE_SAA
4992,990,alle anderen Flächen (keine LF),All other areas (non-agricultural land),not_known_and_other,3399000000,0,DE_SAA
4993,690,alle anderen Hackfrüchte (ohne Futterhackfr.),all other root crops (excluding fodder),root_vegetables,3301290000,0,DE_SAA
4994,790,alle anderen Handelsgewächse,all other commercial crops,other_arable_land_crops,3301990000,0,DE_SAA
4995,633,"Allium/Lauch (Speise-Zwiebel, Schalotte, Lauch, Knoblauch,","Allium/leek (onion, shallot, leek, garlic,",alliums,3301220000,0,DE_SAA
4996,633,"Allium/Lauch (Speise-Zwiebel, Schalotte, Lauch, Knoblauch, Schnittlauch, Winterheckenzwiebel, Bärlauch","Allium/Leek (onions, shallots, leeks, garlic, chives, winter onions, wild garlic",alliums,3301220000,0,DE_SAA
4997,186,Amarant (Amarant/ Fuchsschwanz),Amaranth (Amarant/ Foxtail),amaranth,3301150100,0,DE_SAA
4998,651,"Anethum (Dill, Gurkenkraut)","Anethum (dill, cucumber herb)",anethum_dill,3301061203,0,DE_SAA
4999,61,Aufforstungsflächen ÖVF,Afforestation areas EFA,afforestation_reforestation,3306010000,0,DE_SAA
5000,71,Baumreihen (vgl.002 ),Rows of trees (see 002),tree_lines,3310300000,0,DE_SAA
5001,830,Baumschulen,Nurseries,nurseries_nursery,3303070000,0,DE_SAA
5002,838,"Baumschulen, nicht für Beerenobst",Nurseries/Tree nurseries (excluding soft fruit),nurseries_nursery,3303070000,0,DE_SAA
5003,839,Beerenobst zur Vermehrung (in Baumschulen),Berry fruit for propagation (in nurseries),berries_berry_species,3303020000,0,DE_SAA
5004,827,"Beerenobst, z.B. Johannis-, Stachel-, Himbeeren","Berry fruit e.g. currants, gooseberries",berries_berry_species,3303020000,0,DE_SAA
5005,817,"Beerenobst, z.B. Johannis-, Stachel-, Himbeeren","Berry fruit e.g. currants, gooseberries",berries_berry_species,3303020000,0,DE_SAA
5006,843,Bestockte Rebfläche,Planted vineyards,vineyards_wine_vine_rebland_grapes,3303060000,0,DE_SAA
5007,930,Bewirtschaftete Gewässer/Teichflächen,Managed water bodies/pond areas,wetlands,3310400000,0,DE_SAA
5008,575,Blühfläche (AUKM),Flowering area (AUKM),field_margins_buffer_strips_flowering_areas,3310100000,0,DE_SAA
5009,590,Brache mit Einsaat von einjährigen Blühmischungen,Fallow with annual sowing of flower mix,fallow_land_not_crop,3301110000,0,DE_SAA
5010,62,Brachen ohne Erzeugung  ÖVF,Fallow land without production EFA,fallow_land_not_crop,3301110000,0,DE_SAA
5011,62,Brachen ohne Erzeugung ÖVF,Fallow land without public transport production,fallow_land_not_crop,3301110000,0,DE_SAA
5012,65,brachliegende Flächen öVF Honigpflanzen (pollen- und nektarreiche Arten) -einjährig,fallow areas EFA honey plants (pollen and nectar rich species) - annual,fallow_land_not_crop,3301110000,0,DE_SAA
5013,66,brachliegende Flächen öVF Honigpflanzen (pollen- und nektarreiche Arten) -mehrjährig,fallow areas EFA honey plants (species rich in pollen and nectar) - perennial,fallow_land_not_crop,3301110000,0,DE_SAA
5014,614,Brauner Senf (Brauner Senf/Sareptasenf),Brown mustard (brown mustard/sarepta mustard),mustard,3301210100,0,DE_SAA
5015,182,Buchweizen,Buckwheat,buckwheat,3301150200,0,DE_SAA
5016,896,Chinaschilf (Miscanthus),Chinese reed (Miscanthus),miscanthus_silvergrass,3301083000,0,DE_SAA
5017,852,Chinaschilf/Miscanthus,Chinese reed / Miscanthus,miscanthus_silvergrass,3301083000,0,DE_SAA
5018,852,Chinaschilf/Miscanthus KEIN ÖVF,Miscanthus/Miscanthus NO EFA,miscanthus_silvergrass,3301083000,0,DE_SAA
5019,441,Code unbekannt,Code unknown,not_known_and_other,3399000000,0,DE_SAA
5020,777,Code unbekannt,Code unknown,not_known_and_other,3399000000,0,DE_SAA
5021,843,Code unbekannt,Code unknown,not_known_and_other,3399000000,0,DE_SAA
5022,443,Code unbekannt,Code unknown,not_known_and_other,3399000000,0,DE_SAA
5023,73,Code unbekannt,Code unknown,not_known_and_other,3399000000,0,DE_SAA
5024,75,Code unbekannt,Code unknown,not_known_and_other,3399000000,0,DE_SAA
5025,750,Dahlien (Garten-Dahlie),Dahlias (garden dahlia),dahlia,3301081200,0,DE_SAA
5026,592,Dauergrünland aus der Erzeugung genommen,Permanent grassland withdrawn from production within the meaning of Art. 4 para. 1 letter c) ii) Regulation 1307/2013/Permanent grass land suspendet from production,pasture_meadow_grassland_grass,3302000000,0,DE_SAA
5027,592,Dauergrünland aus der Erzeugung genommen (1x im Jahr mulchen),Permanent grassland removed from production (mulch once a year),pasture_meadow_grassland_grass,3302000000,0,DE_SAA
5028,855,"Dauerkultur einer Gattung/Art, die in der aktuellen Liste nicht",Permanent culture of a genus/species that is not in the current list,permanent_crops_perennial,3303000000,0,DE_SAA
5029,855,"Dauerkultur einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist (sonstige Dauerkultur)",Permanent culture of a genus/species that is not included in the current list (other permanent culture),permanent_crops_perennial,3303000000,0,DE_SAA
5030,444,DGL Neueinsaat als Ersatz für genehmigten DGL Umbruch,permanent grassland new sowing as a replacement for approved permanent grassland plowing,pasture_meadow_grassland_grass,3302000000,0,DE_SAA
5031,114,Dinkel,Spelt,spelt,3301011000,0,DE_SAA
5032,64,Durchwachsene Silphie ÖVF,Mixed Silphie EFA,silphium_rosinweeds,3301084400,0,DE_SAA
5033,722,Einjähriges Silberblatt,Annual silver leaf,lunaria_honesty_silver,3301082700,0,DE_SAA
5034,801,"Energiepflanze einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",Energy plant of a genus/species that is not included in the current list,energy_crops,3304010000,0,DE_SAA
5035,210,"Erbsen (Erbse, Markerbse, Schalerbse, Zuckererbse)","Peas (peas, marsh peas, shell peas, sugar peas)",peas,3301020600,0,DE_SAA
5036,240,Erbsen/Bohnen,Peas beans/Mixed peas / beans,legumes_dried_pulses_protein_crops,3301020000,3,DE_SAA
5037,240,Erbsen/Bohnen (Nicht ÖVF),Peas/beans (not EFA),legumes_dried_pulses_protein_crops,3301020000,3,DE_SAA
5038,707,Erdbeeren,Strawberries,strawberries,3301130000,0,DE_SAA
5039,429,Esparsette,Esparsette,esparsette_onobrychis,3301020300,0,DE_SAA
5040,479,Extensive Bewirtschaftung naturschutzfachlich wertvollen,extensive management of ecologically valuable land,pasture_meadow_grassland_grass,3302000000,0,DE_SAA
5041,478,Extensive Bewirtschaftung naturschutzfachlich wertvollen,extensive management of ecologically valuable land,pasture_meadow_grassland_grass,3302000000,0,DE_SAA
5042,478,Extensive Bewirtschaftung naturschutzfachlich wertvollen Dauergrünlands (AUKM),extensive management of valuable permanent grassland (AUKM),pasture_meadow_grassland_grass,3302000000,0,DE_SAA
5043,479,Extensive Bewirtschaftung naturschutzfachlich wertvollen Dauergrünlands mit Streuobst (AUKM),Extensive management of permanent grassland with orchards that are valuable in terms of nature conservation (AUKM),pasture_meadow_grassland_grass,3302000000,0,DE_SAA
5044,0,fehlende Codeangabe,missing code information,miscanthus_silvergrass,3301083000,0,DE_SAA
5045,58,Feldrand ÖVF,Field edge EFA,field_margins_buffer_strips_flowering_areas,3310100000,0,DE_SAA
5046,58,Feldrand/ Pufferstreifen ÖVF AL,Field edge/buffer strip EFA arable land,field_margins_buffer_strips_flowering_areas,3310100000,0,DE_SAA
5047,57,Feldrand/ Pufferstreifen ÖVF DGL,Field edge/buffer strip EFA permanent grassland,field_margins_buffer_strips_flowering_areas,3310100000,0,DE_SAA
5048,636,Feldsalate (Feldsalat/Ackersalat/ Rapunzel),Lamb's lettuce (corn salad/field lettuce/rapunzel),lambs_lettuce_rapunzel,3301310500,0,DE_SAA
5049,995,Forstflächen (Waldbodenflächen),Forest areas (forest floor areas),tree_wood_forest,3306000000,0,DE_SAA
5050,412,Futterhackfrüchte,Fodder root crops,fodder_roots,3301050000,0,DE_SAA
5051,413,Futterrübe/Runkelrübe,Fodder beet / beetroot,mangelwurzel_fodder_beet,3301290400,0,DE_SAA
5052,723,Garten-/ Sommerlevkoje,Garden/summer bunk,flowers_ornamental_plants,3301080000,0,DE_SAA
5053,792,Gartenbausämereien,Horticultural seeds,other_arable_land_crops,3301990000,0,DE_SAA
5054,635,"Gartenbohne (Gartenbohne/Buschbohne/Stangenbohne,","Common bean (common bean/bush bean/pole bean,",beans,3301020100,0,DE_SAA
5055,630,"Gartenkürbis (cucurbita pepo) (Gartenkürbis, Steirischer Kürbis,","Garden pumpkin (cucurbita pepo) (garden pumpkin, Styrian pumpkin,",pumpkin_squash_gourd,3301140400,0,DE_SAA
5056,630,"Gartenkürbis (cucurbita pepo) (Gartenkürbis, Steirischer Kürbis, Zucchini, Spaghettikürbis, Zierkürbis","Pumpkin (cucurbita pepo) (Garden pumpkin, Styrian pumpkin, zucchini, spaghetti pumpkin, ornamental pumpkin",pumpkin_squash_gourd,3301140400,0,DE_SAA
5057,618,"Gartenrettiche (Weiße/rote Rettiche, schwarzer Winterrettich,","Garden radishes (white/red radishes, black winter radishes,",radish,3301290600,0,DE_SAA
5058,618,"Gartenrettiche (Weiße/rote Rettiche, schwarzer Winterrettich, Ölrettich, Radieschen)","Garden radishes (white/red radishes, black winter radishes, oil radishes, radishes)",radish,3301290600,0,DE_SAA
5059,250,Gemenge Erbsen / Getreide,Mixture of peas/cereals,cereal_legume_mix,3301091200,1,DE_SAA
5060,250,Gemenge Leguminosen/Getreide,Mixture of legumes/cereals,cereal_legume_mix,3301091200,1,DE_SAA
5061,610,Gemüse,Vegetables,fresh_vegetables,3301070000,0,DE_SAA
5062,710,Gemüse (Freiland),Vegetables (outdoor),fresh_vegetables,3301070000,0,DE_SAA
5063,613,"Gemüsekohl (Kopfkohl, Wirsing, Rot-/Weißkohl, Spitzkohl,","Vegetable cabbage (head cabbage, savoy cabbage, red/white cabbage, pointed cabbage,",brassica_oleracea_cabbage,3301210200,0,DE_SAA
5064,613,"Gemüsekohl (Kopfkohl, Wirsing, Rot-/Weißkohl, Spitzkohl, Grünkohl, Kohlrabi, Markstammkohl, Blumenkohl","Vegetable cabbage (head cabbage, savoy cabbage, red/white cabbage, pointed cabbage, kale, kohlrabi, marrow stem cabbage, cauliflower",brassica_oleracea_cabbage,3301210200,0,DE_SAA
