crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
911,(Beta-)Rübensamenvermehrung,(Beta) beet seed propagation,beetroot_beets,3301290200,0,DE_SAT
564,ab 28.06.1995 aufgeforstete Ackerfl„che,"Arable land afforested from June 28, 1995",afforestation_reforestation,3306010000,0,DE_SAT
564,ab 28.06.1995 aufgeforstete Ackerfläche,"Arable land afforested from June 28, 1995",afforestation_reforestation,3306010000,0,DE_SAT
220,"Acker-, Puff- und Pferdebohnen zur K”rnergewinnung","Field, broad and horse beans for grain production",beans,3301020100,0,DE_SAT
220,"Acker-, Puff- und Pferdebohnen zur Körnergewinnung","Field, broad and horse beans for grain production",beans,3301020100,0,DE_SAT
220,"Acker-, Puff- und Pferdebohnen zur Körnergewinnung","Field, broad and horse beans for grain production",beans,3301020100,0,DE_SAT
220,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Broad bean/broad bean/horse bean/broad bean,beans,3301020100,0,DE_SAT
424,Ackergras,Arable grass,temporary_grass,3301090100,0,DE_SAT
424,Ackergras,Arable grass,temporary_grass,3301090100,0,DE_SAT
999,"Ackerkultur einer Gattung/Art, die in der akt. Liste fehlt",Arable culture of a genus/species that is currently List is missing,other_arable_land_crops,3301990000,0,DE_SAT
999,"Ackerkultur einer Gattung/Art, die in der aktuellen Liste nicht aufgeführt ist",Arable crop of a genus/species not included in the current list,other_arable_land_crops,3301990000,0,DE_SAT
591,Ackerland aus der Erzeugung genommen,Arable land withdrawn from production,fallow_land_not_crop,3301110000,0,DE_SAT
591,Ackerland aus der Erzeugung genommen,Arable land withdrawn from production,fallow_land_not_crop,3301110000,0,DE_SAT
591,Ackerland aus der Erzeugung genommen iSd. Art. 4 Abs. 1 Buchst. c) ii) VO 1307/2013,Arable land removed from production iSd. Art. 4 Paragraph 1 Letter c) ii) Regulation 1307/2013,fallow_land_not_crop,3301110000,0,DE_SAT
915,Ackerrand- und Blühflächen,Field edges and flowering areas,field_margins_buffer_strips_flowering_areas,3310100000,0,DE_SAT
