crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
790888,(Beta-)Rübensamenvermehrung,(Beta) beet seed propagation,beetroot_beets,3301290200,0,DE_THU
790888,(Beta-)Rübensamenvermehrung,(Beta) beet seed propagation,beetroot_beets,3301290200,0,DE_THU
220000,"Acker-, Puff- u. Pferdebohnen","Field, fava and horse beans",beans,3301020100,3,DE_THU
220000,Ackerbohne (Puffbohne/Pferdebohne/Dicke Bohne),Field bean (fava bean/horse bean/broad bean),beans,3301020100,3,DE_THU
220000,Ackerbohne/Puffbohne/Pferdebohne/Dicke Bohne,Field bean / broad bean / horse bean / broad bean/Field / broad / horse bean,beans,3301020100,3,DE_THU
418370,"Ackergras (z. B. Knaulgras, Wiesenschweidel, Bastardweidel-, Deutsches Weidelgras) -Nutzung GoG max. 5 Jahre","Arable grass (e.g. orchard grass, meadow fescue, hybrid ryegrass, perennial ryegrass) - use GoG max. 5 years",temporary_grass,3301090100,0,DE_THU
418370,"Ackergras (z. B. Knaulgras, Wiesenschweidel, Bastardweidel-, Deutsches Weidelgras) -Nutzung max. 5 Jahre","Arable grass (e.g. orchard grass, meadow fescue, hybrid ryegrass, perennial ryegrass) - use max. 5 years",temporary_grass,3301090100,0,DE_THU
500010,Ackerland aus der Erzeugung genommen,Arable land withdrawn from production (self-greening)/arable land taken from generation,fallow_land_not_crop,3301110000,0,DE_THU
500010,Ackerland aus der Erzeugung genommen iSd. Art. 4 Abs. 1 Buchst. c) ii) VO 1307/2013-Brache,Arable land taken out of production pursuant to Art. 4 para. 1 lit. c) ii) Reg. 1307/2013 - fallow,fallow_land_not_crop,3301110000,0,DE_THU
500010,Ackerland aus der Erzeugung genommen iSd. Art. 4 Abs. 1 Buchst. c) ii) VO 1307/2013-Brache (ohne ÖVF/KULAP nach 5 Jahren DGL),Arable land taken out of production pursuant to Art. 4 para. 1 lit. c) ii) Reg. 1307/2013 - fallow (without EFA/AECM after 5 years of permanent grassland),fallow_land_not_crop,3301110000,0,DE_THU
510011,Agroforststreifen an Ackerland,Agroforestry strip on arable land,agroforestry,3312000000,0,DE_THU
418250,Alexandrinerklee,Berseem clover,clover,3301090303,0,DE_THU
990000,Alle anderen Flächen (keine LF),All other areas (non-agricultural land),not_known_and_other,3399000000,0,DE_THU
412999,alle anderen Futterhackfrüchte,All other fodder root crops,fodder_roots,3301050000,0,DE_THU
690999,alle anderen Hackfrüchte (ohne Futterhackfr.),all other root crops (excluding fodder),root_vegetables,3301290000,0,DE_THU
610190,alle anderen Kartoffeln,All other potatoes,potatoes,3301030000,0,DE_THU
940208,alle anderen Pappeln,All other poplars,populus,3306070000,0,DE_THU
940203,alle anderen Weiden,All other willows,willows_osiers,3306080000,0,DE_THU
418240,alle Arten Steinklee,All species of sweet clover,clover,3301090303,0,DE_THU
510075,Altgrasstreifen und -flächen,Old grass strips and areas,pasture_meadow_grassland_grass,3302000000,0,DE_THU
190840,Amarant-Quinoa (Reismelde),Amaranth-quinoa (goosefoot),quinoa,3301150300,0,DE_THU
710009,Andere Gemüsearten (Sammelcode),Other vegetable species (collective code),fresh_vegetables,3301070000,0,DE_THU
418760,andere Mischkulturen ohne Leguminosen als Saatgutmischung (z. B. Gerstgras),Other mixed crops without legumes as seed mixture (e.g. barley grass),mixed_cropping,3301320000,1,DE_THU
770004,Andorn,Horehound,flowers_ornamental_plants,3301080000,0,DE_THU
