crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
528,[ble,Apples,apples,3303010200,0,DK
215,[rtehelsæd,Peas wholecrop,peas,3301020600,0,DK
30,[rter,Peas,peas,3301020600,0,DK
424,[rter til konsum,Peas consumption,peas,3301020600,0,DK
904,]bne arealer i skov,Open areas in forest,tree_wood_forest,3306000000,0,DK
900,\vrige afgrøder,other crops,other_arable_land_crops,3301990000,0,DK
500,0,0,not_known_and_other,3399000000,0,DK
312,20-årig udtagning,20-year set aside,fallow_land_not_crop,3301110000,0,DK
313,20-årig udtagning af agerjord med frivillig skovrejsning,20-year set-aside of arable land with voluntary afforestation,afforestation_reforestation,3306010000,0,DK
313,20-årig udtagning me,20-year set-aside w… (truncated),afforestation_reforestation,3306010000,0,DK
316,"20-årig Udtagning med fastholdelse, ej landbrugsareal","20-year Extraction with retention, not agricultural land",fallow_land_not_crop,3301110000,0,DK
313,20-årig udtagning med skov,20-year sampling with forest,afforestation_reforestation,3306010000,0,DK
314,20-årig udtagning med tilsagn om skovrejsning,20-year set aside with scheme of forest establiment from NST,afforestation_reforestation,3306010000,0,DK
314,20-årig udtagning med tilsagn om skovrejsning fra NST,20-year extraction with commitment to afforestation from NST,afforestation_reforestation,3306010000,0,DK
904,Åbne arealer i skov,Open areas in forest,tree_wood_forest,3306000000,0,DK
528,Æbler,Apples,apples,3303010200,0,DK
528,Æbler,Apples,apples,3303010200,0,DK
215,Ærtehelsæd,Peas wholecrop,peas,3301020600,0,DK
215,Ærtehelsæd,Peas wholecrop,peas,3301020600,0,DK
30,Ærter,Peas,peas,3301020600,0,DK
30,Ærter,Peas,peas,3301020600,0,DK
424,"Ærter, konsum",Peas consumption,peas,3301020600,0,DK
424,"Ærter, konsum",Peas consumption,peas,3301020600,0,DK
906,Afmeldte arealer,Deregistered areas,not_known_and_other,3399000000,0,DK
541,Agurk,Cucumber,cucumber_pickle,3301140100,0,DK
541,Agurker,Cucumbers,cucumber_pickle,3301140100,0,DK
114,Alm. rapgræsfrø,Rough bluegrass,poaceae_grasses,3301090200,0,DK
905,Anden anvendelse på,Other use on,not_known_and_other,3399000000,0,DK
905,Anden anvendelse på tilsagnsarealer,Other use on commitment areas,not_known_and_other,3399000000,0,DK
36,Anden bælgsæd til modenhed,Second leguminous seed to maturity,legumes_dried_pulses_protein_crops,3301020000,0,DK
50,Anden bredbladet afg,Other broadleaf crop,other_arable_land_crops,3301990000,0,DK
50,Anden bredbladet afgrøde,Other broadleaf crop,other_arable_land_crops,3301990000,0,DK
532,Anden buskfrugt,Other shrub fruit,shrubberries_shrubs,3303080000,0,DK
532,Anden buskfrugt.,Other bush fruit.,shrubberries_shrubs,3303080000,0,DK
181,Anden oliefrøart,Other oilseed species,oilseed_crops,3301060800,0,DK
580,Anden skovdrift,Other forestry operations,tree_wood_forest,3306000000,0,DK
531,Anden træfrugt,Other tree fruit,orchards_fruits,3303010000,0,DK
669,Andet havefrø,Other garden seed,other_arable_land_crops,3301990000,0,DK
126,Andet markfrø til udsæd,Other field seed for sowing,other_arable_land_crops,3301990000,0,DK
508,Andre af slægten Vaccinium,Others of the genus Vaccinium,berries_berry_species,3303020000,0,DK
800,Andre arealer i skovblokke,Other areas in forest blocks,tree_wood_forest,3306000000,0,DK
543,Andre grøntsager,Other vegetables,fresh_vegetables,3301070000,0,DK
162,"Andre industriafgr.,","Other industry departments,",other_industrial_crops,3301069900,0,DK
162,"Andre industriafgr., herunder rodfrugter","Other industrial sectors, including root vegetables",other_industrial_crops,3301069900,0,DK
162,Andre industriafgr./rodfr.,Other industrial degr./rootfr.,other_industrial_crops,3301069900,0,DK
17,"Andre kornarter, eft",Other autumn-sown cereals,winter_unspecified_cereals,3301011501,0,DK
17,"Andre kornarter, efterårssået","Other cereals, sown in autumn",winter_unspecified_cereals,3301011501,0,DK
4,"Andre kornarter, vår","Other cereals, spring",other_cereals,3301019900,0,DK
4,"Andre kornarter, vårsået","Other cereals, spring sown",other_cereals,3301019900,0,DK
400,Asieagurker,pickles,cucumber_pickle,3301140100,0,DK
400,Asier,pickles,cucumber_pickle,3301140100,0,DK
401,Asparges,Asparagus,asparagus,3301200000,0,DK
427,Babyleaves,Babyleaves,salads_lettuce_leaf_vegetables,3301310000,0,DK
121,"Bælgplanter, frø",Ley legumes,legumes_dried_pulses_protein_crops,3301020000,0,DK
54,Bælgsæd blanding,Legume mixture,legumes_dried_pulses_protein_crops,3301020000,1,DK
36,"Bælgsæd, andre typer","Legumes, other types",legumes_dried_pulses_protein_crops,3301020000,0,DK
36,"Bælgsæd, andre typer til modenhed","Legumes, other types to maturity",legumes_dried_pulses_protein_crops,3301020000,0,DK
36,"Bælgsæd, andre typer til modenhed blanding",Legumes other types for maturity mixing,legumes_dried_pulses_protein_crops,3301020000,1,DK
35,"Bælgsæd, flerårig","Legume, perennial",legumes_dried_pulses_protein_crops,3301020000,0,DK
35,"Bælgsæd, flerårig blanding",Legumes perennial mixture,legumes_dried_pulses_protein_crops,3301020000,1,DK
589,Bæredygtig skovdrift,Sustainable forestry,tree_wood_forest,3306000000,0,DK
590,Bæredygtig skovdrift,Sustainable forestry,tree_wood_forest,3306000000,0,DK
590,Bæredygtig skovdrift i Natura 2000-område,Sustainable forestry in Natura 2000 area,tree_wood_forest,3306000000,0,DK
535,Bærmispel,Berry medlar fruit,orchards_fruits,3303010000,0,DK
921,Bar jord,Bare soil,fallow_land_not_crop,3301110000,0,DK
125,Bederoefrø,Beetroot seeds,beetroot_beets,3301290200,0,DK
342,Bestøverbrak,Pollen fallow,fallow_land_not_crop,3301110000,0,DK
519,Blåbær,Blueberry,blueberry,3303020400,0,DK
656,"Bladbedefrø, rødbede","Beetroot seeds, beetroot",beetroot_beets,3301290200,0,DK
656,"Bladbedefrø, rødbedefrø",Beetroot seeds beetroot seeds,beetroot_beets,3301290200,0,DK
430,Bladpersille,Parsley,parsley,3301061227,0,DK
402,Bladselleri,Celery leaves,leaf_celery,3301250200,0,DK
539,Blandet frugt,Mixed fruit,orchards_fruits,3303010000,0,DK
539,Blandet støtteberett,Mixed eligible fruit,orchards_fruits,3303010000,0,DK
539,Blandet støtteberettiget frugt,Mixed eligible fruit,orchards_fruits,3303010000,0,DK
17,Blanding af efterårssåede arter,Mixture of autumn sown species,winter_unspecified_cereals,3301011501,1,DK
17,Blanding af efterårssåede kornarter,Mixture of autumn-sown cereals,winter_unspecified_cereals,3301011501,1,DK
126,Blanding af markfrø til udsæd,Mixture of field seeds for sowing,other_arable_land_crops,3301990000,1,DK
182,Blanding af oliearter,Mixture of oil species,oilseed_crops,3301060800,1,DK
230,"Blanding af vårkorn, grønkorn",Mixture of spring cereals green grains,unspecified_cereals_cut_green,3301091100,1,DK
4,Blanding af vårsåede arter,Mixture of spring-sown species,spring_unspecified_cereals,3301011502,1,DK
4,Blanding af vårsåede kornarter,Mixture of spring-sown cereals,spring_unspecified_cereals,3301011502,1,DK
235,"Blanding af vinterkorn, grønkorn",Mixture of winter grains green grains,unspecified_cereals_cut_green,3301091100,1,DK
51,"Blanding bredbladet afgrøde, frø/kerne",Mixture of broad-leaved crops (seed/grain),other_arable_land_crops,3301990000,1,DK
162,"Blanding, andre industriafgr.",Mixture other industrial crops,other_industrial_crops,3301069900,1,DK
224,"Blandkorn, efterårss","Mixed grain, autumn",winter_unspecified_cereals,3301011501,0,DK
224,"Blandkorn, efterårssået helsæd","Mixed grain, autumn-sown whole seed",winter_unspecified_cereals,3301011501,0,DK
213,"Blandkorn, vårsået,","Mixed grain, spring sown,",spring_unspecified_cereals,3301011502,0,DK
213,"Blandkorn, vårsået, helsæd",Mixed cereal spring sown wholecrop,spring_unspecified_cereals,3301011502,0,DK
403,Blomkål,Cauliflower,cauliflower,3301210204,0,DK
523,Blomme med undervæks,Plum with undergrowth,plums,3303011300,0,DK
523,Blomme med undervækst af græs,Plum with undergrowth of grass,plums,3303011300,0,DK
522,Blomme uden undervæk,"Plum, without undergrowth",plums,3303011300,0,DK
522,Blomme uden undervækst af græs,Plum without undergrowth of grass,plums,3303011300,0,DK
522,"Blomme, uden undervækst","Plum, without undergrowth",plums,3303011300,0,DK
523,"Blomme, undervækst","Plum, undergrowth",plums,3303011300,0,DK
324,Blomsterbrak,Fallow with flowers,fallow_land_not_crop,3301110000,4,DK
668,Blomsterfrø,Flower seeds,flowers_ornamental_plants,3301080000,0,DK
502,Blomsterløg,Flower bulbs,flowers_ornamental_plants,3301080000,0,DK
53,Boghvede,Buckwheat,buckwheat,3301150200,0,DK
426,"Bønner, andre","Beans, others",beans,3301020100,0,DK
344,"Brak langs vandløb og søer, forårsslåning (alternativ til efterafgrøder)","Fallow land along streams and lakes, spring mowing (alternative to fallow crops)",fallow_land_not_crop,3301110000,0,DK
348,"Brak langs vandløb og søer, forårsslåning (til målrettet kvælstofregulering)","Fallow land along streams and lakes, spring mowing (for targeted nitrogen regulation)",fallow_land_not_crop,3301110000,0,DK
345,"Brak langs vandløb og søer, slåning (alternativ til efterafgrøder)","Fallow along streams and lakes,  mowing (alternative to cover crops)",fallow_land_not_crop,3301110000,0,DK
345,"Brak langs vandløb og søer, sommerslåning (alternativ til efterafgrøder)","Fallow land along streams and lakes, summer mowing (alternative to fallow crops)",fallow_land_not_crop,3301110000,0,DK
349,"Brak langs vandløb og søer, sommerslåning (til målrettet kvælstofregulering)","Fallow land along streams and lakes, summer mowing (for targeted nitrogen regulation)",fallow_land_not_crop,3301110000,0,DK
338,"Brak, forårsslåning",Fallow spring mowing,fallow_land_not_crop,3301110000,0,DK
