crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
,harilik lutsern (100% lutsern),common alfalfa (100% alfalfa),alfalfa_lucerne,3301090301,0,EE
,harilik lutsern (100% lutserni),common alfalfa (100% alfalfa),alfalfa_lucerne,3301090301,0,EE
,"harilik lutsern (lutserni 50-80%, teisi heintaimi 20-50%)","common alfalfa (alfalfa 50-80%, other grasses 20-50%)",alfalfa_lucerne,3301090301,1,EE
,"harilik lutsern (vähemalt 80% lutserni, kun 20% heintaimi)","common alfalfa (at least 80% alfalfa, at least 20% grasses)",alfalfa_lucerne,3301090301,1,EE
,humallutsern (100% lutserni),hop alfalfa (100% alfalfa),alfalfa_lucerne,3301090301,0,EE
,lutsern,alfalfa,alfalfa_lucerne,3301090301,0,EE
,"lutsern, harilik","alfalfa, common",alfalfa_lucerne,3301090301,0,EE
,"lutsern, hübriid","alfalfa, hybrid",alfalfa_lucerne,3301090301,0,EE
,aedtill,dill,anethum_dill,3301061203,0,EE
,"till, aed","dill, garden",anethum_dill,3301061203,0,EE
,"kikkaputk, harilik",garden angelica,angelica,3301061204,0,EE
,"aniis, harilik","anise, common",anise_aniseed,3301061205,0,EE
,õun,an apple,apples,3303010200,0,EE
,õunapuu,apple tree,apples,3303010200,0,EE
,"altee, harilik",Marshmallow,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,EE
,"iisop, harilik","hyssop, common",aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,EE
,koirohi,wormwood,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,EE
,"neitsikummel, lõhnav",feverfew,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,EE
,ravim- ja maitsetaimed,herbs and spices,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,EE
,ravim- ja maitsetaimed väikestel pindadel,herbs and spices on small areas,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,EE
,ravim- ja maitsetaimede segu muude põllumajanduskultuuridega,a mixture of herbs and spices with other agricultural crops,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,1,EE
,"südamerohi, veiste-",motherwort,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,EE
,"teeleht, suur",broadleaf plantain,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,EE
,"tihashein, harilik",common skullcap,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,EE
,"tihashein, külgõieline",blue skullcap,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,EE
,"vägihein, kõrge",denselfower mullein,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,EE
,"vürtsköömen, harilik","Cumin, common",aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,EE
,aroonia,Aronia,aronia_chokeberries,3303020100,0,EE
,arooniad,aronia berries,aronia_chokeberries,3303020100,0,EE
,spargel,asparagus,asparagus,3301200000,0,EE
,valkjas mesiohakas (100% mesiohakat),glandular globe-thistle (100%),asters,3301080300,0,EE
,oder,barley,barley,3301010400,0,EE
,oder allakülviga,barley with undersowing,barley_with_undersowing,3301320400,0,EE
,aeduba,garden bean,beans,3301020100,0,EE
,põlduba,field bean,beans,3301020100,0,EE
,"põlduba ""Helbi""",field bean,beans,3301020100,0,EE
,"põlduba ""Jõgeva""","field bean ""Jõgeva""",beans,3301020100,0,EE
,"põlduba, v.a ""Jõgeva""","field beans, except ""Jõgeva""",beans,3301020100,0,EE
,uba,bean,beans,3301020100,0,EE
,muu põlduba,other field bean,beans,3301020100,0,EE
,peet,beet,beetroot_beets,3301290200,0,EE
,"peet, puna","beetroot, red",beetroot_beets,3301290200,0,EE
,punapeet (söögipeet),beetroot (beetroot),beetroot_beets,3301290200,0,EE
,söögipeet,beetroot,beetroot_beets,3301290200,0,EE
,paprika,paprika,bell_pepper_paprika,3301300100,0,EE
,muud marjad,other berries,berries_berry_species,3303020000,0,EE
,muud marjapõõsad,other berry bushes,berries_berry_species,3303020000,0,EE
,harilik nõiahammas (100% nõiahammast),Bird's-foot trefoil (100%),birdsfoot_trefoil,3301090306,0,EE
,"mustköömen, aed-","black cumin, garden-",black_cumin,3301061208,0,EE
,"mustköömen, türgi","black cumin, Turkish",black_cumin,3301061208,0,EE
,must sõstar,black currant,blackcurrant_cassis,3303020300,0,EE
,"sõstar, must-","currant, black-",blackcurrant_cassis,3303020300,0,EE
,kultuurmustikas,cultured blueberry,blueberry,3303020400,0,EE
,mustikas,blueberry,blueberry,3303020400,0,EE
,"kurgirohi, harilik",Borage,borage,3301061209,0,EE
,kapsas,cabbage,brassica_oleracea_cabbage,3301210200,0,EE
,"kapsasrohi, must","cabbage greens, black",brassica_oleracea_cabbage,3301210200,0,EE
,"kapsasrohi, sarepta","cabbage grass, sarepta",brassica_oleracea_cabbage,3301210200,0,EE
,lillkapsas ja brokkoli,cauliflower and broccoli,brassica_oleracea_cabbage,3301210200,0,EE
,muu kapsas,other cabbage,brassica_oleracea_cabbage,3301210200,0,EE
,muud kapsad,other cabbages,brassica_oleracea_cabbage,3301210200,0,EE
,söödakapsas,fodder cabbage,brassica_oleracea_cabbage,3301210200,0,EE
,spargelkapsas (brokkoli),broccoli,broccoli,3301210202,0,EE
,tatar,buckwheat,buckwheat,3301150200,0,EE
,tatar allakülvita,buckwheat without undersowing,buckwheat,3301150200,0,EE
,tatar liblikõieliste allakülviga,buckwheat with leguminous undersowing,buckwheat_with_legumes,3301320901,1,EE
,tatar allakülviga,buckwheat with sowing,buckwheat_with_undersowing,3301320900,1,EE
