crop_code,crop_name,crop_name_en,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code,Note / Variety Name
10301,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ - MEDICAGO SATIVA,Alfalfa for Seed Production - Medicago,Alfalfa for Seed Production - Medicago,alfalfa_lucerne,3301090301,0,EL,Genus name
25008,ΜΗΔΙΚΗ Η ΛΥΚΙΣΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ,Hop Medick for Seed Production,Hop Medick for Seed Production,alfalfa_lucerne,3301090301,0,EL,Species: Medicago lupulina
25010,ΜΗΔΙΚΗ ΝΟΘΟΣ ΣΤΥΚΤΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ,Hybrid / Spotted Medick for Seed Production,Hybrid / Spotted Medick for Seed Production,alfalfa_lucerne,3301090301,0,EL,Likely Medicago x varia or M. arabica
25050,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ YLIKI,Alfalfa for Seed Production - Yliki,Alfalfa for Seed Production - Yliki,alfalfa_lucerne,3301090301,0,EL,Cultivar: Yliki
25052,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ GEA,Alfalfa for Seed Production - Gea,Alfalfa for Seed Production - Gea,alfalfa_lucerne,3301090301,0,EL,Cultivar: Gea
25056,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ YPATI 84,Alfalfa for Seed Production - Ypati 84,Alfalfa for Seed Production - Ypati 84,alfalfa_lucerne,3301090301,0,EL,Cultivar: Ypati 84
25057,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ AGN M72,Alfalfa for Seed Production - AGN M72,Alfalfa for Seed Production - AGN M72,alfalfa_lucerne,3301090301,0,EL,Commercial hybrid series
25058,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ LARISSA,Alfalfa for Seed Production - Larissa,Alfalfa for Seed Production - Larissa,alfalfa_lucerne,3301090301,0,EL,Cultivar: Larissa
25062,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ DOLICHI,Alfalfa for Seed Production - Dolichi,Alfalfa for Seed Production - Dolichi,alfalfa_lucerne,3301090301,0,EL,Cultivar: Dolichi
25063,ΜΗΔΙΚΗ ΣΠΟΡΟΠΑΡΑΓΩΓΗΣ NIKITA,Alfalfa for Seed Production - Nikita,Alfalfa for Seed Production - Nikita,alfalfa_lucerne,3301090301,0,EL,Cultivar: Nikita
