crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
140,ABACA ALIAS MANILA (Musa textilis Née),ABACA ALIAS MANILA (Musa textilis Née),fibre_crops,3301061100,0,ES
25,ABANDONO 20 años,ABANDONMENT 20 years,fallow_land_not_crop,3301110000,0,ES
296,ABETO,FIR TREE,tree_wood_forest,3306000000,0,ES
228,ACACIA,ACACIA,tree_wood_forest,3306000000,0,ES
166,ACELGA,CHARD,chard,3301310100,0,ES
181,ACHICORIA,CHICORY,chicory_chicories,3301310200,0,ES
138,ADORMIDERA,POPPY,poppy,3301060600,0,ES
308,AGRIMONIA,AGRIMONY,flowers_ornamental_plants,3301080000,0,ES
70,AGROSTIS,BENTGRASS,poaceae_grasses,3301090200,0,ES
343,AGUACATE,AVOCADO,avocado,3303100000,0,ES
229,AILANTHUS,AILANTHUS,tree_wood_forest,3306000000,0,ES
251,AJEDREA,SAVORY,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,ES
284,AJENJO,WORMWOOD,artemisia,3301061206,0,ES
169,AJO,GARLIC,garlic,3301220200,0,ES
405,AJOWAN (Trachyspermum ammi),AJOWAN (Trachyspermum ammi),aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,ES
264,ALBAHACA,BASIL,basil,3301061207,0,ES
107,ALBARICOQUEROS,APRICOT TREES,apricots,3303010300,0,ES
250,ALBERJÓN,Lupinus angustifolius,sweet_lupins,3301020700,0,ES
164,ALCACHOFA,ARTICHOKE,artichoke,3301270000,0,ES
283,ALCAPARRA,CAPER,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,ES
295,ALCORNOQUE,CORK OAK,oak,3306060000,0,ES
60,ALFALFA,ALFALFA,alfalfa_lucerne,3301090301,0,ES
925,ALFICOZ,Armenian cucumber,cucurbits,3301140000,0,ES
9,ALFORFÓN,BUCKWHEAT,buckwheat,3301150200,0,ES
248,ALGARROBA,CAROB,carob,3303110100,0,ES
122,ALGARROBO,CAROB TREE,carob,3303110100,0,ES
81,ALGODÓN,COTTON,cotton,3301060300,0,ES
61,ALHOLVA,Fenugreek,fenugreek,3301020400,0,ES
939,ALMENDRO-OLIVAR,ALMOND-OLIVE,mixed_permanent_plantations,3303130000,9,ES
104,ALMENDROS,ALMOND TREES,almond,3303030100,0,ES
239,ALMORTA,Lathyrus sativus,lathyrus_peavine,3301020800,0,ES
290,ALOE VERA,ALOE VERA,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,ES
11,ALPISTE,Canary Grass,canary_seed_canaryseed,3301011400,0,ES
238,ALTRAMUZ,LUPIN,sweet_lupins,3301020700,0,ES
43,ALTRAMUZ DULCE,SWEET LIPIN,sweet_lupins,3301020700,0,ES
49,ALUBIAS,BEAN,beans,3301020100,0,ES
249,ALVERJA,ALVERJA,peas,3301020600,0,ES
329,AMARANTO,AMARANTH,amaranth,3301150100,0,ES
253,ANÍS DULCE,SWEET ANISE,anise_aniseed,3301061205,0,ES
158,APIO,CELERY,celery,3301250000,0,ES
216,ARÁNDANO,BLUEBERRY,blueberry,3303020400,0,ES
146,ARBOLES DE NAVIDAD,CHRISTMAS TREES,christmas_trees,3306100000,0,ES
918,ARGÁN,Argan,tree_wood_forest,3306000000,0,ES
71,ARRHENATHERUM,TALL OAT GRASS,poaceae_grasses,3301090200,0,ES
80,ARROZ,RICE,rice,3301010700,0,ES
257,ARTEMISA,SAGEBRUSH,artemisia,3301061206,0,ES
123,AVELLANO,HAZEL,hazelnuts_hazel,3303030200,0,ES
8,AVENA,OATS,oats,3301010500,0,ES
262,AZAFRÁN,SAFFRON,saffron_crocus_sativus,3301061232,0,ES
907,AZUFAIFO,JUjube,orchards_fruits,3303010000,0,ES
334,BARBECHO CON ESPECIES MELÍFERAS,FALLOW WITH HONEY SPECIES,fallow_land_not_crop,3301110000,0,ES
23,BARBECHO MEDIOAMBIENTAL,ENVIRONMENTAL FALLOW,fallow_land_not_crop,3301110000,0,ES
21,BARBECHO MEDIOAMBIENTAL ABANDONO 5 AÑOS,ENVIRONMENTAL FALLOW ABANDONMENT 5 YEARS,fallow_land_not_crop,3301110000,0,ES
24,BARBECHO SIN PRODUCCIÓN,FALLOW WITHOUT PRODUCTION,fallow_land_not_crop,3301110000,0,ES
20,BARBECHO TRADICIONAL,TRADITIONAL FALLOW,fallow_land_not_crop,3301110000,0,ES
309,BARDANA,BURDOCK,arctium_burdock,3301290100,0,ES
926,BATATA,SWEET POTATO,sweet_potatoes,3301040000,0,ES
148,BELLOTA,ACORN,oak,3306060000,0,ES
162,BERENJENA,EGGPLANT,aubergine_eggplant,3301260000,0,ES
191,BERRO,WATERCRESS,cress,3301210300,0,ES
175,BERZA,Collard,collard_greens,3301210206,0,ES
121,BONIATO,SWEET POTATO,sweet_potatoes,3301040000,0,ES
187,BORRAJA,BORAGE,borage,3301061209,0,ES
901,BRASSICA CARINATA,Ethiopian rape/mustard,oilseed_crops,3301060800,0,ES
902,BRASSICA JUNCEA,MUSTARD,mustard,3301210100,0,ES
154,BRÓCOLI,BROCCOLI,broccoli,3301210202,0,ES
335,CABECERA DE CULTIVO PERMANENTE,PERMANENT CULTIVATION HEADER,permanent_crops_perennial,3303000000,0,ES
87,CACAHUETE,PEANUT,arachis,3301090302,0,ES
291,CAFÉ,COFFEE,other_permanent_crops_plantations,3303990000,0,ES
163,CALABACÍN,ZUCCHINI,zucchini_courgette,3301140600,0,ES
185,CALABAZA,PUMPKIN,pumpkin_squash_gourd,3301140400,0,ES
186,CALABAZA DEL PEREGRINO,PILGRIM'S PUMPKIN,pumpkin_squash_gourd,3301140400,0,ES
