crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
6111,"1-vuot. kuivaheinä-, säilörehu-, tuorerehunurmet","1 years. dry hay, silage, fresh fodder grasses",temporary_grass,3301090100,0,FI
6112,1-vuotiset laidunnurmet,1-year pasture grasses,temporary_grass,3301090100,0,FI
6115,"1-vuotinen siemennurmi, yksilajinen","1-year seed grass, single species",temporary_grass,3301090100,0,FI
6113,1-vuotiset siemennurmet,1-year seed grasses,temporary_grass,3301090100,0,FI
9101,"20 v. erityistukisopimus, pelto","20-year special support agreement, arable land",environmental_protection,3311000000,0,FI
9102,"20 v. erityistukisopimus, muu ala","20-year special support agreement, other sector",environmental_protection,3311000000,0,FI
2180,Seos herne/härkäpapu/makea lupiini yli 50 %+viljaa,A mixture of pea/fava bean/sweet lupin over 50%+grain,cereal_legume_mix,3301091200,1,FI
4930,"Ahdekaunokki, energiantuotantoon",Brown knapweed for energy production,energy_crops,3304010000,0,FI
9416,Yksivuotinen kylvetty seoskasvusto,Annual sown mixed crop,other_arable_land_crops,3301990000,7,FI
5210,Omena,Apple,apples,3303010200,0,FI
5314,Marja-aronia,Aronia berry,aronia_chokeberries,3303020100,0,FI
5816,Parsa,Asparagus,asparagus,3301200000,0,FI
1330,Syysohra,Winter barley,winter_barley,3301010401,0,FI
1410,Syyskaura,Winter oats,winter_oats,3301010501,0,FI
4220,Syysrapsi,Winter rapeseed,winter_rapeseed_rape,3301060401,0,FI
1230,Syysruis,Winter rye,winter_rye,3301010301,0,FI
1210,Syysruisvehna,Winter triticale,winter_rye,3301010301,0,FI
1141,Syysspelttivehna,Winter spelt,winter_spelt,3301011001,0,FI
1110,Syysvehna,Winter common wheat,winter_durum_hard_wheat,3301010201,0,FI
9403,Sänkikesanto,Stubble fallow,fallow_land_not_crop,3301110000,0,FI
5120,Punajuurikas ja keltajuurikas,Beetroot and yellow beetroot,beetroot_beets,3301290200,0,FI
9426,"Monimuotoisuuskasvit, peltolintu",Biodiversity crops farmland bird,field_margins_buffer_strips_flowering_areas,3310100000,0,FI
9425,"Monimuotoisuuskasvit, niitty",Biodiversity crops grassland,field_margins_buffer_strips_flowering_areas,3310100000,0,FI
9427,"Monimuotoisuuskasvit, riista",Biodiversity crops wild,field_margins_buffer_strips_flowering_areas,3310100000,0,FI
5301,Mustaherukka,Blackcurrant,blackcurrant_cassis,3303020300,0,FI
2200,Härkäpapu,Broad bean,beans,3301020100,0,FI
5128,Parsakaali,Broccoli,broccoli,3301210202,0,FI
5451,Tyrni,Buckthorn,hippophae_sea_buckthorns_seaberry,3303020800,0,FI
1700,Tattari,Buckwheat,buckwheat,3301150200,0,FI
5102,Pensaspapu,Bush bean,beans,3301020100,0,FI
5313,Pensasmustikka,Bush blueberry,blueberry,3303020400,0,FI
5106,Porkkana,Carrot,carrots_daucus,3301290300,0,FI
5105,Kukkakaali,Cauliflower,cauliflower,3301210204,0,FI
5131,Lehtiselleri,Leaf celery,leaf_celery,3301250200,0,FI
5110,Mukulaselleri,Celeriac,celeriac,3301250100,0,FI
5452,Kirsikka,Cherry,cherry_cherries,3303010400,0,FI
2460,Kikherne,Chickpeas,chickpeas,3301020200,0,FI
5859,Sikuri,Chicory,chicory_chicories,3301310200,0,FI
5104,Kiinankaali,Chinese cabbage,chinese_cabbage,3301210205,0,FI
2430,Apila,Clover,clover,3301090303,0,FI
6561,"Apilan siemen, valvottu tuotanto","Clover seed, controlled production",clover,3301090303,0,FI
9652,Maatalousmaan säilyttäminen (pysyvät kasvit),Conservation of agricultural land (permanent crops),environmental_protection,3311000000,0,FI
6308,Luonnonlaidun sopimusala (Ahvenanmaa),Contract area for natural pasture (Åland),pasture_meadow_grassland_grass,3302000000,0,FI
5831,Korianteri,Coriander,coriander,3301061215,0,FI
1800,Maissi,Corn,grain_maize_corn_popcorn,3301010600,0,FI
9806,"Kurki-, hanhi- ja joutsenpelto (sopimus)","Fields for cranes, geese and swans (agreement)",environmental_protection,3311000000,0,FI
5806,Kumina,Caraway,caraway,3301061211,0,FI
5440,"Leikkovihreä ja leikkohavu, alle 5 v. kasveista","Ornamental leaves and conifers, under 5 years old",other_tree_wood_forest,3306990000,0,FI
5441,"Leikkovihreä ja leikkohavu, väh. 5 v. kasveista","Cut greens and conifers for decoration, at least 5 years old",other_tree_wood_forest,3306990000,0,FI
5442,"Koristepaju punontatarkoitukseen, alle 5 v.","Decorative willow for braiding purposes, less than 5 years old.",willows_osiers,3306080000,0,FI
5443,"Koristepaju punontatarkoitukseen, 5 - 20 v.","Decorative willow for braiding, 5 - 20 years.",willows_osiers,3306080000,0,FI
5149,Tilli,Dill,anethum_dill,3301061203,0,FI
9428,"Monimuotoisuuskasvit, pölyttäjä ja maisema","Diversity crops, pollinator and landscape",pasture_meadow_grassland_grass,3302000000,0,FI
9422,"Monimuotoisuuspelto, riista","Diversity field, game",pasture_meadow_grassland_grass,3302000000,0,FI
9423,"Monimuotoisuuspelto, maisema","Diversity field, landscape",pasture_meadow_grassland_grass,3302000000,0,FI
9424,"Monimuotoisuuspelto, niitty 1. ja 2. vuosi","Diversity field, meadow 1st and 2nd year",pasture_meadow_grassland_grass,3302000000,0,FI
9428,"Monimuotoisuuskasvit, polyttaja ja maisema",Biodiversity crops (pollinator & landscape),field_margins_buffer_strips_flowering_areas,3310100000,0,FI
1130,Durumvehnä,Durum wheat,durum_hard_wheat,3301010200,0,FI
3150,Varhaisperuna (katteenalainen),Early potatoes (undercover),early_season_potatoes,3301030100,0,FI
4914,"Energiapuu, lyhytkiert. (hybriidihaapa ja poppeli)","Energy tree, short cycle. (hybrid aspen and poplar)",short_rotation_coppice,3306090000,3,FI
4913,"Energiapuu, lyhytkiertoinen (haapa ja paju)","Energy wood, short rotation (aspen and willow)",short_rotation_coppice,3306090000,3,FI
6545,"Englannin raiheinän siemen, valvottu tuotanto","English ryegrass seed, controlled production",lolium_ryegrass,3301090205,0,FI
6545,"Englannin raiheinan siemen, valvottu tuotanto","English ryegrass seed, controlled production",lolium_ryegrass,3301090205,0,FI
9805,"Ymparistosopimusala, pysyva nurmi","Environmental agreement area, permanent grassland",pasture_meadow_grassland_grass,3302000000,0,FI
9814,"Ymparistosopimusala, kosteikko","Environmental agreement area, wetland",wetlands,3310400000,0,FI
9813,"Ymparistosopimusala, puustoinen tai muu ala","Environmental agreement area, wooded or other area",environmental_protection,3311000000,0,FI
9814,"Ympäristösopimusala, kosteikko",Environmental contract area wetland,wetlands,3310400000,0,FI
9813,"Ympäristösopimusala, puustoinen tai muu ala",Environmental contract area wooded or other area,environmental_protection,3311000000,0,FI
9805,"Ympäristösopimusala, pysyvä nurmi","Environmental contract industry, permanent turf",environmental_protection,3311000000,0,FI
9808,"Ympäristösopimusala, metsämaa","Environmental contract sector, forest land",environmental_protection,3311000000,0,FI
9807,"Ympäristösopimusala, muu ala","Environmental contract sector, other sector",environmental_protection,3311000000,0,FI
4120,Syysrypsi,Winter turnip rape,winter_turnip_rape,3301210701,0,FI
1310,Rehuohra,Feed barley,barley,3301010400,0,FI
4525,Kuituhamppu,Fiber hemp,hemp_cannabis,3301061000,0,FI
4620,Kuitupellava,Fiber linen,flax_linen,3301060701,0,FI
2200,Harkapapu,Field beans,beans,3301020100,0,FI
3340,Rehukaali,Fodder cabbage,brassica_oleracea_cabbage,3301210200,0,FI
2120,Rehuherne,Fodder pea,peas,3301020600,0,FI
3330,Rehujuurikasvit,Fodder root crops,fodder_roots,3301050000,0,FI
3120,Ruokateollisuusperuna,Food industry potato,potatoes,3301030000,0,FI
2110,Ruokaherne,Food pea,peas,3301020600,0,FI
3110,Ruokaperuna,Food potato,potatoes,3301030000,0,FI
6130,Rehunurmi,Fodder grassland,pasture_meadow_grassland_grass,3302000000,0,FI
6402,Rehurapsi,Forage rapeseed,rapeseed_rape,3301060400,0,FI
6600,Metsälaidun,Forest pasture,temporary_grass,3301090100,0,FI
5534,Metsäpuiden taimitarhat pellolla,Forest tree nurseries in the field,nurseries_nursery,3303070000,0,FI
4210,Kevätrapsi,Spring rapeseed,spring_rapeseed_rape,3301060402,0,FI
5101,Tarhaherne,Garden pea,peas,3301020600,0,FI
9630,Kasvimaa,Garden plot,kitchen_gardens,3301120000,0,FI
5157,Valkosipuli,Garlic,garlic,3301220200,0,FI
5123,"Tarhaherne, teollisuuden sopimustuotanto","Garden pea, contract for industry",peas,3301020600,0,FI
5122,"Tarhaherne, tuoretuotanto","Garden pea, fresh production",peas,3301020600,0,FI
2440,Vuohenherne,Goat pea,galega,3301081900,0,FI
5305,Karviainen,Gooseberry,gooseberry_gooseberries_cranberries,3303020700,0,FI
5222,Viinirypäle,Grape,vineyards_wine_vine_rebland_grapes,3303060000,0,FI
5222,Viinirypale,Grapevine,vineyards_wine_vine_rebland_grapes,3303060000,0,FI
1603,Vihantavilja (vehna),Green grain (wheat),green_cut_wheat,3301090900,0,FI
9413,Viherkesanto (riista ja maisema),Green set-aside (game & landscape),pasture_meadow_grassland_grass,3302000000,0,FI
9414,Viherkesanto (mesikasvit),Green set-aside (nectar plants),field_margins_buffer_strips_flowering_areas,3310100000,0,FI
9415,"Viherkesanto (riista, maisema ja pölyttäjä)","Green set-aside (game, landscape & pollinator)",pasture_meadow_grassland_grass,3302000000,0,FI
6050,Viherlannoitusnurmi,Green manure lawn,pasture_meadow_grassland_grass,3302000000,0,FI
6051,Viherlannoitusnurmi (ei ympäristösitoumusta),Green manure lawn (no environmental commitment),pasture_meadow_grassland_grass,3302000000,0,FI
9412,Viherkesanto (nurmi ja niitty),Green set-aside (grass & meadow),pasture_meadow_grassland_grass,3302000000,0,FI
5165,Maa-artisokka,Ground artichoke,artichoke,3301270000,0,FI
9820,Suojakaista,Buffer strip,field_margins_buffer_strips_flowering_areas,3310100000,0,FI
6710,"Hakamaa, avoin","Wooded pasture, open",pastures_meadows_with_trees,3302010000,8,FI
6720,"Hakamaa, puustoinen","Wooded pasture, with trees",pastures_meadows_with_trees,3302010000,8,FI
5847,Yrttikasvit vah. 5 v.,Herbs approx. 5 years old,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,FI
5846,Yrttikasvit alle 5 v. (ei tilli eikä persilja),Herbs less than 5 years old (no dill or parsley),aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,FI
5847,Yrttikasvit väh. 5 v.,Herbs min. 5 years,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,FI
5846,Yrttikasvit alle 5 v. (ei tilli eika persilja),Herbs under 5 years (excluding dill and parsley),aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,FI
5312,Mesimarja,Arctic raspberries,raspberry_raspberries,3303021000,0,FI
2410,Mesikkä,sweet yellow clover,melilot,3301090304,0,FI
9062,Mesikasvit (Ahvenanmaa),Honeysuckle (Åland),honeysuckle,3303080500,0,FI
4400,Humala,Hop,hops,3301060200,0,FI
5158,Piparjuuri,Horseradish,horseradish,3301210400,0,FI
6305,Luonnonlaidun kulttuurialueella (Ahvenanmaa),In the cultural area of ​​natural pasture (Åland),pasture_meadow_grassland_grass,3302000000,0,FI
6546,"Italianraiheinän (westerw.) siemen, valv. tuotanto","Italian ryegrass (westerw.) seed, control production",lolium_ryegrass,3301090205,0,FI
6546,"Italianraiheinan (westerw.) siemen, valv. tuotanto","Italian ryegrass (Westerw.) seed, controlled production",lolium_ryegrass,3301090205,0,FI
5148,Lehtikaali,Kale,kale,3301210208,0,FI
5129,Kyssäkaali,Kohlrabi,kohlrabi,3301210209,0,FI
5129,Kyssakaali,Kyssakaali,kohlrabi,3301210209,0,FI
5133,Lamopinaatti,New Zealand spinach,spinach,3301310800,0,FI
9830,Maisemapiirre,Landscape feature,non_productive_landscape_elements,3310000000,0,FI
5175,Lehtimangoldi,Leaf chard,chard,3301310100,0,FI
5114,Purjo,Leek,leek,3301220300,0,FI
2450,Linssi,Lentil,lentils,3301020500,0,FI
5140,Salaatti (Lactuca-suku),Lettuce (genus Lactuca),salads_lettuce_leaf_vegetables,3301310000,0,FI
2420,Mailanen,Alfalfa (lucerne),alfalfa_lucerne,3301090301,0,FI
1320,Mallasohra,Malted barley,barley,3301010400,0,FI
5173,Meloni,Melon,melon,3301140300,0,FI
2410,Mesikka,Mesikka,clover,3301090303,0,FI
1710,Hirssi,Millet,millet_sorghum,3301010900,0,FI
2170,Seoskasvusto (valkuaiskasvit+öljykasvit),Mixed crop (protein plants + oil plants),legumes_oilseed_crops_mix,3301321200,1,FI
1555,Seoskasvusto (vilja+öljykasvit),Mixed cropping (cereal+oil crops),cereal_oilseed_crops_mix,3301320100,1,FI
4390,Seoskasvusto (öljykasvit),Mixed cropping (oil crops),oilseed_crops,3301060800,7,FI
2185,Seoskasvusto (valkuaiskasvit+vilja),Mixed cropping (protein crops + grain),cereal_legume_mix,3301091200,1,FI
1555,Seoskasvusto (vilja+oljykasvit),Mixed crops (cereals + oil crops),cereal_oilseed_crops_mix,3301320100,1,FI
1545,Seoskasvusto (viljat),Mixed crops (cereals),meslin,3301011100,7,FI
4390,Seoskasvusto (oljykasvit),Mixed crops (oil crops),oilseed_crops,3301060800,7,FI
2170,Seoskasvusto (valkuaiskasvit+oljykasvit),Mixed crops (protein crops + oil crops),legumes_oilseed_crops_mix,3301321200,1,FI
