crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
AT,Autres cultures non précisées dans la liste (admissibles),Other crops not specified in the list (eligible),other_arable_land_crops,3301990000,0,FR_FR
FG,Autres fruits et légumes commercialisés,Other marketed fruits and vegetables,other_arable_land_crops,3301990000,0,FR_FR
FLA,Autre légume ou fruit annuel,Other annual vegetable or fruit,other_arable_land_crops,3301990000,0,FR_FR
FP,Autres fruits et légumes,Other fruits and vegetables,other_arable_land_crops,3301990000,0,FR_FR
LC,Légumes de plein champs,Field vegetables,fresh_vegetables,3301070000,0,FR_FR
LG,Légumes de plein champ commercialisés,Marketed field vegetables,fresh_vegetables,3301070000,0,FR_FR
MC,Maraîchage commercialisé (hors serres et tunnels fixes),Market gardening (excluding greenhouses and fixed tunnels),fresh_vegetables,3301070000,0,FR_FR
MR,Maraîchage (hors serres et tunnels fixes),Market gardening (excluding greenhouses and fixed tunnels),fresh_vegetables,3301070000,0,FR_FR
MW,Maraîchage commercialisé sauf serre,Market gardening except greenhouse,fresh_vegetables,3301070000,0,FR_FR
MX,Maraîchage sauf serre,Market gardening except greenhouse,fresh_vegetables,3301070000,0,FR_FR
YG,Légumes sous abri commercialisés,Marketed vegetables under cover,greenhouse_vegetables,3305010900,0,FR_FR
YN,Cultures sous abattis commercialisées,Commercialized crops under slash,other_arable_land_crops,3301990000,0,FR_FR
J1,Gel industriel blé,Industrial fallow wheat,fallow_land_not_crop,3301110000,0,FR_FR
BH,Blé tendre hiver,soft winter wheat,winter_common_soft_wheat,3301010101,0,FR_FR
Blé tendre d’hiver,Blé tendre d’hiver,Soft winter wheat,winter_common_soft_wheat,3301010101,0,FR_FR
BTH,Blé tendre d’hiver,Soft winter wheat,winter_common_soft_wheat,3301010101,0,FR_FR
BTH,Blé tendre d'hiver,Soft winter wheat,winter_common_soft_wheat,3301010101,0,FR_FR
Blé tendre de printemps,Blé tendre de printemps,Soft spring wheat,spring_common_soft_wheat,3301010102,0,FR_FR
BP,Blé tendre printemps,Soft spring wheat,spring_common_soft_wheat,3301010102,0,FR_FR
BTP,Blé tendre de printemps,Soft spring wheat,spring_common_soft_wheat,3301010102,0,FR_FR
BA,Blé dur hiver,Winter durum wheat,winter_durum_hard_wheat,3301010201,0,FR_FR
BC,Blé dur d'hiver sans semences certifiées,Durum winter wheat without certified seed,winter_durum_hard_wheat,3301010201,0,FR_FR
BDH,Blé dur d’hiver,Winter durum wheat,winter_durum_hard_wheat,3301010201,0,FR_FR
BDH,Blé dur d'hiver,Winter durum wheat,winter_durum_hard_wheat,3301010201,0,FR_FR
Blé dur d’hiver,Blé dur d’hiver,Winter durum wheat,winter_durum_hard_wheat,3301010201,0,FR_FR
BB,Blé dur printemps,Spring durum wheat,spring_durum_hard_wheat,3301010202,0,FR_FR
BD,Blé dur de printemps sans semences certifiées,Hard spring wheat without certified seed,spring_durum_hard_wheat,3301010202,0,FR_FR
BDP,Blé dur de printemps,Spring durum wheat,spring_durum_hard_wheat,3301010202,0,FR_FR
BDT,Blé dur de printemps semé tardivement (après le 31/05),Late planted hard spring wheat (after 05/31),spring_durum_hard_wheat,3301010202,0,FR_FR
BG,Blé dur printemps semé tardivement (après le 31/05),Spring durum wheat sown late (after 05/31),spring_durum_hard_wheat,3301010202,0,FR_FR
Blé dur de printemps,Blé dur de printemps,Spring durum wheat,spring_durum_hard_wheat,3301010202,0,FR_FR
SE,Seigle,Rye,rye,3301010300,0,FR_FR
Seigle d’hiver,Seigle d’hiver,Winter rye,winter_rye,3301010301,0,FR_FR
SGH,Seigle d’hiver,Winter rye,winter_rye,3301010301,0,FR_FR
