,crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
9516,26,CANNE A SUCRE,SUGAR CANE,sugar_cane,3301061700,0,FR_SUBREGIONS
9517,28,DIVERS,MISCELLANEOUS,not_known_and_other,3399000000,0,FR_SUBREGIONS
9518,,NR,Not reported / not known,not_known_and_other,3399000000,0,FR_SUBREGIONS
9519,27,ARBORICULTURE,Arboriculture,tree_wood_forest,3306000000,0,FR_SUBREGIONS
9520,4,AUTRES CEREALES,OTHER CEREALS,cereal,3301010000,0,FR_SUBREGIONS
9521,24,AUTRES CULTURES INDUSTRIELLES,OTHER INDUSTRIAL CROPS,industrial_nonfood_crops,3301060000,0,FR_SUBREGIONS
9522,13,AUTRES GELS,other set-aside / other fallows,fallow_land_not_crop,3301110000,0,FR_SUBREGIONS
9523,7,AUTRES OLEAGINEUX,OTHER OILSEEDS,oilseed_crops,3301060800,0,FR_SUBREGIONS
9524,1,BLE TENDRE,SOFT WHEAT,common_soft_wheat,3301010100,0,FR_SUBREGIONS
9525,5,COLZA,RAPESEED,rapeseed_rape,3301060400,0,FR_SUBREGIONS
9526,17,ESTIVES LANDES,Mountain pastures,pasture_meadow_grassland_grass,3302000000,0,FR_SUBREGIONS
9527,16,FOURRAGE,Fodder,other_plants_harvested_green,3301099900,0,FR_SUBREGIONS
9528,22,FRUITS A COQUE,NUTS,nuts,3303030000,0,FR_SUBREGIONS
9529,11,GEL (SURFACES GELEES SANS PRODUCTION),Fallow land (no production),fallow_land_not_crop,3301110000,0,FR_SUBREGIONS
9530,12,GEL INDUSTRIEL,Industrial fallow land,fallow_land_not_crop,3301110000,0,FR_SUBREGIONS
9531,25,LEGUMES - FLEURS,VEGETABLES - FLOWERS,fresh_vegetables,3301070000,0,FR_SUBREGIONS
9532,15,LEGUMINEUSES A GRAINS,GRAIN LEGUMES,legumes_dried_pulses_protein_crops,3301020000,0,FR_SUBREGIONS
9533,2,MAIS GRAIN ET ENSILAGE,CORN GRAIN AND SILAGE,grain_maize_corn_popcorn,3301010600,0,FR_SUBREGIONS
9534,23,OLIVIERS,OLIVE TREES,olive_plantations,3303050000,0,FR_SUBREGIONS
9535,3,ORGE,BARLEY,barley,3301010400,0,FR_SUBREGIONS
9536,9,PLANTES A FIBRES,FIBER PLANTS,fibre_crops,3301061100,0,FR_SUBREGIONS
9537,18,PRAIRIES PERMANENTES,PERMANENT GRASSLANDS,pasture_meadow_grassland_grass,3302000000,0,FR_SUBREGIONS
9538,19,PRAIRIES TEMPORAIRES,TEMPORARY GRASSLANDS,temporary_grass,3301090100,0,FR_SUBREGIONS
9539,8,PROTEAGINEUX,PROTEINS,legumes_dried_pulses_protein_crops,3301020000,0,FR_SUBREGIONS
9540,14,RIZ,RICE,rice,3301010700,0,FR_SUBREGIONS
9541,10,SEMENCES,SEEDS,arable_land_seed_seedlings,3301100000,0,FR_SUBREGIONS
9542,6,TOURNESOL,SUNFLOWER,sunflower,3301060500,0,FR_SUBREGIONS
9543,20,VERGERS,ORCHARDS,orchards_fruits,3303010000,0,FR_SUBREGIONS
9544,21,VIGNES,VINES,vineyards_wine_vine_rebland_grapes,3303060000,0,FR_SUBREGIONS
