crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
abe01,Abesszin (etiópiai) mustár,Abyssinian (Ethiopian) mustard,mustard,3301210100,0,HU
agf02,Angyalgyökér,Angelica,angelica,3301061204,0,HU
agf03,Kamilla,Chamomile,chamomile,3301061213,0,HU
agf05,Digitalis,Digitalis,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0,HU
agf07,Izsóp,Hyssop,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0,HU
agf08,Jázmin,Jasmine,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0,HU
agf09,Levendula,Lavender,lavender_lavandula,3301061219,0,HU
agf10,Majoranna,Marjoram,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0,HU
agf11,Menta,Mint,mints_peppermint,3301061222,0,HU
agf12,Meténg,Periwinkle,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0,HU
agf13,Psyllium,Psyllium,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0,HU
agf14,Sáfrány,Saffron,saffron_crocus_sativus,3301061232,0,HU
agf15,Körömvirág,Calendula,calendula_marigold,3301061210,0,HU
agf17,Macskagyökérfű,Valeriana,valerian,3301061238,0,HU
agf18,Tárkony,Tarragon,tarragon,3301061236,0,HU
agf19,Fűszerkömény,Caraway,caraway,3301061211,0,HU
agf20,Citromfű,Lemon balm (Melissa),lemon_balm_melissa,3301061220,0,HU
agf21,Bazsalikom,Basil,basil,3301061207,0,HU
agf22,Rozmaring,Rosemary,rosemary,3301061230,0,HU
agf23,Lestyán,Lovage,lovage_maggiplant,3301061221,0,HU
agf24,Szöszös ökörfarkkóró,Orange mullein,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0,HU
agf25,Anyarozs,Ergot,other_aromatic_medicinal_culinary_plants_spices_herbs,3301061299,0,HU
agf26,Kapor,Dill,anethum_dill,3301061203,0,HU
