crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
,100% Destocked Area,100% Destocked Area,not_known_and_other,3399000000,0,IE
,Access Road / Roadways,Access Road / Roadways,not_known_and_other,3399000000,0,IE
,Agroforestry (<400 trees per hectare),Agroforestry (<400 trees per hectare),agroforestry,3312000000,0,IE
,Alfalfa,Alfalfa,alfalfa_lucerne,3301090301,0,IE
,Apples,Apples,apples,3303010200,0,IE
,Arable Habitat,Arable Habitat,arable_crops,3301000000,0,IE
,Arable Silage,Arable Silage,plants_harvested_green,3301090000,0,IE
,Arable Silage (Grass),Arable Silage (Grass),plants_harvested_green,3301090000,0,IE
,Arable Silage (No Grass),Arable Silage (No Grass),arable_crops,3301000000,0,IE
,Artichoke,Artichoke,artichoke,3301270000,0,IE
,Asparagus,Asparagus,asparagus,3301200000,0,IE
,Aubergines,Aubergines,aubergine_eggplant,3301260000,0,IE
,Baby Leaf Spinach,Baby Leaf Spinach,spinach,3301310800,0,IE
,Barley - Spring,Barley - Spring,spring_barley,3301010402,0,IE
,Barley - Winter,Barley - Winter,winter_barley,3301010401,0,IE
,Basil,Basil,basil,3301061207,0,IE
,Beans - Spring,Beans - Spring,beans,3301020100,0,IE
,Beans - Winter,Beans - Winter,beans,3301020100,0,IE
,Beetroot,Beetroot,beetroot_beets,3301290200,0,IE
,Blackberries,Blackberries,blackberry,3303020200,0,IE
,Blackcurrants,Blackcurrants,blackcurrant_cassis,3303020300,0,IE
,Blueberries,Blueberries,blueberry,3303020400,0,IE
,Bog,Bog,peat_turf,3307000000,0,IE
,Borage,Borage,borage,3301061209,0,IE
,Broccoli - Spring,Broccoli - Spring,broccoli,3301210202,0,IE
,Broccoli - Winter,Broccoli - Winter,broccoli,3301210202,0,IE
,Brussel sprouts,Brussel sprouts,brussels_sprouts,3301210203,0,IE
,Building,Building,not_known_and_other,3399000000,0,IE
,Cabbage - Spring,Cabbage - Spring,brassica_oleracea_cabbage,3301210200,0,IE
,Cabbage - Winter,Cabbage - Winter,brassica_oleracea_cabbage,3301210200,0,IE
,Calabrese,Calabrese,brassica_oleracea_cabbage,3301210200,0,IE
,Camelina,Camelina,camelina,3301061500,0,IE
,Carrots,Carrots,carrots_daucus,3301290300,0,IE
,Cauliflowers - Spring,Cauliflowers - Spring,cauliflower,3301210204,0,IE
,Cauliflowers - Winter,Cauliflowers - Winter,cauliflower,3301210204,0,IE
,Celeriac,Celeriac,celeriac,3301250100,0,IE
,Celery - Spring,Celery - Spring,leaf_celery,3301250200,0,IE
,Celery - Winter,Celery - Winter,leaf_celery,3301250200,0,IE
,Cherries,Cherries,cherry_cherries,3303010400,0,IE
,Chives,Chives,chives,3301220100,0,IE
,Christmas Trees,Christmas Trees,christmas_trees,3306100000,0,IE
,Clover,Clover,clover,3301090303,0,IE
,Combicrop,Combicrop (a blend of spring cereal and peas),cereal_legume_mix,3301091200,1,IE
,Copse,Copse,tree_wood_forest,3306000000,0,IE
,Coriander,Coriander,coriander,3301061215,0,IE
,Courgettes,Courgettes,zucchini_courgette,3301140600,0,IE
,Cranberries,Cranberries,cranberry,3303020500,0,IE
,Cucumbers,Cucumbers,cucumber_pickle,3301140100,0,IE
,Daffodils,Daffodils,narcissus_daffodil,3301083300,0,IE
,Designated Habitat,Designated Habitat,environmental_protection,3311000000,0,IE
,Dill,Dill,anethum_dill,3301061203,0,IE
,Environmental Management Of Arable Fallow,Environmental Management Of Arable Fallow,fallow_land_not_crop,3301110000,0,IE
,Environmental Mgt. of Fallow Land,Environmental Mgt. of Fallow Land,fallow_land_not_crop,3301110000,0,IE
,Extensively Grazed Pasture,Extensively Grazed Pasture,pasture_meadow_grassland_grass,3302000000,0,IE
,Fallow,Fallow,fallow_land_not_crop,3301110000,0,IE
,Fallow - Greening,Fallow - Greening,fallow_land_not_crop,3301110000,0,IE
,Farm Road,Farm Road,not_known_and_other,3399000000,0,IE
,Farmyard,Farmyard,not_known_and_other,3399000000,0,IE
,Fennel,Fennel,fennel,3301170000,0,IE
,Flax,Flax,flax_linen,3301060701,0,IE
,Fodder Beet,Fodder Beet,mangelwurzel_fodder_beet,3301290400,0,IE
,Foliage,Foliage,other_tree_wood_forest,3306990000,0,IE
,Forage Rape,Forage Rape,rapeseed_rape,3301060400,0,IE
,Forestry,Forestry,tree_wood_forest,3306000000,0,IE
,Forestry 2009,Forestry 2009,tree_wood_forest,3306000000,0,IE
,Forestry 2010,Forestry 2010,tree_wood_forest,3306000000,0,IE
,Forestry 2011,Forestry 2011,tree_wood_forest,3306000000,0,IE
,Forestry 2012,Forestry 2012,tree_wood_forest,3306000000,0,IE
,Forestry 2013,Forestry 2013,tree_wood_forest,3306000000,0,IE
,Forestry 2014,Forestry 2014,tree_wood_forest,3306000000,0,IE
,Forestry 2015,Forestry 2015,tree_wood_forest,3306000000,0,IE
,Forestry 2016,Forestry 2016,tree_wood_forest,3306000000,0,IE
,Forestry 2017,Forestry 2017,tree_wood_forest,3306000000,0,IE
,Forestry 2018,Forestry 2018,tree_wood_forest,3306000000,0,IE
,Forestry 2019,Forestry 2019,tree_wood_forest,3306000000,0,IE
,Forestry 2020,Forestry 2020,tree_wood_forest,3306000000,0,IE
,Forestry 2021,Forestry 2021,tree_wood_forest,3306000000,0,IE
,Forestry 2022,Forestry 2022,tree_wood_forest,3306000000,0,IE
,Forestry 2023,Forestry 2023,tree_wood_forest,3306000000,0,IE
,Forestry ESB Corridor,Forestry ESB Corridor,tree_wood_forest,3306000000,0,IE
,Forestry ESB Corridor Eligible,Forestry ESB Corridor Eligible,tree_wood_forest,3306000000,0,IE
,Forestry Pre-2009,Forestry Pre-2009,tree_wood_forest,3306000000,0,IE
,Forestry ESB Corridor Ineligible,Forestry ESB Corridor Ineligible,tree_wood_forest,3306000000,0,IE
,Forestry Eligible,Forestry Eligible,tree_wood_forest,3306000000,0,IE
,Forestry Ineligible,Forestry Ineligible,tree_wood_forest,3306000000,0,IE
,Forestry Setaside,Forestry Setaside,tree_wood_forest,3306000000,0,IE
,Former REPS 3 New Habitat,Former REPS 3 New Habitat,environmental_protection,3311000000,0,IE
,Former REPS 4 New Habitat,Former REPS 4 New Habitat,environmental_protection,3311000000,0,IE
,Gardens,Gardens,kitchen_gardens,3301120000,0,IE
,Garlic,Garlic,garlic,3301220200,0,IE
,Glasshouse,Glasshouse,greenhouse_foil_film,3305000000,0,IE
,Grass Year 1 (MSS Eco-Scheme),Grass Year 1 (MSS [multi-species sward] Eco-Scheme),temporary_grass,3301090100,1,IE
,Grass Year 1 (MSS Measure),Grass Year 1 (MSS [multi-species sward] Measure),temporary_grass,3301090100,1,IE
,Gooseberries,Gooseberries,gooseberry_gooseberries_cranberries,3303020700,0,IE
,Grapes,Grapes,vineyards_wine_vine_rebland_grapes,3303060000,0,IE
,Grass Seed,Grass Seed,temporary_grass,3301090100,0,IE
,Grass Silage,Grass Silage,temporary_grass,3301090100,0,IE
,Grass Year 1,Grass Year 1,temporary_grass,3301090100,0,IE
,Grass Year 1 (MSS),Grass Year 1 (MSS [multi-species sward]),temporary_grass,3301090100,1,IE
,Grass Year 2,Grass Year 2,temporary_grass,3301090100,0,IE
,Grass Year 2 (MSS),Grass Year 2 (MSS [multi-species sward]),temporary_grass,3301090100,1,IE
,Grass Year 3,Grass Year 3,temporary_grass,3301090100,0,IE
,Grass Year 3 (MSS),Grass Year 3 (MSS [multi-species sward]),temporary_grass,3301090100,1,IE
,Grass Year 4,Grass Year 4,temporary_grass,3301090100,0,IE
,Grass Year 4 (MSS),Grass Year 4 (MSS [multi-species sward]),temporary_grass,3301090100,1,IE
,Grass Year 5,Grass Year 5,temporary_grass,3301090100,0,IE
