crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
195,ABETE,FIR TREE,tree_wood_forest,3306000000,0,IT
973,ACACIA SALIGNA,ACACIA,tree_wood_forest,3306000000,0,IT
321,ACCA SELLOWIANA O FEJIOIA SELLOWIANA,Feijoa sellowiana,feijoa,3303010500,0,IT
178,ACERO,Maple,other_tree_wood_forest,3306990000,0,IT
467,ACHILLEA,YARROW,yarrow,3301061239,0,IT
831,ACTINIDIA (KIWI),Golden kiwifruit,kiwi,3303010700,0,IT
160,AGAPANTO,Lily of the Nile,flowers_ornamental_plants,3301080000,0,IT
113,AGLIO,GARLIC,garlic,3301220200,0,IT
A10,AGLIONE,GARLIC,garlic,3301220200,0,IT
114,AGRETTO,Agretti (Salsola soda),aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,IT
351,AGROSTIDE  GIGANTEA E BIANCA,Agrostis gigantea,poaceae_grasses,3301090200,0,IT
353,AGROSTIDE  TENUE,common bent,poaceae_grasses,3301090200,0,IT
350,AGROSTIDE CANINA,velvet bent,poaceae_grasses,3301090200,0,IT
430,AGRUMI,Citrus fruits,citrus_plantations,3303040000,0,IT
783,ALBERI IN FILARE,Group trees,tree_wood_forest,3306000000,0,IT
793,ALBERI ISOLATI,ISOLATED TREES,tree_wood_forest,3306000000,0,IT
2101,Albicocco,Apricot,apricots,3303010300,0,IT
671,ALBICOCCO,Apricot,apricots,3303010300,0,IT
971,ALCHECHENGI,Chinese lantern,berries_berry_species,3303020000,0,IT
485,ALLORO,Bay laurel,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,IT
456,ALOE,ALOE VERA,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,IT
164,ALSTROEMERIA,Alstroemeria,flowers_ornamental_plants,3301080000,0,IT
286,ALTEA,Marshmallow plant,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,IT
287,AMAMELIDE,witch hazel,shrubberries_shrubs,3303080000,0,IT
496,AMARANTO,AMARANTH,amaranth,3301150100,0,IT
050,ANEMONE,Anemone,anemones_windflowers,3301080200,0,IT
221,ANETO,DILL,anethum_dill,3301061203,0,IT
221,ANETO ,DILL,anethum_dill,3301061203,0,IT
288,ANGELICA,Angelica,angelica,3301061204,0,IT
289,ANICE COMUNE,common anise,anise_aniseed,3301061205,0,IT
289,ANICE COMUNE  ,common anise,anise_aniseed,3301061205,0,IT
A13,ANICE STELLATO,star anise,anise_aniseed,3301061205,0,IT
630,ARACHIDE,PEANUT,arachis,3301090302,0,IT
007,ARALIA,spikenard,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,IT
201,ARANCIO,ORANGE,citrus_plantations,3303040000,0,IT
655,ARBORETO CONSOCIABILE (CON COLTIVAZIONI ERBACEE),mixed arboretum (with herbaceous crops),tree_wood_forest,3306000000,7,IT
655,ARBORETO CONSOCIABILE (CON COLTIVAZIONI ERBACEE),mixed arboretum (with herbaceous crops),tree_wood_forest,3306000000,7,IT
500,ARBORICOLTURA,Arboriculture,tree_wood_forest,3306000000,0,IT
500,ARBORICOLTURA ,Arboriculture,tree_wood_forest,3306000000,0,IT
A05,AREA A SEMINATIVO DEDICATA ALL'ELICICOLTURA,Arable land,not_known_and_other,3399000000,0,IT
291,ARNICA,arnica,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,IT
292,ARONIA NERA,black chokeberry,aronia_chokeberries,3303020100,0,IT
349,MARRUBIO O ROBBIO,common horehound,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,IT
653,ARUNDO DONAX,Giant reed,poaceae_grasses,3301090200,0,IT
902,ASPARAGO,asparagus,asparagus,3301200000,0,IT
008,ASPIDISTRA,aspidistra,flowers_ornamental_plants,3301080000,0,IT
393,PARTENIO,Feverfew,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,IT
1001,Avena,Oats,oats,3301010500,0,IT
533,AVENA,Oats,oats,3301010500,0,IT
261,AVENA  ALTISSIMA,false oat-grass,poaceae_grasses,3301090200,0,IT
261,AVENA ALTISSIMA,false oat-grass,poaceae_grasses,3301090200,0,IT
405,AVOCADO,AVOCADO,avocado,3303100000,0,IT
