crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
111,"Kvieši, vasaras",Wheat summer,spring_common_soft_wheat,3301010102,0,LV
112,"Kvieši, ziemas",Wheat winter,winter_common_soft_wheat,3301010101,0,LV
113,Kvieši vasaras ar stiebrzāļu vai tauriņziežu pasēju,Wheat in summer with grass or legume sowing,spring_common_soft_wheat_with_undersowing,3301320202,1,LV
115,"Speltas kvieši, vasaras",Spelt summer,spring_spelt,3301011002,0,LV
116,"Speltas kvieši, ziemas","Spelt wheat, winter",winter_spelt,3301011001,0,LV
117,"Kvieši, ziemas ar stiebrzāļu pasēju vai tauriņziežu pasēju",Winter wheat with undersown grasses or legumes,winter_common_soft_wheat_with_undersowing,3301320201,1,LV
118,"Speltas kvieši, vasaras ar stiebrzāļu pasēju vai tauriņziežu pasēju","Spelt, spring with grass or legume",spring_spelt_with_undersowing,3301320802,1,LV
119,"Speltas kvieši, ziemas ar stiebrzāļu pasēju vai tauriņziežu pasēju","Spelt, winter with grass or legume undergrowth",winter_spelt_with_undersowing,3301320801,1,LV
121,Rudzi,Rye,rye,3301010300,0,LV
122,"Rudzi, Kaupo šķirnes",Rye Kaupo varieties,rye,3301010300,0,LV
122,"Rudzi, populācijas šķirnes, t. sk. ‘Kaupo’","Rye, population varieties, t. see 'Hoarding'",rye,3301010300,0,LV
122,"Rudzi, populācijas šķirnes, t. sk. ‘Kaupo’","Rye, population varieties, including 'Kaupo'",rye,3301010300,0,LV
123,"Rudzu populācijas šķirnes, izņemot ‘Kaupo’",Rye population varieties other than Kaupo,rye,3301010300,0,LV
124,"Rudzi, ar stiebrzāļu pasēju vai tauriņziežu pasēju","Rye, with grass or legume undergrowth",rye_with_undersowing,3301320600,1,LV
125,"Rudzi, populācijas šķirnes, t.sk. ‘Kaupo’ ar stiebrzāļu pasēju vai tauriņziežu pasēju","Rye, varieties of the population, including 'Kaupo' with grass or legume undergrowth",rye_with_undersowing,3301320600,1,LV
131,"Mieži, vasaras",Barley summer,spring_barley,3301010402,0,LV
132,"Mieži, ziemas",Barley winter,winter_barley,3301010401,0,LV
133,Mieži vasaras ar stiebrzāļu vai tauriņziežu pasēju,Barley summer with grass or legume sowing,spring_barley_with_undersowing,3301320402,1,LV
135,"Mieži, ziemas ar stiebrzāļu pasēju vai tauriņziežu pasēju","Barley, winter with grass or butterfly crop",winter_barley_with_undersowing,3301320401,1,LV
140,Auzas,Oats,oats,3301010500,0,LV
141,Auzas ar stiebrzāļu vai tauriņziežu pasēju,Oats with undersown grasses or legumes,oats_with_undersowing,3301320500,1,LV
150,"Tritikāle, vasaras",Triticale summer,spring_triticale,3301010802,0,LV
151,"Tritikāle, ziemas",Triticale winter,winter_triticale,3301010801,0,LV
152,Tritikāle vasaras ar stiebrzāļu vai tauriņziežu pasēju,Summer triticale with grass or legume sowing,spring_triticale_with_undersowing,3301320702,1,LV
154,"Tritikāle, ziemas ar stiebrzāļu pasēju vai tauriņziežu pasēju","Triticale, winter with grass or legume crop",winter_triticale_with_undersowing,3301320701,1,LV
160,Griķi,Buckwheat,buckwheat,3301150200,0,LV
161,Griķi ar tauriņziežu pasēju,Buckwheat with legume seed,buckwheat_with_legumes,3301320901,1,LV
170,Kaņepes,Cannabis,hemp_cannabis,3301061000,0,LV
211,"Rapsis, vasaras",Rape summer,summer_rapeseed_rape,3301060403,0,LV
212,"Rapsis, ziemas",Rape winter,winter_rapeseed_rape,3301060401,0,LV
213,"Ripsis, vasaras","Rapeseed, summer",spring_turnip_rape,3301210702,0,LV
214,"Ripsis, ziemas",Rapeseed winter,winter_turnip_rape,3301210701,0,LV
215,Sinepe,Mustard,mustard,3301210100,0,LV
215,"Sinepe, tostarp baltā sinepe","Mustard, including white mustard",mustard,3301210100,0,LV
