crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
,Adonis,Adonis,adonis,3301080100,0,NL
1045,Adonis,Adonis,adonis,3301080100,0,NL
1574,Definitief aan de landbouw onttrokken cultuurgrond,Agricultural land permanently withdrawn from agriculture,fallow_land_not_crop,3301110000,0,NL
1926,Agrarisch natuurmengsel,Agricultural nature mixture,environmental_protection,3311000000,0,NL
2622,Elzensingel,Alder alley,tree_wood_forest,3306000000,0,NL
258,Luzerne ,Alfalfa ,alfalfa_lucerne,3301090301,0,NL
1007,"Amaryllis, bloembollen en -knollen",Amaryllis flower bulbs and tubers,flowers_ornamental_plants,3301080000,0,NL
994,"Amaryllis, overige bloemkwekerijgewassen",Amaryllis other flower nursery crops,flowers_ornamental_plants,3301080000,0,NL
995,"Amaryllis, droogbloemen","Amaryllis, dried flowers",flowers_ornamental_plants,3301080000,0,NL
1042,"Angelica, productie",Angelica production,angelica,3301061204,0,NL
1043,"Angelica, zaden en opkweekmateriaal","Angelica, seeds and propagation material",angelica,3301061204,0,NL
,Appelen. Aangeplant lopende seizoen.,Apples. Planted current season.,apples,3303010200,0,NL
1095,Appels. Aangeplant lopende seizoen.,Apples. Planted current season.,apples,3303010200,0,NL
,Appelen. Aangeplant voorafgaande aan lopende seizoen.,apples. Planted prior to current season.,apples,3303010200,0,NL
1096,Appels. Aangeplant voorafgaande aan lopende seizo*,apples. Planted prior to current season.,apples,3303010200,0,NL
1096,Appels. Aangeplant voorafgaande aan lopende seizoen.,apples. Planted prior to current season.,apples,3303010200,0,NL
669,Zwaardherik (aaltjesvanggewas),Arugula (nematode-catching crop),rocket_arugula,3301310600,0,NL
2711,"Asperges, oppervlakte die nog geen productie ople*",Asparagus area that does not yet yield production,asparagus,3301200000,0,NL
,"Asperges, oppervlakte die nog geen productie oplevert",Asparagus area that does not yet yield production,asparagus,3301200000,0,NL
2710,"Asperges, oppervlakte die productie oplevert",Asparagus area yielding production,asparagus,3301200000,0,NL
2712,"Asperges, zaden en opkweekmateriaal",Asparagus seeds and propagation material,asparagus,3301200000,0,NL
2626,Laan,Avenue,tree_wood_forest,3306000000,0,NL
1070,"Laanbomen/parkbomen, onderstammen, open grond",Avenue trees/park trees,tree_wood_forest,3306000000,0,NL
,"Laanbomen/parkbomen, onderstammen, open grond,",Avenue trees/park trees,tree_wood_forest,3306000000,0,NL
1071,"Laanbomen/parkbomen, opzetters, open grond",Avenue trees/park trees erectors open ground,tree_wood_forest,3306000000,10,NL
,"Laanbomen/parkbomen, opzetters, open grond,",Avenue trees/park trees erectors open ground,tree_wood_forest,3306000000,10,NL
1085,"Laanbomen/parkbomen, opzetters, pot- en container*",Avenue trees/park trees erectors pot and container fields,tree_wood_forest,3306000000,10,NL
1085,"Laanbomen/parkbomen, opzetters, pot- en containerveld",Avenue trees/park trees erectors pot and container fields,tree_wood_forest,3306000000,10,NL
,"Laanbomen/parkbomen, opzetters, pot- en containerveld,",Avenue trees/park trees erectors pot and container fields,tree_wood_forest,3306000000,10,NL
1084,"Laanbomen/parkbomen, onderstammen, pot- en contai*",Avenue trees/park trees rootstocks pot and container fields,tree_wood_forest,3306000000,10,NL
1084,"Laanbomen/parkbomen, onderstammen, pot- en containerveld",Avenue trees/park trees rootstocks pot and container fields,tree_wood_forest,3306000000,10,NL
,"Laanbomen/parkbomen, onderstammen, pot- en containerveld,",Avenue trees/park trees rootstocks pot and container fields,tree_wood_forest,3306000000,10,NL
1072,"Laanbomen/parkbomen, spillen, open grond",avenue trees/park trees spindles open ground,tree_wood_forest,3306000000,10,NL
,"Laanbomen/parkbomen, spillen, open grond,",avenue trees/park trees spindles open ground,tree_wood_forest,3306000000,10,NL
1086,"Laanbomen/parkbomen, spillen, pot- en containerve*",Avenue trees/park trees spindles pot and container fields,tree_wood_forest,3306000000,10,NL
1086,"Laanbomen/parkbomen, spillen, pot- en containerveld",Avenue trees/park trees spindles pot and container fields,tree_wood_forest,3306000000,10,NL
,"Laanbomen/parkbomen, spillen, pot- en containerveld,",Avenue trees/park trees spindles pot and container fields,tree_wood_forest,3306000000,10,NL
236,"Gerst, zomer-",barley summer,spring_barley,3301010402,0,NL
235,"Gerst, winter-",barley winter,winter_barley,3301010401,0,NL
242,"Bonen, bruine",beans brown,beans,3301020100,0,NL
242,"Bonen, bruine-",beans brown,beans,3301020100,0,NL
853,"Bonen, tuin- (droog te oogsten) (geen consumptie)",Beans garden (dry harvest) (no consumption),beans,3301020100,0,NL
854,"Bonen, tuin- (groen te oogsten)",Beans garden (green to be harvested),beans,3301020100,0,NL
7121,"Bonen, witte-",Beans white,beans,3301020100,0,NL
311,"Bonen, veld- (onder andere duiven-, paarden-, wierbonen) ","Beans, field (including pigeon, horse, and vetch beans) ",beans,3301020100,0,NL
243,"Bonen, veld-(oa duive-, paarde-, wierbonen)(droog te oogsten","Beans, field (including pigeon, horse, weed beans) (can be harvested dry",beans,3301020100,0,NL
311,"Bonen, veld- (onder andere duiven-, paarden-, wie*","Beans, field (including pigeon, horse, who*",beans,3301020100,0,NL
853,"Bonen, tuin- (droog te oogsten) (geen consumptie) ","Beans, garden (dry harvest) (not for consumption) ",beans,3301020100,0,NL
