crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
,0,,not_known_and_other,3399000000,0,PT_PT
136,ABACATE,AVOCADO,avocado,3303100000,0,PT_PT
241,ABÓBORAS E ABOBORINHAS,PUMPKINS AND COURGETTES,cucurbits,3301140000,3,PT_PT
,ABÓBORAS E ABOBORINHAS;AVEIA,PUMPKINS AND COURGETTES; OATS,mixed_cropping,3301320000,11,PT_PT
,ABÓBORAS E ABOBORINHAS;BATATA,PUMPKINS AND COURGETTES; POTATO,mixed_cropping,3301320000,11,PT_PT
,ABÓBORAS E ABOBORINHAS;BATATA;OUTRAS HORTÍCOLAS,PUMPKINS AND COURGETTES; POTATOES; OTHER VEGETABLES,mixed_cropping,3301320000,11,PT_PT
,ABÓBORAS E ABOBORINHAS;CEBOLA,PUMPKINS AND COURGETTES; ONION,mixed_cropping,3301320000,11,PT_PT
,ABÓBORAS E ABOBORINHAS;GRÃO DE BICO;MILHO;FEIJÃO;BATATA;OUTRAS HORTÍCOLAS;CONSOCIAÇÕES ANUAIS E OUTRAS CULT. FORRAG. ANUAIS,PUMPKINS AND COURGETTES; CHICKPEA; CORN; BEAN; POTATO; OTHER VEGETABLES; ANNUAL AND OTHER CULT. FORAGE ANNUALS,mixed_cropping,3301320000,11,PT_PT
,ABÓBORAS E ABOBORINHAS;MILHO,PUMPKINS AND COURGETTES; CORN,mixed_cropping,3301320000,11,PT_PT
,ABÓBORAS E ABOBORINHAS;MILHO;NABO;BATATA,,mixed_cropping,3301320000,11,PT_PT
,ABÓBORAS E ABOBORINHAS;MILHO;OUTRAS HORTÍCOLAS,PUMPKINS AND PUMPKINS; CORN; OTHER VEGETABLES,mixed_cropping,3301320000,11,PT_PT
,ABÓBORAS E ABOBORINHAS;OUTRAS HORTÍCOLAS,PUMPKINS AND COURGETTES; OTHER VEGETABLES,mixed_cropping,3301320000,11,PT_PT
,ABÓBORAS E ABOBORINHAS;PRADOS TEMPORÁRIOS,PUMPKINS AND COURGETTES; TEMPORARY MEADOWS,mixed_cropping,3301320000,11,PT_PT
,ABÓBORAS E ABOBORINHAS;TREMOÇO,PUMPKINS AND COURGETTES; LUPIN,mixed_cropping,3301320000,11,PT_PT
,ACEIRO F,FOREST FIREBREAKS,not_known_and_other,3399000000,0,PT_PT
173,ACEIRO FLORESTAL,FOREST FIREBREAKS,not_known_and_other,3399000000,0,PT_PT
873,ACEIRO FLORESTAL – ÁREA ÚTIL FTA,FOREST FIREBREAKS,not_known_and_other,3399000000,0,PT_PT
242,AGRIÃO,watercress,cress,3301210300,0,PT_PT
,ALCACHOFRA,ALCACHOFRA,artichoke,3301270000,0,PT_PT
244,ALFACE,LETTUCE,salads_lettuce_leaf_vegetables,3301310000,0,PT_PT
111,ALFARROBA,CAROB,carob,3303110100,0,PT_PT
59,ALGODAO,COTTON,cotton,3301060300,0,PT_PT
,ALGODÃO,COTTON,cotton,3301060300,0,PT_PT
245,ALHO,GARLIC,garlic,3301220200,0,PT_PT
293,ALHO FRANCÊS,FRENCH GARLIC,leek,3301220300,0,PT_PT
108,AMEIXA,PLUM,plums,3303011300,0,PT_PT
109,AMENDOA,ALMOND,almond,3303030100,0,PT_PT
130,AMENDOIM,PEANUT,arachis,3301090302,0,PT_PT
201,AMORA,BLACKBERRY,blackberry,3303020200,0,PT_PT
292,ANAFA,ANAFA,poaceae_grasses,3301090200,0,PT_PT
,ANANÁS,PINEAPPLE,orchards_fruits,3303010000,0,PT_PT
151,ANONA,ANONA,orchards_fruits,3303010000,0,PT_PT
,ARAÇA,araçá (strawberry guava),orchards_fruits,3303010000,0,PT_PT
,ARAÇÁ,araçá (strawberry guava),orchards_fruits,3303010000,0,PT_PT
121,ÁREA AGRÍCOLA EM ABANDONO (COM MAIS DE TRÊS ANOS),AGRICULTURAL AREA IN ABANDONMENT (OVER THREE YEARS OLD),fallow_land_not_crop,3301110000,0,PT_PT
24,ARROZ,RICE,rice,3301010700,0,PT_PT
180,AUTOESTRADA/ VIA RÁPIDA,HIGHWAY/ HIGHWAY,not_known_and_other,3399000000,0,PT_PT
,AVEIA,OAT,oats,3301010500,0,PT_PT
5,AVEIA ,OAT,oats,3301010500,0,PT_PT
,AVEIA;CONSOCIAÇÕES ANUAIS E OUTRAS CULT. FORRAG. ANUAIS,OATS; ANNUAL INTERCROPS AND OTHER FODDER CROPS FORRAG. ANNUALS,mixed_cropping,3301320000,11,PT_PT
,AVEIA;FAVA,OATS; BEANS,mixed_cropping,3301320000,11,PT_PT
116,AVELA,HAZELNUT,hazelnuts_hazel,3303030200,0,PT_PT
,AVELÃ,HAZELNUT,hazelnuts_hazel,3303030200,0,PT_PT
67,AZEVEM,ryegrass,lolium_ryegrass,3301090205,0,PT_PT
,AZEVEM;BATATA,lolium; POTATO,mixed_cropping,3301320000,11,PT_PT
,AZEVEM;OUTRAS HORTÍCOLAS,lolium; OTHER VEGETABLES,mixed_cropping,3301320000,11,PT_PT
,BAMBU,BAMBOO,tree_wood_forest,3306000000,0,PT_PT
133,BANANA,BANANA,orchards_fruits,3303010000,0,PT_PT
182,BARRAGEM,DAM,non_productive_landscape_elements,3310000000,0,PT_PT
,BATATA,POTATO,potatoes,3301030000,0,PT_PT
103,BATATA ,POTATO,potatoes,3301030000,0,PT_PT
127,BATATA DOCE,SWEET POTATO,sweet_potatoes,3301040000,0,PT_PT
,BATATA DOCE;BATATA,SWEET POTATO; POTATO,mixed_cropping,3301320000,11,PT_PT
,BATATA DOCE;FEIJÃO,SWEET POTATO; BEANS,mixed_cropping,3301320000,11,PT_PT
,BATATA DOCE;MILHO,SWEET POTATO; CORN,mixed_cropping,3301320000,11,PT_PT
,BATATA DOCE;MILHO;COURGETTE,SWEET POTATO; CORN; COURGETTE,mixed_cropping,3301320000,11,PT_PT
,BATATA;AVEIA,POTATO; OATS,mixed_cropping,3301320000,11,PT_PT
,BATATA;CEBOLA,POTATO; ONION,mixed_cropping,3301320000,11,PT_PT
,BATATA;CONSOCIAÇÕES ANUAIS E OUTRAS CULT. FORRAG. ANUAIS,POTATO; ANNUAL AND OTHER CULT. FORAGE ANNUALS,mixed_cropping,3301320000,11,PT_PT
,BATATA;OUTRAS HORTÍCOLAS,POTATOES; OTHER VEGETABLES,mixed_cropping,3301320000,11,PT_PT
,BATATA;OUTRAS HORTÍCOLAS;AVEIA,POTATO; OTHER VEGETABLES; OATS,mixed_cropping,3301320000,11,PT_PT
,BELDROEGA,purslane,purslane,3301240000,0,PT_PT
