crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
,0,,not_known_and_other,3399000000,0,PT_SUBREGIONS
,ABACATE,AVOCADO,avocado,3303100000,0,PT_SUBREGIONS
,ABOBORAS E ABOBORINHAS,PUMPKINS AND COURGETTES,cucurbits,3301140000,3,PT_SUBREGIONS
,ABÓBORAS E ABOBORINHAS,pumpkins and zucchinis,cucurbits,3301140000,3,PT_SUBREGIONS
,ABÓBORAS E ABOBORINHAS;AVEIA,pumpkins and zucchinis; oats,mixed_cropping,3301320000,11,PT_SUBREGIONS
,ABÓBORAS E ABOBORINHAS;BATATA,pumpkins and zucchinis; potato,mixed_cropping,3301320000,11,PT_SUBREGIONS
,ABÓBORAS E ABOBORINHAS;BATATA;OUTRAS HORTÍCOLAS,pumpkins and zucchinis; potato; vegetables,mixed_cropping,3301320000,11,PT_SUBREGIONS
,ABÓBORAS E ABOBORINHAS;CEBOLA,pumpkins and zucchinis; onion,mixed_cropping,3301320000,11,PT_SUBREGIONS
,ABÓBORAS E ABOBORINHAS;GRÃO DE BICO;MILHO;FEIJÃO;BATATA;OUTRAS HORTÍCOLAS;CONSOCIAÇÕES ANUAIS E OUTRAS CULT. FORRAG. ANUAIS,PUMPKINS AND COURGETTES; CHICKPEA; CORN; BEAN; POTATO; OTHER VEGETABLES; ANNUAL AND OTHER CULT. FORAGE ANNUALS,mixed_cropping,3301320000,11,PT_SUBREGIONS
,ABÓBORAS E ABOBORINHAS;MILHO,PUMPKINS AND COURGETTES; CORN,mixed_cropping,3301320000,11,PT_SUBREGIONS
,ABÓBORAS E ABOBORINHAS;MILHO;NABO;BATATA,PUMPKINS AND COURGETTES; CORN; TURNIP; POTATO,mixed_cropping,3301320000,11,PT_SUBREGIONS
,ABÓBORAS E ABOBORINHAS;MILHO;OUTRAS HORTÍCOLAS,PUMPKINS AND PUMPKINS; CORN; OTHER VEGETABLES,mixed_cropping,3301320000,11,PT_SUBREGIONS
,ABÓBORAS E ABOBORINHAS;OUTRAS HORTÍCOLAS,PUMPKINS AND COURGETTES; OTHER VEGETABLES,mixed_cropping,3301320000,11,PT_SUBREGIONS
,ABÓBORAS E ABOBORINHAS;PRADOS TEMPORÁRIOS,PUMPKINS AND COURGETTES; TEMPORARY MEADOWS,mixed_cropping,3301320000,11,PT_SUBREGIONS
,ABÓBORAS E ABOBORINHAS;TREMOÇO,PUMPKINS AND COURGETTES; LUPIN,mixed_cropping,3301320000,11,PT_SUBREGIONS
,ABOBORAS_E_ABOBORINHAS,PUMPKINS AND COURGETTES,cucurbits,3301140000,3,PT_SUBREGIONS
,ACEIRO FLORESTAL,FOREST FIREBREAKS,not_known_and_other,3399000000,0,PT_SUBREGIONS
,ACEIRO_FLORESTAL,FOREST FIREBREAKS,not_known_and_other,3399000000,0,PT_SUBREGIONS
,Aceiros florestais,FOREST FIREBREAKS,not_known_and_other,3399000000,0,PT_SUBREGIONS
,AFS-MX: Sob Coberto Misto,AFS-MX: Under Mixed Cover (greenhouse),greenhouse_foil_film,3305000000,0,PT_SUBREGIONS
,AFS-PM: Sob coberto de Castanheiro ou Pinheiro Manso,AFS-PM: Agroforestry under cover of Chestnut or Stone Pine,agroforestry,3312000000,0,PT_SUBREGIONS
,AFS-QU: Sob coberto de Quercíneas,AFS-QU: Agroforestry under cover of Quercineas,agroforestry,3312000000,0,PT_SUBREGIONS
