crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
950,TEREN ÎN PREGĂTIRE PENTRU LIVEZI,LAND IN PREPARATION FOR ORCHARDS,orchards_fruits,3303010000,0,RO
101,GRÂU COMUN de toamnă,COMMON FALL WHEAT,winter_common_soft_wheat,3301010101,0,RO
1010,GRÂU COMUN de primăvară,COMMON SPRING WHEAT,spring_common_soft_wheat,3301010102,0,RO
102,GRÂU DUR de toamnă,DURUM AUTUMN WHEAT,winter_durum_hard_wheat,3301010201,0,RO
1020,GRÂU DUR de primăvară,DURUM SPRING WHEAT,spring_durum_hard_wheat,3301010202,0,RO
9549,SECARĂ ENERGETICĂ,ENERGY RYE,rye,3301010300,0,RO
473,SECARĂ + TRIFOI,RYE + Clover,cereal_legume_mix,3301091200,1,RO
104,SECARĂ de toamnă,Autumn rye,winter_rye,3301010301,0,RO
1040,SECARĂ de primăvară,Spring RYE,spring_rye,3301010302,0,RO
105,ORZ de toamnă,Autumn BARLEY,barley,3301010400,0,RO
1050,ORZ de primăvară,Spring BARLEY,spring_barley,3301010402,0,RO
107,OVĂZ de toamnă,Autumn OATS,winter_oats,3301010501,0,RO
1070,OVĂZ de primăvară,Spring OATS,spring_oats,3301010502,0,RO
115,PORUMB- HIBRID/SOI TIMPURIU,CORN - HYBRID/EARLY VARIETIES,grain_maize_corn_popcorn,3301010600,0,RO
131,PORUMB SILOZ,CORN SILAGE,green_silo_maize,3301090400,0,RO
9541,PORUMB ENERGETIC,ENERGETIC CORN,grain_maize_corn_popcorn,3301010600,0,RO
133,PORUMB FURAJER,FODDER CORN,grain_maize_corn_popcorn,3301010600,0,RO
117,PORUMB-HIBRID/SOI TARDIV,HYBRID CORN/LATE VARIETIES,grain_maize_corn_popcorn,3301010600,0,RO
118,PORUMB-HIBRID/SOI SEMI-TARDIV,HYBRID CORN/SEMI-LATE VARIETIES,grain_maize_corn_popcorn,3301010600,0,RO
108,PORUMB,MAIZE,grain_maize_corn_popcorn,3301010600,0,RO
116,PORUMB- HIBRID/SOI SEMI-TIMPURIU,MAIZE- HYBRID/SEMI-EARLY VARIETIES,grain_maize_corn_popcorn,3301010600,0,RO
109,PORUMB ZAHARAT,SWEET CORN,grain_maize_corn_popcorn,3301010600,0,RO
1117,OREZ,RICE,rice,3301010700,0,RO
111,OREZ,RICE,rice,3301010700,0,RO
9548,TRITICALE ENERGETICĂ,ENERGY TRITICALE,triticale,3301010800,0,RO
103,TRITICALE de toamnă,Autumn triticale,winter_triticale,3301010801,0,RO
1030,TRITICALE de primăvară,Spring triticale,spring_triticale,3301010802,0,RO
9550,SORG ENERGETIC,ENERGETIC SORGHUM,millet_sorghum,3301010900,0,RO
9542,SORG ZAHARAT ENERGETIC,ENERGETIC SORGHUM,millet_sorghum,3301010900,0,RO
112,MEI,MEI (proso millet),millet_sorghum,3301010900,0,RO
110,SORG,Sorghum,millet_sorghum,3301010900,0,RO
9543,SORG X SUDAN ENERGETIC,Sorghum X SUDANGRASS ENERGY,poaceae_grasses,3301090200,0,RO
119,SORG-HIBRID/SOI TIMPURIU,SORGHUM-HYBRID/EARLY VARIETIES,millet_sorghum,3301010900,0,RO
121,SORG-HIBRID/SOI TARDIV,SORGHUM-HYBRID/LATE VARIETIES,millet_sorghum,3301010900,0,RO
120,SORG-HIBRID/SOI SEMI-TIMPURIU,SORGHUM-HYBRID/SEMI-EARLY VARIETIES,millet_sorghum,3301010900,0,RO
122,SORG-HIBRID/SOI SEMI-TARDIV,SORGHUM-HYBRID/SEMI-LATE VARIETIES,millet_sorghum,3301010900,0,RO
106,ORZOAICĂ de toamnă,Autumn sorghum,winter_millet_sorghum,3301010901,0,RO
1060,ORZOAICĂ de primăvară,Spring sorghum,spring_millet_sorghum,3301010902,0,RO
132,GRÂU SPELTA (alac),SPELT WHEAT (alac),spelt,3301011000,0,RO
1541,BOB,grain,cereal,3301010000,0,RO
154,BOB,grain,cereal,3301010000,0,RO
114,ALTE CEREAL PENTRU BOABE,OTHER CEREALS FOR GRAINS,other_cereals,3301019900,0,RO
215,ARAHIDE,PEANUTS,arachis,3301090302,0,RO
2151,ARAHIDE,PEANUTS,arachis,3301090302,0,RO
2155,ARAHIDE (în amestec cu graminee perene),PEANUTS (mixed with perennial grasses),peanut_grass_mix,3301090502,1,RO
21551,ARAHIDE (în amestec cu graminee perene),PEANUTS (mixed with perennial grasses),peanut_grass_mix,3301090502,1,RO
472,BOB + OVĂZ,BEAN + OATS,cereal_legume_mix,3301091200,1,RO
1527,FASOLE BOABE INDUSTRIALIZARE,BEAN BEANS INDUSTRIALIZATION,beans,3301020100,0,RO
15271,FASOLE BOABE INDUSTRIALIZARE,BEAN BEANS INDUSTRIALIZATION,beans,3301020100,0,RO
1528,FASOLE PĂSTĂI,BEAN PODS,beans,3301020100,0,RO
15281,FASOLE PĂSTĂI,BEAN PODS,beans,3301020100,0,RO
1521,FASOLE BOABE,BEANS,beans,3301020100,0,RO
152,FASOLE BOABE,BEANS,beans,3301020100,0,RO
1561,FASOLIŢĂ,BEANS,beans,3301020100,0,RO
156,FASOLIŢĂ,BEANS,beans,3301020100,0,RO
15251,FASOLE (în amestec cu graminee perene),BEANS (mixed with perennial grasses),bean_grass_mix,3301090503,1,RO
1525,FASOLE (în amestec cu graminee perene),BEANS (mixed with perennial grasses),bean_grass_mix,3301090503,1,RO
15651,FASOLIŢĂ (în amestec cu graminee perene),BEANS (mixed with perennial grasses),bean_grass_mix,3301090503,1,RO
1565,FASOLIŢĂ (în amestec cu graminee perene),BEANS (mixed with perennial grasses),bean_grass_mix,3301090503,1,RO
157,NĂUT,CHICKPEAS,chickpeas,3301020200,0,RO
1571,NĂUT,CHICKPEAS,chickpeas,3301020200,0,RO
1575,NĂUT (în amestec cu graminee perene),CHICKPEA (mixed with perennial grasses),chickpea_grass_mix,3301090504,1,RO
15751,NĂUT (în amestec cu graminee perene),CHICKPEA (mixed with perennial grasses),chickpea_grass_mix,3301090504,1,RO
153,LINTE,LENTILS,lentils,3301020500,0,RO
1531,LINTE,LENTILS,lentils,3301020500,0,RO
1535,LINTE (în amestec cu graminee perene),LENTILS (mixed with perennial grasses),lentil_grass_mix,3301090505,1,RO
15351,LINTE (în amestec cu graminee perene),LENTILS (mixed with perennial grasses),lentil_grass_mix,3301090505,1,RO
159,MAZĂRE FURAJERĂ DE TOAMNĂ,AUTUMN FORAGE PEAS,peas,3301020600,0,RO
1591,MAZĂRE FURAJERĂ DE TOAMNĂ,AUTUMN FORAGE PEAS,peas,3301020600,0,RO
1581,MĂZĂRICHE DE TOAMNĂ,AUTUMN PEAS,peas,3301020600,0,RO
158,MĂZĂRICHE DE TOAMNĂ,AUTUMN PEAS,peas,3301020600,0,RO
