crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
13,"Blandsäd (spannmåls-/baljväxt-blandning), mer än 50% spannmål","Mixed cereal–legume crop, more than 50% cereals",cereal_legume_mix,3301091200,1,SE
16,Stråsäd till grönfoder/ensilage,Cereals for green fodder / silage,unspecified_cereals_cut_green,3301091100,0,SE
49,Slåtter och betesvall på åkermark med  en  vallgröda som inte är godkänd för varken miljöersättning eller ersättningar för ekologisk produktion,Mown and grazed ley on arable land (not eligible for environmental or organic payments),pasture_meadow_grassland_grass,3302000000,0,SE
53,Slåtteräng (ej åker) ,Hay meadow (non-arable),pasture_meadow_grassland_grass,3302000000,0,SE
54,Skogsbete ,Forest pasture,pastures_meadows_with_trees,3302010000,0,SE
57,Slåttervall på åker (kontrakt med vallfodertork),Mown ley on arable land (contract with forage drying plant),pasture_meadow_grassland_grass,3302000000,0,SE
57,"Slåttervall på åker (kontrakt med vallJ, Grovfodergrödadertork)",Mown ley on arable land (contract with forage drying plant),pasture_meadow_grassland_grass,3302000000,0,SE
57,Slåttervall på åker (kontrakt med vallfodertork),Haymaking in the field (contract with forage dryer),temporary_grass,3301090100,0,SE
63,Energigräs ,Energy grass,temporary_grass,3301090100,0,SE
66,Anpassad skyddszon,Adapted buffer zone,field_margins_buffer_strips_flowering_areas,3310100000,0,SE
71,Övrig bärodling ,Other berry cultivation,berries_berry_species,3303020000,0,SE
73,Nötodling,Nut cultivation,nuts,3303030000,0,SE
74,Grönsaksodling (köksväxter),Vegetable growing (vegetables),fresh_vegetables,3301070000,0,SE
77,Skyddszon mot vattenområde,Buffer zone towards water body,wetland_buffers,3310700000,0,SE
80,Grönfoder,Green fodder,plants_harvested_green,3301090000,0,SE
85,"Trädgårdsodling (ej köksväxter, frukt eller bär)","Horticulture (excluding vegetables, fruit or berries)",flowers_ornamental_plants,3301080000,0,SE
88,Övrig odling på åkermark***,Other cultivation on arable land ***,arable_crops,3301000000,0,SE
300,Fodermärgkål,Fodder marrow cabbage,brassica_oleracea_cabbage,3301210200,0,SE
301,Westerwoldiskt rajgräs,Westerwold ryegrass,lolium_ryegrass,3301090205,0,SE
302,Lusern,Alfalfa / lucerne,alfalfa_lucerne,3301090301,0,SE
303,Cikoria,Chicory,chicory_chicories,3301020200,0,SE
304,Gräsmatteodling,Turf grass cultivation,sod_turf,3301090207,0,SE
305,Humle,Hops,hops,3301060200,0,SE
306,Quinoa,Quinoa,quinoa,3301150300,0,SE
307,Speltvete,Spelt wheat,spelt,3301011000,0,SE
