crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
208,lucerna,alfalfa,alfalfa_lucerne,3301090301,0,SI
512,podsevek lucerne,undersown alfalfa,alfalfa_lucerne,3301090301,4,SI
633,mandelj,almond,almond,3303030100,0,SI
37,amarant,amaranth,amaranth,3301150100,0,SI
682,šmarna hrušica,juneberry (serviceberry),amelanchier_serviceberry,3303010100,0,SI
611,jablana,apple tree,apples,3303010200,0,SI
624,marelica,apricot,apricots,3303010300,0,SI
510,mešanica za ozelenitev ornih površin prek zime ,mixture for greening arable land over winter,arable_crops,3301000000,7,SI
403,različna trajna zelišča,various perennial herbs,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,SI
404,njivska zelišča,field herbs,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,SI
404,enoletna njivska zelišča,annual field herbs,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,SI
404,enoletna in dvoletna njivska zelišča,annual and biennial field herbs,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,7,SI
657,aronija,aronia (chokeberry),aronia_chokeberries,3303020100,0,SI
733,artičoka,artichoke,artichoke,3301270000,0,SI
703,šparglji,asparagus,asparagus,3301200000,0,SI
17,krmni bob,fodder bean,beans,3301020100,0,SI
45,bob,broad beans,beans,3301020100,0,SI
395,"bob od 0,1 ha",broad bean from 0.1 ha,beans,3301020100,0,SI
397,"fižol od 0,1 ha",bean from 0.1 ha,beans,3301020100,0,SI
511,podsevek krmni bob,undersown fodder bean,beans,3301020100,4,SI
658,murva,mulberry,berries_berry_species,3303020000,0,SI
654,robida,blackberry,blackberry,3303020200,0,SI
656,črni ribez,black currant,blackcurrant_cassis,3303020300,0,SI
652,ameriška borovnica,blueberry,blueberry,3303020400,0,SI
4,ajda,buckwheat,buckwheat,3301150200,0,SI
57,ajda - medonosna praha,buckwheat - honey fallow,buckwheat,3301150200,0,SI
36,riček,false flax (camelina),camelina,3301061500,0,SI
107,krmno korenje,fodder carrot,carrots_daucus,3301290300,0,SI
625,češnja,cherry,cherry_cherries,3303010400,0,SI
626,višnja,sour cherry,cherry_cherries,3303010400,0,SI
399,"čičerika od 0,1 ha",chickpea from 0.1 ha,chickpeas,3301020200,0,SI
47,radič,radicchio,chicory_chicories,3301310200,0,SI
106,krmni radič,fodder chicory,chicory_chicories,3301310200,0,SI
671,limonovec,lemon tree,citrus_plantations,3303040000,0,SI
671,limonovec,lemon tree,citrus_plantations,3303040000,0,SI
672,grenivka,grapefruit,citrus_plantations,3303040000,0,SI
673,pomarančevec,orange tree,citrus_plantations,3303040000,0,SI
674,mandarinovec,mandarin tree,citrus_plantations,3303040000,0,SI
207,detelja,clover,clover,3301090303,0,SI
220,aleksandrijska detelja,berseem clover,clover,3301090303,0,SI
