crop_code,crop_name,EC_trans_n,EC_hcat_n,EC_hcat_c,mixed_crops,country_code
,Artičoka,Artichoke,artichoke,3301270000,0,SK
,Baklažán,Eggplant,aubergine_eggplant,3301260000,0,SK
,Baza čierna,Elderberry,elder_elderberry,3303080400,0,SK
,Bazalka pravá,Basil,basil,3301061207,0,SK
,Biopás,Bio belt,field_margins_buffer_strips_flowering_areas,3310100000,0,SK
,Biopás kosený po 31. júli,Biopasture mown after 31 July,field_margins_buffer_strips_flowering_areas,3310100000,0,SK
,Biopás pre medonosné plodiny,Biobelt for honey crops,field_margins_buffer_strips_flowering_areas,3310100000,0,SK
,Biopás tvorený úhorom s porastom,Biobelt formed by fallow with vegetation,field_margins_buffer_strips_flowering_areas,3310100000,0,SK
,Bôb konský,Horse beans,beans,3301020100,0,SK
,Bôb obyčajný,Common beans,beans,3301020100,0,SK
,Breza previsnutá,Birch overhanging,birch,3306030000,0,SK
,Brokolica,Broccoli,broccoli,3301210202,0,SK
,Broskyňa obyčajná,Peach,peach,3303011100,0,SK
,Brusnica pravá,Cranberry,cranberry,3303020500,0,SK
,Bylinné políčko,Herb field,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,SK
,Bylinné trvalé plodiny,Herbal permanent crops,aromatic_medicinal_culinary_plants_spices_herbs,3301061200,0,SK
,Čakanka obyčajná,Common chicory,chicory_chicories,3301310200,0,SK
,Čakanka obyčajná šalátová,Chickweed,chicory_chicories,3301310200,0,SK
,Čerešňa vtáčia,Bird cherry,cherry_cherries,3303010400,0,SK
,Černica,Blackberry,blackberry,3303020200,0,SK
,Cesnak,Garlic,garlic,3301220200,0,SK
,Cesnak (jarný),Garlic (spring),garlic,3301220200,0,SK
,Cesnak (zimný),Garlic (winter),garlic,3301220200,0,SK
,Chmeľ obyčajný,Common hops,hops,3301060200,0,SK
,chmelnica,hop plant,hops,3301060200,0,SK
,Cibuľa,Onion,onions,3301220400,0,SK
,Cibuľa (jarná),Scallion (spring),scallion,3301220500,0,SK
,Cibuľa (zimná),Scallion,scallion,3301220500,0,SK
,Cícer,Chickpeas,chickpeas,3301020200,0,SK
,Cícer baraní,Chickpeas,chickpeas,3301020200,0,SK
,Cirok,Sorghum,millet_sorghum,3301010900,0,SK
,Cirok s podsevom,Sorghum with underseeding,millet_sorghum,3301010900,1,SK
,Cirok sudánsky,Sudan sorghum,millet_sorghum,3301010900,0,SK
,Čučoriedka,Blueberry,blueberry,3303020400,0,SK
,Čučoriedka (Brusnica chocholíkatá),Blueberry,blueberry,3303020400,0,SK
,Cuketa,Zucchini,zucchini_courgette,3301140600,0,SK
,Ďatelina alexandrijská,Alexandrian clover,clover,3301090303,0,SK
,Ďatelina egyptská (alexandrijská),Alexandrian clover,clover,3301090303,0,SK
,Ďatelina hybridná,Hybrid clover,clover,3301090303,0,SK
,Ďatelina lúčna,Meadow clover,clover,3301090303,0,SK
,Ďatelina perzská,Persian clover,clover,3301090303,0,SK
,Ďatelina plazivá,Creeping clover,clover,3301090303,0,SK
,Ďatelina purpurová,Purple clover,clover,3301090303,0,SK
,Ďatelina purpurová pre ekoschému,Purple clover for ecoscheme,clover,3301090303,0,SK
